gisco_id,name,registered,turnout,blank,invalid,A,B,C,D,F,K,M,O,V,Ø,Ind.
DK_607,Fredericia,36744,30221,157,84,8673,1988,2602,223,1915,589,61,4656,8558,703,12
DK_609,Gedved,7391,6409,43,26,1362,463,498,66,357,97,20,869,2386,214,8
DK_611,Give,10243,8605,63,16,1306,472,583,74,306,269,14,1563,3848,85,6
DK_613,Hedensted,11999,10495,56,17,2118,550,774,88,425,669,16,1543,4118,117,4
DK_615,Horsens,43300,36219,210,82,10242,2457,3176,307,2115,453,100,5204,10779,1061,33
DK_617,Jelling,4014,3561,12,8,650,399,289,49,279,100,8,417,1264,86,0
DK_619,Juelsminde,11635,10081,62,21,2016,523,878,84,441,145,16,1516,4151,225,3
DK_621,Kolding,47129,39237,172,75,8259,3126,3545,323,3729,740,94,5297,13171,691,15
DK_623,Lunderskov,3879,3358,16,8,651,208,302,30,224,104,3,452,1303,54,3
DK_625,Nørre Snede,5336,4480,22,13,881,227,302,44,167,158,10,935,1641,79,1
DK_627,Tørring-Uldum,9073,7877,60,10,1398,492,500,81,400,217,18,1364,3219,116,2
DK_629,Vamdrup,5338,4563,31,4,960,243,396,37,220,116,8,779,1721,48,0
DK_631,Vejle,41763,34944,201,132,8471,2803,3553,406,2242,770,123,5045,10435,753,10
DK_651,Aulum Haderup,4908,4381,22,11,644,171,351,36,143,346,2,596,2016,40,3
DK_653,Brande,6426,5272,45,5,884,279,345,33,141,473,18,830,2161,56,2
DK_655,Egvad,6815,5842,28,15,1130,258,396,47,176,547,5,731,2442,66,1
DK_657,Herning,44064,37681,196,123,7413,2945,2645,321,1419,1852,83,4992,15215,463,14
DK_659,Holmsland,3859,3157,32,8,412,133,323,20,95,298,5,500,1297,34,0
DK_661,Holstebro,30647,26359,144,36,6373,1901,1443,243,1346,927,28,2724,10778,413,3
DK_663,Ikast,16707,14346,87,31,3022,731,1266,133,440,607,21,2170,5697,137,4
DK_665,Lemvig,13371,11459,61,28,2054,728,796,97,1144,481,10,1295,4592,169,4
DK_667,Ringkøbing,12862,11214,75,22,2171,736,739,98,560,434,17,1338,4841,181,2
DK_669,Skjern,9513,8207,53,9,1425,346,663,60,239,1043,7,831,3451,79,1
DK_671,Struer,14128,12211,77,33,3209,684,824,103,860,324,19,1395,4502,180,1
DK_673,Thyborøn-Harboøre,3432,2775,13,4,598,119,176,22,145,190,2,461,1030,15,0
DK_675,Thyholm,2745,2372,19,2,537,130,216,21,132,125,0,295,860,34,1
DK_677,Trehøje,6986,6228,25,4,905,308,396,79,188,578,9,731,2898,104,3
DK_679,Ulfborg-Vemb,5133,4239,28,11,791,231,214,46,245,58,4,546,2000,65,0
DK_681,Videbæk,8746,7646,37,10,1140,310,500,50,194,900,8,1043,3375,78,1
DK_683,Vinderup,5893,5122,38,11,1005,313,304,43,188,310,6,655,2199,48,2
DK_685,Åskov,4940,4293,20,13,725,179,290,31,103,359,11,610,1903,48,1
DK_701,Ebeltoft,11469,9661,36,26,2409,688,846,80,576,116,27,1255,3278,324,0
DK_703,Galten,7848,6962,41,20,1893,469,645,48,270,134,19,918,2367,136,2
DK_705,Gjern,5805,5079,36,6,1144,345,430,40,232,232,12,621,1868,113,0
DK_707,Norddjurs,14158,11570,73,20,4063,536,744,68,455,99,28,1619,3666,194,5
DK_709,Hadsten,8577,7388,41,13,1901,480,718,76,325,112,14,870,2678,160,0
DK_711,Hammel,7992,7027,57,13,1771,671,676,49,269,89,19,845,2413,154,1
DK_713,Hinnerup,8404,7617,40,12,1932,686,760,80,363,169,6,882,2470,214,3
DK_715,Hørning,6269,5559,28,9,1546,355,573,51,220,66,10,681,1909,109,2
DK_717,Langå,6106,5356,34,3,1583,306,445,49,223,73,12,700,1793,134,1
DK_719,Mariager,6161,5149,35,6,1406,297,448,41,208,195,11,781,1627,93,1
DK_721,Midtdjurs,5720,4922,38,18,1521,287,376,36,244,54,12,600,1622,114,0
