gisco_id,name,registered,turnout,blank,invalid,A,B,C,F,I,K,O,V,Ø,Å,D,P,E,Ind.
DK_482,Langeland,10129,8291,65,19,2789,324,591,488,53,73,854,1926,538,207,144,159,61,0
DK_492,Ærø,4895,4060,31,9,1030,195,380,228,29,52,411,1065,369,132,57,39,33,0
DK_510,Haderslev,41541,34638,355,112,9357,1660,1534,1614,627,852,4213,9611,1495,495,1786,663,240,24
DK_530,Billund,18876,15804,145,40,3688,757,603,482,290,535,2328,5565,372,167,498,228,98,8
DK_540,Sønderborg,54724,45466,420,168,13470,2572,2049,1897,739,574,5511,12521,1440,671,2151,918,281,84
DK_550,Tønder,27690,22444,236,103,5413,799,972,1201,376,654,2889,7318,666,245,999,424,138,11
DK_561,Esbjerg,85893,70574,666,226,20123,3758,3431,3938,1471,1129,7930,18133,3786,1229,2797,1380,543,34
DK_563,Fanø,2635,2332,17,4,575,172,186,189,34,25,201,512,241,93,35,20,28,0
DK_573,Varde,36589,30797,286,67,6813,1373,1343,1198,789,904,4050,10684,888,380,1191,570,245,16
DK_575,Vejen,30691,25736,213,75,6668,1043,1298,1029,537,474,3282,8049,825,306,1319,425,181,12
DK_580,Aabenraa,42395,34728,290,101,8858,1655,1403,1449,525,678,5076,10666,1092,401,1593,695,226,20
DK_607,Fredericia,38030,31236,330,116,9432,1785,1774,1762,617,556,3891,6675,1691,588,1105,595,302,17
DK_615,Horsens,63450,53138,464,159,14601,3627,3208,3411,1647,890,6042,12437,2672,1075,1253,1148,442,62
DK_621,Kolding,66997,56578,430,168,12979,4281,3424,3614,1545,1240,6206,15432,2403,1202,2284,935,405,30
DK_630,Vejle,82047,69972,625,188,16265,5696,4032,4096,1760,1875,8681,18841,2874,1395,2067,1016,528,33
DK_657,Herning,64350,55368,415,93,11713,3127,4619,2753,1637,3805,4409,18266,1521,827,1003,845,335,0
DK_661,Holstebro,43102,37040,262,74,10196,1836,2427,2447,907,1623,2945,11251,1259,512,563,541,197,0
DK_665,Lemvig,15266,12949,84,47,2978,609,1212,745,205,623,1108,4404,315,147,196,213,63,0
DK_671,Struer,15979,13541,99,42,4040,589,953,831,266,546,1132,3926,418,181,228,210,80,0
DK_706,Syddjurs,32440,27442,207,69,7390,1819,1445,2063,544,429,2626,7053,1637,878,573,433,249,27
DK_707,Norddjurs,28798,23171,203,45,7496,811,807,1567,826,402,2587,5647,1107,410,581,471,193,18
DK_710,Favrskov,34436,30174,258,44,8400,2100,2087,1852,645,569,2748,8199,1302,630,619,493,193,35
DK_727,Odder,16785,14796,113,18,3961,1120,1186,1236,240,265,1111,3604,944,423,267,194,97,17
DK_730,Randers,73385,60239,486,132,19417,3137,2632,3882,1222,1314,5798,15374,2956,1073,1261,1110,399,46
