gisco_id,name,registered,turnout,blank,invalid,A,B,C,F,I,K,O,V,Ø,Å,Ind.
DK_621,Kolding,65705,56214,458,202,12660,2017,1817,2365,5013,569,14361,12317,2726,1709,0
DK_630,Vejle,79908,69060,589,238,15723,2739,1552,2313,5824,919,18745,14562,3410,2446,0
DK_657,Herning,63143,55343,442,153,11333,1561,1927,1676,3848,1988,12377,16809,2109,1103,17
DK_661,Holstebro,42640,37174,349,98,10762,1017,1281,1296,2107,720,7563,9642,1496,799,44
DK_665,Lemvig,15664,13654,89,47,3173,288,733,600,575,278,2889,4247,434,297,4
DK_671,Struer,16111,14046,121,31,3974,283,584,618,609,177,3020,3631,670,321,7
DK_706,Syddjurs,31459,27248,197,72,6808,830,709,1652,1853,107,6275,5567,1516,1637,25
DK_707,Norddjurs,29325,24480,210,75,7127,428,469,867,1186,132,6474,5099,1470,921,22
DK_710,Favrskov,33970,30220,278,79,8185,1270,953,1100,2026,217,6696,6770,1479,1140,27
DK_727,Odder,16279,14494,112,25,4297,531,411,575,936,90,2505,3237,841,920,14
DK_730,Randers,72749,61241,512,175,19028,1533,1482,1861,3855,610,14226,12035,3981,1834,109
DK_740,Silkeborg,65859,57892,458,160,14662,2150,2554,2428,4355,797,11166,13085,3439,2629,9
DK_741,Samsø,2928,2491,14,7,692,57,108,115,125,7,446,532,203,185,0
DK_746,Skanderborg,42072,37898,301,68,10262,1849,1144,1517,3188,231,7126,7889,2089,2179,55
DK_751,Aarhus,241148,209229,1937,606,55622,14829,6266,10778,19421,2230,26073,32627,19821,18288,731
DK_756,Ikast-Brande,29178,25281,209,70,5403,515,852,600,1359,518,6871,7438,930,505,11
DK_760,Ringkøbing-Skjern,41433,35919,259,92,6830,681,1085,1006,1628,2309,7985,12330,1118,596,0
DK_766,Hedensted,33766,29829,252,94,6399,741,655,721,2413,694,8922,7138,1106,664,30
DK_773,Morsø,16044,13702,82,42,4681,233,214,265,585,97,2992,3624,637,249,1
DK_779,Skive,35619,30437,281,64,9164,922,893,864,1472,242,6245,8106,1531,644,9
DK_787,Thisted,32964,28388,190,87,8629,525,789,568,1181,398,6069,7879,1388,682,3
DK_791,Viborg,69984,60304,467,203,14821,1766,6019,2632,3424,617,11541,14249,2804,1748,13
DK_810,Brønderslev,26719,22883,233,45,6692,550,685,870,1145,228,5129,5536,1283,481,6
DK_813,Frederikshavn,46797,39304,255,111,12460,776,806,1041,1746,343,10409,8590,2066,694,7
DK_820,Vesthimmerland,27703,23101,177,58,5638,473,950,667,1149,179,6287,6169,936,413,5
DK_825,Læsø,1490,1257,6,4,350,25,17,27,42,19,368,297,67,35,0
DK_840,Rebild,21190,18672,146,45,5172,730,477,531,1247,124,4122,4661,897,515,5
DK_846,Mariagerfjord,31709,26694,244,42,7757,761,589,805,1504,195,6479,6160,1427,714,17
DK_849,Jammerbugt,29126,24924,169,39,7659,494,474,643,1240,195,6140,6240,1059,567,5
DK_851,Aalborg,157433,132941,1292,430,40383,5702,2938,5172,10034,1168,23294,27002,10470,5022,34
DK_860,Hjørring,49589,42024,304,119,11542,1070,2214,1519,1934,384,9871,9766,2329,963,9
