gisco_id,name,registered,turnout,invalid,blank,A,B,C,F,I,M,O,V,Æ,Ø,Å
DK_671,Struer,15496,9207,20,186,1502,353,718,1291,875,355,702,1802,1103,210,90
DK_706,Syddjurs,33330,19881,43,336,3052,1101,1537,3589,1143,1282,1247,2777,1956,1205,613
DK_707,Norddjurs,28163,14217,37,289,2692,470,846,1900,892,820,1302,2285,1868,579,237
DK_710,Favrskov,35080,22295,44,455,3555,1522,2186,3309,1625,1303,1418,3452,2168,811,447
DK_727,Odder,17870,11487,16,198,1986,738,917,2137,604,717,585,1818,774,696,301
DK_730,Randers,74770,38823,100,921,7294,1635,2980,5376,2809,2241,3304,5390,4217,1764,792
DK_740,Silkeborg,73638,46125,75,979,6550,3013,4447,7243,3523,3062,2607,7599,3992,2001,1034
DK_741,Samsø,2904,1854,6,38,241,68,132,373,78,84,104,310,174,178,68
DK_746,Skanderborg,46410,30841,63,592,4779,2496,2768,5690,2313,2095,1431,4556,1944,1376,738
DK_751,Aarhus,270423,172454,368,3464,21828,18069,15088,40023,11890,9469,5777,18052,5060,16183,7183
DK_756,Ikast-Brande,29498,16336,43,346,2208,591,1342,1410,1284,663,1421,4021,2440,337,230
DK_760,Ringkøbing-Skjern,40217,23822,38,475,2767,705,2559,2171,1684,1003,1495,6208,4167,333,217
DK_766,Hedensted,34949,20112,47,506,2762,779,2130,1963,1559,1245,1680,4227,2506,449,259
DK_773,Morsø,15204,7985,25,184,1478,212,402,846,402,360,578,1575,1664,189,70
DK_779,Skive,34290,18348,46,452,3013,616,1081,2265,1083,958,1289,3179,3647,491,228
DK_787,Thisted,32092,17300,48,328,2920,597,1090,1987,995,719,1064,3380,3173,674,325
DK_791,Viborg,71687,41651,84,890,6355,1894,4506,5525,2835,1861,2671,7589,5348,1308,785
DK_810,Brønderslev,27156,14109,27,308,2739,535,864,1503,853,675,836,2508,2555,549,157
DK_813,Frederikshavn,44761,21180,87,481,4589,501,1299,2222,1242,1187,1725,3411,3581,639,216
DK_820,Vesthimmerland,26694,13768,25,284,1915,403,816,1277,653,472,940,3808,2721,332,122
DK_825,Læsø,1457,763,1,13,86,20,43,86,29,32,114,135,146,41,17
DK_840,Rebild,22453,13541,19,291,1972,764,1069,1774,860,608,662,2459,2254,552,257
DK_846,Mariagerfjord,31689,17049,35,332,3002,637,1085,1903,896,796,1077,2749,3675,586,276
DK_849,Jammerbugt,29104,15173,29,334,2889,489,809,1545,895,663,1067,2853,2945,456,199
DK_851,Aalborg,169384,90776,204,2091,15501,6656,6783,13893,6668,4503,4131,11937,9141,6402,2866
DK_860,Hjørring,48356,24974,53,478,4751,904,1854,2812,1314,1190,1645,4801,3974,893,305
