gisco_id,name,registered,turnout,invalid,blank,A,B,C,F,I,N,O,V,Ø,Å
DK_730,Randers,73495,43941,106,620,12050,2944,2104,4383,1011,1806,5530,10435,1930,1022
DK_740,Silkeborg,68581,47671,138,568,9975,4821,2986,5553,1058,1520,4757,12854,1960,1481
DK_741,Samsø,2926,1947,4,22,389,133,142,263,37,115,154,477,139,72
DK_746,Skanderborg,44351,32714,55,344,7260,3557,1946,4098,783,942,3105,8100,1393,1131
DK_751,Aarhus,254842,182827,486,1823,35940,25408,10239,32831,4633,5298,10878,32162,13121,10008
DK_756,Ikast-Brande,29368,18600,71,241,3489,1102,1111,1323,413,582,2693,6828,464,283
DK_760,Ringkøbing-Skjern,41059,26659,63,343,4462,1481,1722,1883,520,726,2849,11720,544,346
DK_766,Hedensted,34161,22742,66,313,4593,1343,1312,1667,677,688,3865,7221,660,337
DK_773,Morsø,15759,9952,26,95,2390,449,286,765,127,307,974,4164,245,124
DK_779,Skive,35391,22043,61,361,5283,1504,902,1948,340,1007,2493,7169,661,314
DK_787,Thisted,32577,20860,47,198,4547,979,756,1649,255,666,2143,8523,679,418
DK_791,Viborg,70891,45927,132,595,9843,3480,4189,4778,808,1325,4987,13323,1461,1006
DK_810,Brønderslev,27020,17033,34,218,4389,857,573,1299,255,670,1814,6131,513,280
DK_813,Frederikshavn,46325,27023,161,291,7760,1024,1039,1912,313,1219,3699,8460,806,339
DK_820,Vesthimmerland,27469,16437,35,212,3346,700,713,1239,174,559,2015,6851,384,209
DK_825,Læsø,1514,843,2,8,156,33,37,71,11,43,168,267,37,10
DK_840,Rebild,21739,14821,42,166,3248,1149,609,1400,299,477,1395,5241,495,300
DK_846,Mariagerfjord,31851,19751,41,225,4860,1116,704,1620,417,703,2289,6761,651,364
DK_849,Jammerbugt,29188,18435,51,180,5663,714,518,1100,213,808,1983,6549,410,246
DK_851,Aalborg,163592,101106,249,1217,26437,8610,3997,11764,2052,3994,8316,25908,5125,3437
DK_860,Hjørring,49114,29706,124,323,7231,1533,1246,2596,445,1095,3230,10385,990,508
