gisco_id,name,registered,turnout,blank,invalid,A,B,C,D,F,I,K,M,O,Q,V,Æ,Ø,Å,Ind.
DK_253,Greve,35660,29967,310,147,7755,811,1427,1100,1977,2513,81,3738,1171,398,5686,1816,656,356,25
DK_259,Køge,44970,38107,432,123,9492,913,1960,1363,5380,2895,87,4320,1281,276,5296,2651,954,641,43
DK_260,Halsnæs,23825,19676,230,55,6539,343,779,1024,1630,1003,47,1807,745,46,2147,1552,991,717,21
DK_265,Roskilde,66179,57431,656,173,14143,2631,3036,1585,7043,4851,117,7218,1460,340,6924,2590,2861,1739,64
DK_269,Solrød,17017,14939,130,49,3421,390,838,553,1243,1709,21,2046,571,36,2536,899,280,204,13
DK_270,Gribskov,31901,26952,337,69,6499,723,1537,1543,1770,1997,165,3778,1020,60,3390,2120,1047,853,44
DK_306,Odsherred,26423,21846,336,106,7178,366,672,1094,1865,1042,44,2135,1100,42,2361,2036,861,550,58
DK_316,Holbæk,54352,45455,629,161,13954,1043,1678,1853,5239,2922,117,4876,1620,274,5230,3416,1537,840,66
DK_320,Faxe,27729,22990,297,68,6795,340,917,1331,2083,1521,57,2448,1053,43,2631,2385,585,386,50
DK_326,Kalundborg,37498,30416,368,123,9281,501,919,2091,2322,1531,67,2816,1507,97,4007,3347,903,459,77
DK_329,Ringsted,25442,21134,290,64,5694,522,1737,900,1970,1296,70,2193,710,199,2645,1652,727,422,43
DK_330,Slagelse,60183,47946,623,172,15038,850,1777,2331,3770,2975,109,4653,1834,382,6984,4354,1344,662,88
DK_336,Stevns,18004,15323,168,54,4081,363,839,776,1517,941,33,1669,627,25,1886,1559,457,294,34
DK_340,Sorø,22731,19070,271,49,5552,515,969,907,1909,1133,59,1949,694,45,2214,1637,641,486,40
DK_350,Lejre,21118,18724,234,61,4447,659,788,727,2463,1314,59,2137,624,49,2411,1335,809,588,19
DK_360,Lolland,31368,24353,305,129,10437,190,708,1054,1510,878,57,1773,1392,46,2411,2494,656,262,51
DK_370,Næstved,63780,52936,677,194,17084,1104,2781,2568,4494,3637,124,5584,2205,139,5668,4264,1502,829,82
DK_376,Guldborgsund,46871,38316,554,144,13620,495,1460,1521,3059,1693,95,3443,3308,92,3810,3311,1111,531,69
DK_390,Vordingborg,35188,29212,409,91,9608,566,1054,1236,2934,1584,63,3328,1227,81,2733,2119,1223,872,84
DK_400,Bornholm,30758,25109,341,106,8702,248,921,528,1582,891,502,1495,1550,48,4633,1585,1276,656,45
DK_410,Middelfart,30172,26018,373,66,8047,683,1285,1092,1890,1882,97,2719,701,59,3265,2640,701,497,21
DK_411,Christiansø,67,62,3,0,19,3,5,1,8,1,1,4,0,0,2,5,3,7,0
DK_420,Assens,30733,25931,409,95,8762,454,1096,1189,1663,1315,110,2074,810,41,3940,2706,719,512,36
DK_430,Faaborg-Midtfyn,39233,33251,541,95,11045,716,1470,1380,2349,1727,119,3143,962,87,4288,3413,1141,742,33
DK_440,Kerteminde,18183,15552,225,49,5718,271,1043,738,1009,819,64,1425,435,74,1517,1401,505,248,11
DK_450,Nyborg,24597,20615,324,71,7088,440,817,811,1546,1174,52,1834,598,88,2668,2026,699,360,19
DK_461,Odense,153542,126888,2236,604,37015,5259,7572,3082,11950,9386,458,13430,2570,2405,13290,6329,7143,4044,115
DK_479,Svendborg,45459,38574,529,148,13043,1057,1559,1213,3253,2225,125,3607,936,149,3663,2827,2651,1523,66
DK_480,Nordfyn,22184,18697,288,46,6267,252,828,965,1082,991,59,1616,623,22,2615,2447,372,213,11
DK_482,Langeland,9988,8178,93,33,2906,110,255,306,546,330,29,650,285,21,1117,983,297,201,16
DK_492,Ærø,4741,4001,50,15,1173,63,265,97,237,143,22,327,103,12,379,714,259,136,6
DK_510,Haderslev,40657,33782,565,172,10016,579,1408,2504,1614,2075,319,2722,1168,114,5488,3737,809,472,20
DK_530,Billund,18652,15659,193,64,3961,254,587,934,489,1036,142,1321,419,21,3593,2294,203,135,13
DK_540,Sønderborg,53712,44259,668,215,14548,932,1636,3039,2023,2798,210,3660,1266,206,6607,4918,967,537,29
DK_550,Tønder,26559,21790,317,101,5601,277,983,1681,1074,1194,192,2701,641,26,3277,3190,335,178,22
DK_561,Esbjerg,85440,69960,1041,277,21273,1552,3308,3948,4513,5587,371,6012,1936,290,10176,6832,1897,888,59
DK_563,Fanø,2654,2398,31,11,697,80,184,81,219,141,9,220,36,1,206,198,157,123,4
DK_573,Varde,35999,30614,427,122,7276,461,1570,1947,1188,2035,277,2522,768,40,6965,4272,442,288,14
DK_575,Vejen,30350,25616,378,93,6333,409,1239,2046,1204,1929,156,2088,768,28,4954,3289,404,261,37
DK_580,Aabenraa,41587,34224,491,125,9695,661,1558,2665,1454,2234,220,2736,1158,82,5357,4775,618,359,36
DK_607,Fredericia,38502,31308,496,102,10317,652,1443,1638,2050,2417,197,3111,881,108,3438,2877,1010,546,25
DK_615,Horsens,66242,55264,805,202,16707,1541,2634,2333,3540,5438,254,4991,1477,200,7242,4906,1905,1042,47
DK_621,Kolding,67645,56643,781,207,14314,1782,3029,3089,4097,5224,376,5695,1619,341,8281,5298,1510,964,36
DK_630,Vejle,84790,71813,982,285,17970,2333,3781,3207,4945,5910,570,7277,1449,527,12398,6774,1964,1387,54
DK_657,Herning,64695,55184,720,178,12226,979,3590,1608,2859,5172,1286,4232,1098,215,11723,7617,1012,610,59
DK_661,Holstebro,43147,36896,406,106,9740,624,1884,940,2399,2990,446,1884,783,119,8916,4497,740,387,35
DK_665,Lemvig,14679,12721,116,42,3063,255,712,444,677,761,169,591,286,11,3182,2092,174,133,13
DK_671,Struer,15681,13409,150,35,4022,192,744,376,856,920,155,701,301,32,2680,1865,240,131,9
DK_706,Syddjurs,33265,28488,341,113,8013,772,1185,1297,2237,2178,88,2305,672,55,3669,2924,1344,1264,31
DK_707,Norddjurs,28316,23062,275,77,7914,343,708,1374,1190,2225,88,1345,640,50,2727,2937,735,402,32
DK_710,Favrskov,34887,30769,410,75,8650,1046,1889,1475,2227,2461,125,2542,695,63,4555,2975,929,624,28
DK_727,Odder,17469,15316,166,43,4452,499,754,535,1510,1115,68,1307,256,25,2092,1170,761,543,20
DK_730,Randers,74344,61046,782,217,20619,1230,2211,2927,3855,5289,379,3990,1821,175,8512,5996,1952,1037,54
DK_740,Silkeborg,72125,62758,784,141,15947,1865,4535,1815,5061,5333,552,5823,1137,151,10475,5212,2368,1439,120
DK_741,Samsø,2940,2554,27,11,634,53,410,68,273,132,5,152,35,3,230,202,170,145,4
DK_746,Skanderborg,45833,41061,447,116,10839,1791,1992,1469,3765,3978,153,3991,709,111,5816,2846,1591,1410,37
DK_751,Aarhus,265031,227395,2989,779,50221,15688,10590,4693,25554,23850,1053,20698,2818,3330,26097,7587,18879,12366,203
DK_756,Ikast-Brande,29364,24714,312,98,5747,371,1744,957,1069,1934,363,1806,649,63,4795,4065,416,303,22
DK_760,Ringkøbing-Skjern,40312,34566,406,127,7095,385,2140,1205,1578,2404,1421,2178,615,40,8492,5681,452,320,27
DK_766,Hedensted,34543,29765,390,90,7448,490,1264,1714,1210,2810,510,2633,785,45,5411,4066,532,341,26
DK_773,Morsø,15346,12836,96,46,4639,123,369,367,461,599,54,652,292,9,1947,2811,235,131,5
DK_779,Skive,34512,29008,413,77,8868,378,1604,838,1783,1802,199,1489,579,59,3952,6142,516,284,25
