gisco_id,name,registered,turnout,invalid,blank,A-HSP,BM365,Deblokirajmo Hrvatsku,NHR-HSP,DSS,Hrast-HKS-HSP AS-UHD,HBPS,HDS,HDZ,HNS-LD,HSS-GLAS-IDS-HSU-PGS-Demokrati-Laburisti,HSLS,HSR,Kolakušić,MVH,Most,Možemo!-NL-OraH,NS-R,P-UK,Petir,PMH,RF-SRP,SDSS,SSH,SH,SNAGA,SDP,START,SHZ,ZSZ,ZL,ŽZ
HR_04561,Tompojevci,1232,465,13,0,3,2,0,16,2,120,2,7,124,1,3,0,0,9,2,66,3,0,1,13,3,0,25,0,2,0,22,2,1,0,1,22
HR_04570,Topusko,2596,534,15,0,2,8,4,9,8,37,0,3,193,1,5,1,0,20,1,10,2,5,0,25,1,1,93,1,0,0,58,2,0,0,1,28
HR_04588,Tordinci,1674,461,21,0,2,1,3,18,2,63,0,9,154,38,15,12,1,22,1,10,0,2,1,20,1,0,10,0,0,1,33,1,0,0,1,19
HR_05576,Tounj,910,252,16,0,1,3,0,4,0,31,1,6,69,5,3,0,0,18,2,11,2,0,1,16,0,2,1,0,0,0,22,1,0,0,4,33
HR_04596,Tovarnik,2173,722,16,0,2,1,5,49,0,121,0,11,242,1,12,4,0,55,6,82,0,0,2,29,3,0,20,0,0,2,34,2,1,0,4,18
HR_06262,Tribunj,1546,482,13,0,2,5,0,33,0,43,1,10,125,5,13,0,0,48,1,35,4,1,0,9,1,3,2,0,1,0,96,1,1,0,1,28
HR_04600,Trilj,7962,2363,86,0,26,8,7,194,3,187,5,20,1058,10,32,9,0,109,1,266,4,3,15,73,1,2,2,2,2,0,145,9,13,0,4,67
HR_04618,Trnava,1324,325,17,0,6,2,0,26,4,28,1,3,108,4,7,0,0,12,0,12,1,2,0,13,1,0,9,0,1,0,38,0,0,0,4,26
HR_04626,Trnovec Bartolovecki,5805,1487,36,0,4,3,4,8,2,60,2,8,190,291,52,3,2,113,1,28,8,204,28,40,3,1,0,1,4,8,261,19,1,0,6,96
HR_04634,Trogir,12312,3203,88,0,8,12,7,200,0,246,2,25,741,239,32,9,3,203,2,158,16,4,56,115,4,16,13,1,2,2,820,26,2,1,11,139
HR_06017,Trpanj,746,263,9,0,1,0,2,5,0,29,2,2,91,8,4,8,1,20,0,14,0,1,1,7,2,0,1,0,2,0,44,3,0,0,3,3
HR_04642,Trpinja,4239,1185,31,0,5,5,0,4,35,10,0,2,41,3,2,0,0,4,0,1,0,0,0,1,0,2,968,0,1,0,49,0,1,0,0,20
