gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΕΥΡΩΠΑΪΚΟ ΚΟΜΜΑ (ΕΥΡΩ.ΚΟ),ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΚΙΝΗΜΑ ΕΛΕΥΘΕΡΟΙ ΠΟΛΙΤΕΣ,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,ΕΝΩΜΕΝΟΙ ΔΗΜΟΚΡΑΤΕΣ (Ε.ΔΗ),ΕΥΡΩΠΑΪΚΗ ΔΗΜΟΚΡΑΤΙΑ,ΠΟΛΙΤΙΚΟ ΚΙΝΗΜΑ ΚΥΝΗΓΩΝ,ΛΑΪΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ,ΚΩΣΤΑ ΧΡΙΣΤΑΚΗΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΑΝΔΡΕΑΣ,ΜΙΧΑΗΛ ΑΝΑΣΤΑΣΗΣ,ΚΥΡΙΑΚΟΥ (ΟΥΤΟΠΟΣ) ΚΩΣΤΑΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΟΣ
CY_1104,Κοτσιάτης,132,133,4,2,49,10,43,2,10,7,1,2,0,0,2,0,1,0,0,0,0
CY_1105,Νήσου,691,649,15,9,140,322,50,35,46,7,8,12,2,2,1,0,0,0,0,0,0
CY_1106,Πέρα Χωριό,1906,1778,80,26,343,950,125,57,129,18,16,20,4,1,8,0,0,0,0,0,1
CY_1107,Dali,4714,4399,129,93,1342,1714,342,167,364,48,68,108,7,12,3,0,2,0,0,0,0
CY_1108,Λύμπια,1590,1538,29,22,472,706,104,38,126,6,19,6,0,6,0,0,4,0,0,0,0
CY_1109,Λυθροδόντας,1777,1679,56,38,397,624,301,61,134,27,11,14,2,7,5,0,2,0,0,0,0
CY_1120,Potamia,320,300,13,3,61,126,31,38,16,0,0,11,0,0,0,0,1,0,0,0,0
CY_1200,Kampi,110,100,7,3,10,36,9,0,33,1,1,0,0,0,0,0,0,0,0,0,0
CY_1201,Φαρμακάς,420,402,12,4,83,222,61,0,11,1,4,1,1,2,0,0,0,0,0,0,0
CY_1202,Απλίκι,80,80,1,2,13,40,12,6,5,0,0,0,0,0,0,0,1,0,0,0,0
CY_1204,Γούρρη,266,215,6,6,63,77,39,16,4,0,3,1,0,0,0,0,0,0,0,0,0
CY_1206,Άγιος Επιφάνιος Ορεινής,317,295,5,4,67,134,52,10,16,2,2,0,3,0,0,0,0,0,0,0,0
CY_1207,Καλό Χωριό Ορεινής,422,399,15,9,69,209,42,16,26,1,6,4,2,0,0,0,0,0,0,0,0
CY_1208,Malounta,218,203,7,3,49,67,33,6,31,1,3,0,3,0,0,0,0,0,0,0,0
CY_1209,Κλήρου,1096,1000,27,16,255,420,109,23,113,3,11,11,6,3,2,0,1,0,0,0,0
