gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΕΥΡΩΠΑΪΚΟ ΚΟΜΜΑ (ΕΥΡΩ.ΚΟ),ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,ΕΘΝΙΚΟ ΛΑΪΚΟ ΜΕΤΩΠΟ (Ε.ΛΑ.Μ),ΓΡΑΦΕΙΟ ΔΙΚΑΙΩΜΑΤΩΝ ΠΟΛΙΤΗ(ΛΑ.ΣΟ.Κ),ΚΥΠΡΙΑΚΗ ΠΡΟΟΔΕΥΤΙΚΗ ΣΥΝΕΡΓΑΣΙΑ (ΚΥ.ΠΡΟ.Σ),ΖΥΓΟΣ ΚΙΝΗΜΑ ΑΝΕΞΑΡΤΗΤΩΝ ΠΟΛΙΤΩΝ,ΣΤΑΥΡΟΥ ΛΟΥΚΑΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΣΤΑΥΡΟΥ ΠΑΜΠΟΣ,ΚΥΡΙΑΚΟΥ (ΟΥΤΟΠΟΣ) ΚΩΣΤΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΝΕΟΦΥΤΟΣ,ΠΙΕΡΙΔΗΣ ΑΝΤΩΝΗΣ
CY_5000,Λεμεσός,65092,49319,1142,562,15069,14596,8633,5071,2081,1131,342,413,88,145,7,0,20,6,0,13
CY_5011,Mesa Geitonia,9160,7165,165,83,2067,2470,1132,755,228,116,43,67,12,24,0,0,2,0,0,1
CY_5012,Agios Athanasios,7832,6081,165,66,1872,2206,785,529,245,117,40,33,4,12,2,0,0,3,0,2
CY_5013,Germasogeia,5405,4180,102,42,1446,1232,601,396,172,108,28,23,4,18,0,0,8,0,0,0
CY_5020,Pano Polemidia,3458,2837,73,27,786,1352,328,130,76,24,10,24,2,5,0,0,0,0,0,0
CY_5021,'Υψωνας,4884,3867,106,34,1562,945,612,313,146,68,33,34,2,5,0,0,2,1,0,4
CY_5022,Kato Polemidia,12934,10038,270,122,3180,3655,1396,804,282,160,61,72,11,14,1,0,1,2,1,6
CY_5100,Palodeia,663,519,7,7,164,169,82,58,13,10,5,1,0,2,1,0,0,0,0,0
CY_5101,Παραμύθα,255,213,5,0,76,31,59,22,6,9,3,2,0,0,0,0,0,0,0,0
CY_5102,Spitali,181,150,6,1,90,9,25,11,1,5,1,0,0,1,0,0,0,0,0,0
CY_5103,Φασούλα Λεμεσού,355,293,2,1,108,109,23,24,10,4,8,3,1,0,0,0,0,0,0,0
CY_5104,Μαθικολώνη,87,82,3,1,27,15,21,14,0,0,0,0,0,1,0,0,0,0,0,0
CY_5105,Gerasa,83,77,1,0,32,13,14,13,4,0,0,0,0,0,0,0,0,0,0,0
CY_5106,Apsiou,195,178,3,3,27,108,17,18,0,2,0,0,0,0,0,0,0,0,0,0
CY_5107,Apesia,293,253,2,2,142,12,54,28,7,4,1,0,0,0,0,0,1,0,0,0
CY_5108,Κορφή,154,129,3,4,82,10,12,15,1,0,0,2,0,0,0,0,0,0,0,0
CY_5109,Λιμνάτης,315,280,9,2,88,64,81,31,2,2,1,0,0,0,0,0,0,0,0,0
CY_5120,Mouttagiaka,1994,1544,38,31,463,637,171,101,54,25,11,7,1,5,0,0,0,0,0,0
CY_5122,Φοινικάρια,134,121,4,1,38,43,13,9,11,1,0,0,0,1,0,0,0,0,0,0
CY_5123,Akrounta,280,232,4,0,47,37,74,55,14,0,0,0,0,1,0,0,0,0,0,0
CY_5124,'Αγιος Τύχων,1486,1084,29,12,432,290,131,72,75,19,5,13,3,2,1,0,0,0,0,0
CY_5125,Παρεκκλησιά,923,776,20,6,268,231,140,66,28,8,2,4,1,1,1,0,0,0,0,0
CY_5126,Pentakomo,316,267,6,3,77,59,19,43,54,3,1,1,1,0,0,0,0,0,0,0
CY_5127,Monagroulli,323,279,4,1,89,128,22,29,2,0,2,2,0,0,0,0,0,0,0,0
CY_5128,Μονή,278,235,2,4,67,90,30,28,7,2,1,1,2,1,0,0,0,0,0,0
CY_5129,Πύργος Λεμεσού,922,786,12,11,289,177,65,167,42,9,5,7,1,1,0,0,0,0,0,0
