gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΕΥΡΩΠΑΪΚΟ ΚΟΜΜΑ (ΕΥΡΩ.ΚΟ),ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,ΕΘΝΙΚΟ ΛΑΪΚΟ ΜΕΤΩΠΟ (Ε.ΛΑ.Μ),ΓΡΑΦΕΙΟ ΔΙΚΑΙΩΜΑΤΩΝ ΠΟΛΙΤΗ(ΛΑ.ΣΟ.Κ),ΚΥΠΡΙΑΚΗ ΠΡΟΟΔΕΥΤΙΚΗ ΣΥΝΕΡΓΑΣΙΑ (ΚΥ.ΠΡΟ.Σ),ΖΥΓΟΣ ΚΙΝΗΜΑ ΑΝΕΞΑΡΤΗΤΩΝ ΠΟΛΙΤΩΝ,ΣΤΑΥΡΟΥ ΛΟΥΚΑΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΣΤΑΥΡΟΥ ΠΑΜΠΟΣ,ΚΥΡΙΑΚΟΥ (ΟΥΤΟΠΟΣ) ΚΩΣΤΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΝΕΟΦΥΤΟΣ,ΠΙΕΡΙΔΗΣ ΑΝΤΩΝΗΣ
CY_1305,Lagoudera,121,98,4,1,59,10,17,2,2,1,1,1,0,0,0,0,0,0,0,0
CY_1306,Saranti,74,61,0,2,37,5,11,4,0,1,0,0,1,0,0,0,0,0,0,0
CY_1307,Λιβάδια Λευκωσίας,64,54,0,0,21,16,12,1,0,3,1,0,0,0,0,0,0,0,0,0
CY_1309,Platanistasa,161,139,1,2,53,38,21,13,8,1,1,0,0,0,0,0,0,1,0,0
CY_1310,Παλαιχώρι Ορεινής,410,324,7,6,95,92,32,24,49,2,6,4,1,0,0,0,0,6,0,0
CY_1320,Ξυλιάτος,136,125,1,1,51,34,5,18,12,1,0,2,0,0,0,0,0,0,0,0
CY_1322,Νικητάρι,414,344,1,2,159,71,67,16,18,4,5,0,0,0,0,0,0,1,0,0
CY_1323,Βυζακιά,369,286,6,5,104,89,50,16,4,5,1,4,0,0,0,0,0,2,0,0
CY_1324,Αγία Μαρίνα Ξυλιάτου,604,503,13,6,169,192,73,30,7,5,4,0,1,0,0,0,0,2,1,0
CY_1326,Κάτω Μονή,274,207,1,1,69,71,33,14,2,10,3,2,0,1,0,0,0,0,0,0
CY_1327,Orounta,510,411,10,3,115,106,74,68,14,4,6,5,1,2,0,0,0,3,0,0
CY_1330,Potami,484,412,4,1,150,101,83,46,9,4,2,0,5,1,0,0,0,5,1,0
CY_1360,Akaki,2092,1694,26,14,506,518,439,72,59,27,19,4,2,6,0,0,0,2,0,0
CY_1361,Περιστερώνα Λευκωσίας,2125,1615,52,14,563,454,248,177,44,25,15,14,3,3,0,0,0,3,0,0
CY_1362,Αστρομερίτης,1891,1491,37,21,406,547,280,118,31,35,11,1,2,1,0,0,0,1,0,0
CY_1368,Meniko,748,563,17,8,159,171,85,31,15,28,40,4,1,0,0,0,0,3,1,0
CY_1400,Σπήλια,205,176,3,0,86,38,25,16,3,2,1,2,0,0,0,0,0,0,0,0
CY_1403,Καννάβια,268,224,7,1,90,34,58,16,12,2,2,0,1,1,0,0,0,0,0,0
CY_1404,Kakopetria,1068,880,18,6,333,208,95,146,41,14,13,2,0,3,0,0,0,1,0,0
CY_1405,Άγιος Θεόδωρος Σολέας,87,83,0,0,26,11,10,31,3,0,2,0,0,0,0,0,0,0,0,0
CY_1406,Galata,668,548,15,5,121,111,229,40,6,11,7,0,1,1,0,0,0,1,0,0
CY_1407,Sinaoros,191,176,1,1,18,26,97,32,0,1,0,0,0,0,0,0,0,0,0,0
CY_1408,Kaliana,243,200,1,0,41,39,73,37,4,3,1,1,0,0,0,0,0,0,0,0
CY_1409,Τεμβριά,565,486,12,1,50,253,72,85,3,2,2,5,0,0,0,0,0,1,0,0
CY_1410,Korakou,558,465,11,4,106,159,71,88,5,14,4,1,2,0,0,0,0,0,0,0
CY_1411,Ευρύχου,898,727,13,5,214,165,168,121,14,14,4,9,0,0,0,0,0,0,0,0
CY_1412,Φλάσου,258,216,5,2,39,75,33,31,30,1,0,0,0,0,0,0,0,0,0,0
CY_1415,Ληνού,207,174,5,0,43,61,28,21,4,3,7,0,2,0,0,0,0,0,0,0
CY_1416,Κατύδατα,209,180,8,5,52,44,27,34,4,3,1,1,1,0,0,0,0,0,0,0
CY_1420,Pedoulas,219,170,2,1,68,24,47,22,2,4,0,0,0,0,0,0,0,0,0,0
CY_1421,Μυλικούρι,41,33,1,0,6,11,5,2,0,7,0,0,0,1,0,0,0,0,0,0
CY_1422,Moutoullas,322,271,7,6,62,72,69,45,6,2,2,0,0,0,0,0,0,0,0,0
