gisco_id,name,registered,turnout,invalid,blank,Slovenská ľudová strana Andreja Hlinku,DOBRÁ VOĽBA,Sloboda a Solidarita,SME RODINA,Slovenské Hnutie Obrody,ZA ĽUDÍ,MÁME TOHO DOSŤ !,Slovenská národná strana,Demokratická strana,"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA",Koalícia Progresívne Slovensko a SPOLU - občianska demokracia,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,99 % - občiansky hlas,Kresťanskodemokratické hnutie,Slovenská liga,VLASŤ,MOST - HÍD,SMER - sociálna demokracia,SOLIDARITA - Hnutie pracujúcej chudoby,HLAS ĽUDU,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,Práca slovenského národa,Kotlebovci - Ľudová strana Naše Slovensko,Socialisti.sk
SK_556025,Vlkas,261,196,1,0,1,7,5,20,0,9,0,8,1,41,0,0,0,7,0,4,0,84,0,0,0,0,8,0
SK_503649,Zemne,1753,977,6,0,2,6,17,27,0,25,2,8,0,151,22,0,0,4,0,9,89,51,0,0,533,0,22,3
SK_503711,Diakovce,1950,1252,14,0,1,11,31,82,0,37,6,10,0,261,59,3,2,6,0,12,148,63,0,0,443,0,57,6
SK_503720,Dlha nad Vahom,773,563,3,0,0,15,22,39,0,35,2,3,0,169,34,5,0,1,0,3,58,29,1,0,128,0,15,1
SK_500241,Hajske,1066,682,9,0,3,27,20,53,1,18,2,25,0,169,34,1,0,43,1,16,2,189,0,0,0,0,64,5
SK_555878,Horna Kralova,1541,1006,10,0,2,36,51,109,1,36,5,27,0,304,35,6,0,13,0,18,56,200,3,1,14,1,70,8
SK_503886,Kralova nad Vahom,1489,1068,16,0,2,17,84,57,0,37,2,6,1,231,84,0,1,7,0,9,127,35,0,1,303,0,45,3
SK_500739,Mocenok,3625,2345,50,0,9,113,107,256,7,100,8,137,0,553,103,9,1,117,2,52,16,443,4,1,1,2,245,9
SK_503932,Neded,2620,1245,19,0,7,20,24,61,0,35,6,16,0,241,36,2,0,0,0,35,114,114,1,0,467,0,41,6
SK_503991,Selice,2269,909,27,0,15,7,18,71,0,42,3,3,2,340,18,16,0,2,0,14,96,88,1,1,118,1,22,4
SK_504025,Sala,17779,11663,145,0,12,348,1005,1020,5,813,26,227,21,3279,939,11,5,259,3,179,490,1728,14,4,486,4,581,59
SK_504068,Tesedikovo,3096,1991,18,0,5,15,22,77,0,51,0,19,1,347,84,0,0,2,0,13,231,65,1,2,987,1,47,3
SK_504092,Trnovec nad Vahom,2218,1332,51,0,6,35,81,141,0,138,0,28,2,371,60,1,0,13,0,20,60,177,1,1,47,0,95,4
SK_504165,Vlcany,2698,1517,13,0,2,12,32,80,0,32,6,18,0,311,47,2,0,3,0,12,231,89,0,0,590,0,35,2
SK_504190,Ziharec,1423,871,15,0,2,11,15,29,1,17,1,6,0,141,14,0,0,1,0,11,83,40,1,0,453,0,28,2
SK_556220,Ardanovce,170,105,1,0,0,1,1,8,0,1,1,33,0,14,4,0,0,1,0,0,0,31,0,0,0,0,9,0
SK_542661,Belince,286,205,3,0,1,5,4,25,0,14,1,3,0,38,2,0,0,6,0,9,0,81,0,0,0,0,12,1
SK_542695,Biskupova,188,119,0,0,0,1,2,9,0,9,3,14,0,18,1,0,0,6,0,6,0,36,0,0,0,0,14,0
SK_542709,Blesovce,302,218,4,0,0,7,4,23,0,1,0,14,0,25,10,1,0,9,0,7,0,86,0,0,0,0,27,0
SK_542717,Bojna,1697,1155,11,0,1,29,29,126,1,21,5,68,1,209,29,4,0,51,0,36,1,379,0,0,0,0,141,13
SK_556297,Celadince,382,271,2,0,0,6,9,25,0,7,0,11,1,59,9,0,0,5,0,13,4,82,1,0,0,0,37,0
SK_542792,Cermany,345,229,3,0,0,7,8,10,0,5,0,7,4,55,9,0,0,6,0,11,0,77,0,0,0,0,20,7
SK_556262,Dvorany nad Nitrou,642,439,3,0,1,22,12,36,0,4,2,17,1,89,20,0,1,34,0,11,1,139,0,0,0,0,41,5
SK_542881,Hajna Nova Ves,278,171,4,0,0,2,3,15,0,0,0,7,0,29,5,0,0,13,0,1,0,73,0,0,0,0,17,2
SK_556351,Horne Chlebany,300,202,6,0,1,7,14,22,0,1,0,12,0,29,6,0,0,13,0,9,0,52,0,0,0,0,27,3
SK_542938,Horne Obdokovce,1300,819,0,0,7,29,33,79,3,17,2,31,0,158,16,0,1,24,0,25,0,263,0,1,0,0,123,7
SK_542954,Horne Stitare,472,310,1,0,1,9,6,38,0,10,3,12,1,64,8,0,0,29,0,9,0,88,0,0,0,0,29,2
SK_542971,Hrusovany,917,623,4,0,1,21,18,49,0,15,4,23,1,86,16,0,0,31,0,16,2,294,0,0,0,0,41,1
SK_556165,Chrabrany,676,493,3,0,0,17,15,50,0,14,1,20,0,95,24,0,0,48,0,11,2,158,0,0,0,0,30,5
SK_556157,Jacovce,1541,1072,6,0,2,42,56,88,1,36,1,79,1,299,35,0,0,95,1,22,2,205,0,1,0,1,97,2
SK_543039,Kamanova,500,338,4,0,0,6,15,34,0,11,1,19,0,54,6,1,0,14,0,7,1,129,0,0,0,0,35,1
SK_543063,Koniarovce,541,371,1,0,1,5,28,47,0,10,1,13,1,62,14,1,0,35,0,5,1,107,0,1,0,0,38,0
SK_543071,Kovarce,1317,778,4,0,1,28,28,70,1,16,5,42,2,131,28,0,0,44,0,20,0,271,2,1,0,3,79,2
