gisco_id,name,registered,turnout,invalid,blank,Changement citoyen,Décidons nous-mêmes,REC,LFI,RN,LÉ,Free Palestine,PA,Communistes,ENS,PACE,Équinoxe,Écologie positive,UPR,Paix et Décroissance,LR,LO,ND-AE,RS,NPA-R,PT,LP-VIA,Rester libre,Les Nationalistes,PS-PP,ANC,Résistons,France Libre,ETÉ,La Ruche citoyenne,PCF,Défendre les enfants,ÉAC,Démocratie représentative,EDE,LDF
FR_89156,Esnon,291,153,4,1,0,0,6,3,101,2,0,0,0,9,0,0,0,3,0,9,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
FR_52190,Esnouveaux,254,138,4,1,0,0,7,6,56,6,0,0,0,18,0,0,2,0,0,9,0,0,0,0,0,1,0,0,17,0,1,0,0,0,3,0,4,0,0,0
FR_19075,Espagnac,315,209,11,6,0,0,10,17,51,12,0,0,0,18,0,0,0,0,0,14,0,0,0,0,0,2,0,0,30,0,19,0,0,0,15,0,3,0,0,0
FR_46093,Espagnac-Sainte-Eulalie,89,68,0,0,0,0,0,6,9,6,0,0,0,8,0,1,0,2,0,2,2,0,0,0,0,0,0,0,22,0,3,0,0,0,6,0,0,0,0,0
FR_82054,Espalais,269,163,0,3,0,0,11,8,66,0,0,0,0,15,0,0,1,2,0,4,1,0,0,0,0,2,0,0,20,0,24,0,0,0,3,0,0,0,0,0
FR_43088,Espalem,287,163,2,7,0,0,7,5,67,10,0,0,0,9,0,0,0,2,0,26,1,0,1,0,0,2,0,0,12,0,7,0,0,0,2,0,1,0,0,0
FR_12096,Espalion,3614,1955,49,35,0,0,112,72,567,70,0,1,0,316,0,5,1,10,0,203,3,2,1,0,0,13,0,0,274,0,115,0,9,0,33,0,29,0,1,0
FR_43089,Espaly-Saint-Marcel,2502,1390,18,25,0,0,72,95,434,68,0,0,0,160,0,6,4,15,0,153,7,0,4,1,0,13,0,0,208,0,29,0,2,0,25,0,18,0,2,0
FR_31171,Espanès,234,172,6,3,0,0,5,15,23,21,0,1,0,26,0,0,0,2,0,11,0,0,0,0,0,2,0,0,36,0,12,0,0,0,2,0,2,0,1,0
FR_32124,Espaon,166,104,1,3,0,0,6,4,39,3,0,0,0,9,0,0,0,1,0,5,0,0,0,0,0,1,0,0,16,0,11,0,1,0,1,0,1,0,0,0
FR_05049,Esparron,51,34,0,1,0,0,3,3,9,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,1,0,0,0
FR_31172,Esparron,40,28,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,3,0,0,0,2,0,0,0,0,0
FR_83052,Esparron,267,152,0,4,0,0,15,11,61,11,0,0,0,12,0,1,0,1,0,12,0,0,0,0,0,0,0,0,12,0,1,0,0,0,5,0,3,0,0,0
FR_04081,Esparron-de-Verdon,329,218,2,2,0,0,10,16,67,13,0,0,0,30,0,0,1,6,0,5,0,0,0,0,0,4,0,0,27,0,16,0,0,0,8,0,1,0,0,0
FR_65165,Esparros,152,92,4,4,0,0,7,9,20,4,0,0,0,8,0,0,0,2,0,0,2,0,0,1,0,0,0,0,16,0,6,0,0,0,3,0,0,0,0,0
FR_82055,Esparsac,219,129,3,3,0,0,11,10,40,10,0,1,0,12,0,0,0,1,0,8,0,0,0,0,0,1,0,0,15,0,7,0,0,0,2,0,3,0,0,0
FR_19076,Espartignac,334,228,6,8,0,0,13,17,69,6,0,0,0,23,0,1,0,1,0,10,1,0,0,0,0,6,0,0,33,0,16,0,0,0,13,0,2,0,0,0
FR_32125,Espas,107,68,1,1,0,0,6,2,18,0,0,0,0,11,0,0,0,1,0,5,1,0,0,0,0,1,0,0,12,0,5,0,0,0,2,0,1,0,0,0
FR_60220,Espaubourg,379,218,5,6,0,0,5,8,126,5,0,0,0,18,0,0,0,4,0,12,1,0,0,0,0,1,0,0,10,0,2,0,0,0,8,0,2,0,0,0
FR_64213,Espelette,1838,897,14,21,0,0,31,38,189,47,0,0,0,159,0,2,12,12,0,40,7,4,0,7,0,12,0,0,145,0,90,0,6,0,16,0,28,0,4,0
FR_26121,Espeluche,950,590,11,13,0,0,29,20,231,33,0,0,0,72,0,1,2,4,0,47,2,0,0,0,0,12,0,0,65,0,10,0,2,0,11,0,15,0,0,0
FR_26122,Espenel,140,107,0,0,0,0,2,27,16,21,0,0,0,8,0,2,1,1,0,2,0,0,0,0,0,0,0,0,15,0,4,0,0,0,4,0,2,0,0,0
