gisco_id,name,registered,turnout,blank,invalid,A,B,C,F,K,O,V,Y,Ø,1,2,3,4,5
DK_615,Horsens,58088,50286,253,126,13610,1788,4131,5536,271,7247,15154,1605,557,8,0,0,0,0
DK_621,Kolding,64168,55319,212,129,10607,2267,6073,8762,512,8141,16964,1168,484,0,0,0,0,0
DK_630,Vejle,76449,66111,300,217,13634,2954,6320,8027,805,10278,21209,1658,709,0,0,0,0,0
DK_657,Herning,61346,53919,233,113,10374,2208,3843,3855,2217,7163,22631,922,338,22,0,0,0,0
DK_661,Holstebro,42029,36762,161,59,8906,1390,1992,3749,972,4122,14553,565,284,9,0,0,0,0
DK_665,Lemvig,16394,14275,61,33,2735,504,895,1866,386,1875,5621,204,90,5,0,0,0,0
DK_671,Struer,16776,14700,66,33,3709,465,989,1868,292,1701,5221,253,100,3,0,0,0,0
DK_706,Syddjurs,30633,26545,131,60,6689,1118,2321,3129,132,3879,8052,672,357,5,0,0,0,0
DK_707,Norddjurs,29064,24233,106,37,7081,745,1704,2385,146,3838,7489,402,293,7,0,0,0,0
DK_710,Favrskov,32493,28655,145,44,7343,1428,2634,2674,178,3708,9406,796,294,5,0,0,0,0
DK_727,Odder,15692,14083,55,16,3953,708,1269,1802,76,1476,4128,380,216,4,0,0,0,0
DK_730,Randers,70426,59948,256,122,19522,1890,4376,5677,526,8702,17194,1115,558,10,0,0,0,0
DK_740,Silkeborg,63739,56303,268,122,14413,2356,6171,6109,870,6852,16342,1998,797,5,0,0,0,0
DK_741,Samsø,3182,2718,12,3,675,130,224,391,14,327,790,72,79,1,0,0,0,0
DK_746,Skanderborg,39653,35739,144,46,9200,1819,3335,4088,185,4145,11046,1194,531,6,0,0,0,0
DK_751,Aarhus,220942,194212,864,375,53603,14427,17763,33454,1761,18139,40433,6532,6816,45,0,0,0,0
DK_756,Ikast-Brande,28748,24982,151,55,4943,756,2082,1739,934,4292,9459,420,142,9,0,0,0,0
DK_760,Ringkøbing-Skjern,42002,36633,182,56,6254,1222,2789,2858,2363,4939,15089,683,190,8,0,0,0,0
DK_766,Hedensted,32796,28999,171,53,5756,868,2311,2360,531,4757,11382,621,186,3,0,0,0,0
DK_773,Morsø,16795,14351,82,36,4167,591,1436,1295,135,1997,4299,200,108,3,2,0,0,0
DK_779,Skive,36155,31143,163,69,8721,1431,1660,3120,311,4078,10883,443,262,2,0,0,0,0
DK_787,Thisted,33859,29252,132,75,7385,1074,3320,2692,563,4143,9123,448,293,4,0,0,0,0
DK_791,Viborg,67898,58892,305,156,14609,2444,4496,5478,855,7335,21493,1237,474,10,0,0,0,0
DK_810,Brønderslev,26595,22911,116,38,6793,710,2841,2060,263,3087,6451,370,178,2,2,0,0,0
DK_813,Frederikshavn,48208,40338,144,102,12822,1079,4621,3273,376,6663,10441,542,269,4,2,0,0,0
DK_820,Vesthimmerland,28299,23741,88,81,4936,671,4544,2388,277,3260,6955,387,152,2,0,0,0,0
DK_825,Læsø,1606,1383,2,4,371,46,110,109,28,263,405,26,19,0,0,0,0,0
DK_840,Rebild,20815,18249,76,37,4754,842,2435,1573,172,2307,5395,439,211,5,3,0,0,0
DK_846,Mariagerfjord,31653,27041,115,61,7478,974,3429,2540,254,3798,7647,516,222,5,2,0,0,0
DK_849,Jammerbugt,29076,24882,105,54,7341,733,3073,2213,360,3631,6847,359,162,4,0,0,0,0
DK_851,Aalborg,148334,126735,577,278,40585,6090,16842,15652,975,15502,25454,2615,2116,38,11,0,0,0
DK_860,Hjørring,50196,42601,160,128,11604,1596,6832,4182,442,5602,11013,680,352,6,4,0,0,0
