gisco_id,name,registered,turnout,blank,invalid,A,B,C,F,I,K,O,V,Ø,1,2,3,4,5,6
DK_779,Skive,36009,31480,250,73,9064,2281,803,2696,1322,259,3856,9701,1168,7,0,0,0,0,0
DK_787,Thisted,33474,29169,179,81,8453,1688,1492,1767,867,448,4090,9031,1065,8,0,0,0,0,0
DK_791,Viborg,68885,60521,422,201,14378,4872,2083,5238,2730,626,6898,20772,2247,50,4,0,0,0,0
DK_810,Brønderslev,26716,23457,143,56,7184,1467,1358,1921,943,208,2714,6607,846,10,0,0,0,0,0
DK_813,Frederikshavn,47593,40721,168,150,13692,1891,1827,3134,1366,301,5613,11178,1393,8,0,0,0,0,0
DK_820,Vesthimmerland,27979,23814,154,59,5390,1355,1382,2563,917,220,3222,7921,624,7,0,0,0,0,0
DK_825,Læsø,1574,1353,3,5,377,79,49,93,37,9,256,382,63,0,0,0,0,0,0
DK_840,Rebild,20995,18654,97,41,5138,1438,1037,1469,916,129,2120,5595,668,6,0,0,0,0,0
DK_846,Mariagerfjord,31830,27255,200,52,8227,1715,1311,1964,1189,233,3522,7856,979,7,0,0,0,0,0
DK_849,Jammerbugt,29119,25340,151,63,8053,1394,1277,2017,895,232,3337,7100,812,9,0,0,0,0,0
DK_851,Aalborg,151407,131201,751,311,40358,11258,6893,12910,5906,845,13549,30368,7993,59,0,0,0,0,0
DK_860,Hjørring,50101,43265,259,82,12017,2665,3046,3915,1585,377,5105,12521,1679,14,0,0,0,0,0
