gisco_id,name,registered,turnout,invalid,blank,PSD-PC,PDL,PNL,UDMR/RMDSZ,PRM,PDL,PNȚCD,Pavel,FC
ROZZRU,RUSIA,0,89,2,0,19,0,17,30,7,1,4,3,6
ROZZSM,SAN MARINO,0,28,3,0,1,0,13,3,2,0,6,0,0
ROZZUS,S.U.A.,0,723,18,0,128,24,332,80,34,8,30,60,9
ROZZSN,SENEGAL,0,16,1,0,5,0,7,2,0,0,0,1,0
ROZZRS,SERBIA,0,62,3,0,8,0,19,23,1,0,4,3,1
ROZZSG,SINGAPORE,0,25,2,0,6,0,7,5,1,0,2,1,1
ROZZSY,Syria,6931,996,65,0,96,34,452,202,13,9,60,54,11
ROZZSK,SLOVACIA,0,28,0,0,9,2,6,11,0,0,0,0,0
ROZZSI,SLOVENIA,0,21,1,0,4,0,4,4,0,0,6,2,0
ROZZES,SPANIA,0,1125,95,0,150,8,356,118,20,3,222,139,14
ROZZLK,SRI LANKA,0,5,0,0,1,1,0,3,0,0,0,0,0
ROZZSD,SUDAN,0,9,0,0,2,0,4,1,0,0,1,0,1
ROZZSE,SUEDIA,0,44,2,0,9,5,9,9,0,1,8,1,0
ROZZTH,THAILANDA,0,25,1,0,11,0,5,4,1,1,1,0,1
ROZZTN,TUNISIA,0,32,1,0,3,0,10,13,0,0,3,2,0
ROZZTR,TURCIA,0,156,2,0,34,2,41,42,4,1,11,10,9
ROZZTM,TURKMENISTAN,0,8,0,0,1,0,4,2,0,0,1,0,0
ROZZUA,UCRAINA,0,48,3,0,8,0,15,13,0,0,6,2,1
ROZZHU,UNGARIA,0,841,8,0,36,699,45,25,2,1,11,12,2
ROZZUY,URUGUAY,0,22,2,0,2,4,11,3,0,0,0,0,0
ROZZUZ,UZBEKISTAN,0,9,0,0,0,0,2,6,0,0,0,0,1
ROZZVE,VENEZUELA,0,28,0,0,19,0,6,3,0,0,0,0,0
ROZZVN,VIETNAM,0,33,1,0,3,0,11,9,2,1,5,1,0
ROZZZW,ZIMBABWE,0,9,0,0,1,0,6,1,1,0,0,0,0
ROZZXK,Kosovo,0,187,50,0,18,1,33,41,0,2,21,19,2
ROZZAF,AFGANISTAN,0,469,82,0,32,2,116,83,4,4,35,99,12
RO_001017,Municipiul Alba Iulia,60457,12337,423,0,1783,334,4749,2496,360,86,1227,743,136
RO_001071,Ciugud,2337,1200,51,0,115,4,298,631,22,1,41,32,5
RO_001151,Oraş Abrud,4885,1303,54,0,188,18,354,401,16,7,195,56,14
RO_001213,Municipiul Aiud,23225,5143,175,0,910,1068,1172,947,108,41,417,251,54
RO_001348,Municipiul Blaj,17299,5809,242,0,431,287,3271,878,190,13,318,142,37
RO_001455,Oraş Câmpeni,6706,1475,44,0,239,7,417,391,38,10,247,68,14
RO_001696,Oraş Cugir,24189,6666,258,0,1312,61,1819,2280,98,33,540,210,55
RO_001794,Oraş Ocna Mureş,12711,2548,81,0,329,265,891,542,80,32,196,102,30
RO_001874,Municipiul Sebeş,25445,4741,183,0,694,36,1932,1278,73,10,298,206,31
RO_001936,Oraş Zlatna,7026,2603,85,0,158,30,1090,827,124,5,184,84,16
RO_002130,Albac,1779,645,17,0,33,2,404,98,16,4,38,29,4
