gisco_id,name,registered,turnout,invalid,blank,PR,PUSL,USR-PMP-FD,S.O.S. România,ARS,SENS,REPER,AUR,PDU,UDMR/RMDSZ,AD,PRM,CNR,Pîrvănescu,Gheorghe
RO_031128,Sarbi,1929,1799,83,0,4,6,27,69,2,11,9,300,10,35,7,3,1209,2,21
RO_031208,Spinus,909,769,28,0,2,6,21,40,2,4,7,74,4,19,0,5,549,0,6
RO_031262,Suplacu De Barcau,3515,2270,212,0,15,8,47,90,2,17,20,248,25,601,4,5,946,2,28
RO_031333,Simian,3030,1821,75,0,2,2,7,26,2,1,3,50,3,1527,1,3,114,1,4
RO_031379,Sinteu,912,419,77,0,2,1,13,28,0,6,7,63,2,29,0,6,180,2,3
RO_031422,Soimi,1772,1106,72,0,3,15,31,32,1,15,11,131,3,14,2,3,763,3,7
RO_031510,Suncuius,2353,1415,96,0,15,11,47,64,2,12,9,361,19,56,1,11,672,4,33
RO_031565,Tarcea,2056,1025,53,0,0,2,1,7,2,1,2,34,1,821,0,0,93,3,5
RO_031609,Tarcaia,1580,1363,54,0,2,3,43,15,4,1,4,98,10,561,3,0,553,4,8
RO_031654,Tauteu,3487,1952,67,0,6,1,18,93,4,12,11,377,4,786,3,11,521,3,34
RO_031716,Tileagd,5422,2627,169,0,12,43,66,166,9,53,26,378,46,449,4,9,1125,12,36
RO_031789,Tinca,6071,3744,424,0,13,22,42,166,6,38,18,528,23,331,6,17,2062,6,42
RO_031841,Tulca,2199,1536,82,0,5,38,36,70,2,12,10,214,13,23,7,3,999,0,22
RO_031878,Tetchea,2477,1646,214,0,11,3,26,102,5,22,10,240,17,122,2,8,838,1,24
RO_031921,Uileacu De Beius,1603,1430,73,0,4,6,34,46,5,15,26,150,6,185,4,4,851,3,12
RO_031976,Vadu Crisului,3126,1903,141,0,8,40,58,96,11,32,38,275,33,297,3,1,838,2,30
RO_032027,Oraş Valea Lui Mihai,8847,4493,210,0,13,8,22,46,4,18,24,113,15,3159,1,2,827,7,24
RO_032045,Viisoara,1036,745,23,0,1,0,1,14,0,0,1,25,1,587,1,0,91,0,0
RO_032090,Varciorog,1559,1203,66,0,5,3,19,65,1,1,3,145,3,28,2,4,851,2,5
RO_032153,Tămăşeu,1697,1142,86,0,0,0,11,38,3,7,4,60,2,802,1,2,118,4,3
RO_032161,Paleu,3066,2101,51,0,13,5,79,54,3,46,71,138,25,1041,7,3,508,7,50
RO_032179,Sănnicolau Romăn,1556,1529,145,0,8,8,30,73,2,7,9,119,14,27,0,7,1061,7,12
RO_032187,Roşiori,2294,1442,86,0,0,1,8,52,1,13,11,85,11,803,35,1,316,5,14
RO_032195,Gepiu,1667,1317,63,0,9,13,19,50,3,14,13,119,24,44,0,6,906,0,34
RO_032201,Toboliu,1713,1390,76,0,9,4,21,93,1,5,19,142,14,18,2,10,947,4,25
RO_032394,Municipiul Bistriţa,77394,36709,1088,0,250,309,3080,1398,134,1251,2113,5253,858,1929,180,234,17451,209,972
RO_032483,Oraş Beclean,9781,5347,173,0,36,33,355,168,26,125,112,681,133,530,20,29,2780,29,117
RO_032544,Oraş Năsăud,9033,4455,259,0,15,40,172,204,9,143,121,569,100,59,11,36,2596,28,93
RO_032599,Oraş Sângeorz-Băi,9020,4492,310,0,29,13,282,188,2,110,54,595,62,44,9,23,2646,32,93
RO_032633,Bistrita Bargaului,3624,2005,127,0,11,5,101,140,9,22,26,313,36,26,7,16,1133,0,33
RO_032660,Branistea,2469,1770,58,0,9,1,39,37,1,25,16,65,14,995,5,3,474,4,24
RO_032704,Budacu De Jos,2683,1654,90,0,4,9,39,74,3,16,15,326,19,21,3,4,1001,10,20
RO_032768,Budesti,1338,932,114,0,8,7,35,25,1,2,11,106,21,18,0,1,570,3,10
RO_032811,Caianu Mic,3315,1700,91,0,2,2,39,66,2,6,1,130,13,7,4,3,1310,0,24
RO_032884,Cetate,2371,1602,103,0,10,7,66,70,5,28,16,239,22,31,1,12,968,4,20
RO_032955,Ciceu-Giurgeşti,1167,888,74,0,7,4,60,26,7,9,17,123,9,4,0,5,534,1,8
RO_033015,Chiochis,2220,1531,86,0,42,4,23,39,3,8,9,178,13,334,2,9,763,5,13
RO_033122,Chiuza,1802,1215,56,0,8,22,55,67,6,13,17,234,22,11,1,6,669,1,27
RO_033177,Coşbuc,1578,904,65,0,1,1,21,36,5,18,10,133,19,14,0,3,556,2,20
RO_033202,Dumitra,4340,2503,147,0,12,25,232,142,6,26,104,516,23,26,5,8,1182,14,35
RO_033248,Feldru,6087,3047,260,0,25,13,107,127,10,53,49,456,100,22,7,7,1741,19,51
RO_033275,Galatii Bistritei,1975,1151,51,0,6,11,45,40,0,15,16,84,14,112,2,3,732,7,13
RO_033337,Ilva Mare,1895,1275,115,0,11,11,35,83,3,16,8,142,17,18,2,7,781,1,25
RO_033364,Ilva Mica,2648,1536,79,0,8,4,33,39,4,29,10,191,23,8,3,7,1076,1,21
RO_033382,Josenii Bargaului,4198,2324,112,0,2,14,203,113,3,32,150,688,30,17,0,10,910,12,28
RO_033435,Lechinta,4827,2641,99,0,11,13,67,103,8,5,27,248,39,205,3,7,1775,8,23
RO_033514,Lesu,2270,1506,134,0,7,4,89,65,4,6,5,132,2,17,3,2,1017,5,14
RO_033541,Livezile,4060,2278,106,0,9,21,130,83,3,24,29,247,28,30,4,13,1523,6,22
RO_033603,Lunca Ilvei,2678,1449,94,0,9,8,113,73,1,15,19,241,13,10,4,12,812,6,19
RO_033621,Maieru,6279,3974,245,0,42,22,128,170,11,55,29,942,39,23,8,26,2157,16,61
RO_033658,Matei,1938,1388,132,0,7,7,25,32,0,4,9,75,12,436,1,5,635,2,6
RO_033729,Magura Ilvei,1667,1088,94,0,4,28,25,44,0,6,12,181,6,8,0,5,659,4,12
RO_033765,Mariselu,1960,1209,67,0,3,10,35,54,8,21,11,153,9,90,1,4,717,7,19
RO_033845,Micestii De Campie,806,623,77,0,5,87,28,14,0,5,4,46,5,101,1,2,240,2,6
RO_033881,Milas,972,701,50,0,2,5,14,22,1,2,5,84,13,20,2,5,468,2,6
