gisco_id,name,registered,turnout,invalid,blank,UUR,FCER,Andreicuț,Puiu-Barraud,USR (2016),FD,UDMR/RMDSZ,PSD,AUR,SENS,REPER,RîA,S.O.S. România,PER,PNCR,ANC,PSDI,ARS,POT,DREPT,USR (1989),UPR,UBBR,UCRR,CRLR,ALAR (1999),UDSCR,UAR,UDTR,AMR,RO.AS.IT.,UER,FCR,APR-PE,UCR,FDGR/DFDR,UDTTMR,PNL,PNR [Partidul Nouă Românie],PPR,PRR,ADN,PLAN,PD,Hagimă,Banu-Muscel,PUGD,PP,Stoian,Secară,Curtean,Szűcs,Baciu [Gheorghe-Damian Baciu],PV,Iusein,Negoiță,Ion,Iancu,Toader,Karani,Sărmaș,Boșneagu,Tîrnoveanu,Ciobanu,POC,Dan [Aurelian-Leonard Dan],Dămureanu,Ștefan,Fanaca,Rusu,PNȚCD,Dumitrică,Olărașu,Cazacu,Moldovanu,Stegaru,Burlea,PPU,Voinea,Vlașin,Cirț,Măneanu,Tița,Renghea,Dan [Roberto Dan],David,Dumitru [Bogdan Dumitru],Dinulescu,Andrei-Ionuț Neșculescu,Bodnar,Drăgan,Balaș,Abrudan,Mocanu Gollent,Spiru,Spiridon [Silvian-Andrei Spiridon],Lisaru,Stancu,Pîrvulescu,Aga
RO_060801,Oraş Hârşova,8358,3004,56,11,0,0,0,0,178,46,8,629,903,82,8,3,270,16,12,6,5,14,172,19,0,1,0,0,7,1,4,2,28,6,2,0,0,12,1,2,3,461,5,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_060847,Municipiul Medgidia,34553,13824,326,61,5,6,0,0,1090,325,49,3094,2846,447,103,14,1695,62,78,38,14,61,922,162,9,5,4,3,7,5,8,4,155,28,3,7,4,20,4,3,358,1599,30,74,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_060883,Adamclisi,1853,827,22,4,1,4,0,0,38,59,1,217,198,4,2,0,86,6,4,4,6,1,65,6,2,0,0,0,0,0,1,1,6,1,0,2,0,0,0,0,0,65,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_060945,Albesti,3197,1481,26,8,0,0,0,0,65,27,10,134,463,19,4,3,206,3,4,2,3,1,79,13,1,1,2,0,1,3,2,0,3,7,1,2,1,2,1,1,3,350,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061005,Aliman,2153,659,18,5,0,1,0,0,19,7,5,119,172,3,2,2,82,3,1,2,1,1,61,13,1,0,0,0,0,1,0,0,2,2,0,2,1,1,0,1,0,118,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061069,Băneasa,4368,1445,78,24,0,3,0,0,67,14,5,229,409,20,14,4,139,5,1,5,4,6,65,4,2,2,0,1,0,2,2,3,28,4,3,2,1,3,2,0,1,273,4,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061121,Castelu,4340,1901,78,20,1,2,0,0,65,30,5,457,504,33,1,9,281,12,6,7,9,7,113,20,1,0,1,0,2,2,1,2,29,5,0,2,1,10,1,3,40,104,3,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061167,Cerchezu,1093,566,15,9,0,1,0,0,51,8,5,249,74,3,1,4,55,2,3,4,2,2,22,3,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3,0,35,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061210,Chirnogeni,2602,926,24,6,1,1,0,0,38,10,5,193,306,12,3,3,128,1,3,2,1,1,76,16,1,0,2,1,0,1,1,3,0,4,0,4,1,2,1,2,1,50,5,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061256,Ciobanu,2805,1091,48,6,2,2,0,0,59,16,4,247,345,20,2,1,151,4,1,3,3,7,88,9,1,0,0,0,1,1,0,1,2,3,0,1,0,0,0,0,2,43,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
