gisco_id,name,registered,turnout,invalid,blank,PSD,USR+,PRO,UDMR/RMDSZ,PNL,ALDE,Prodemo,PMP,PSR,PSDI,PRU,UNPR,BUN,Tudoran,AUR,Costea [Peter Costea]
RO_131933,Albeşti-Paleologu,4632,2412,83,0,416,406,133,15,774,361,2,106,12,8,7,17,8,37,12,15
RO_013819,Albestii De Arges,5019,2303,65,0,573,388,186,20,718,103,27,131,9,4,15,12,3,17,26,6
RO_013891,Albestii De Muscel,1282,655,15,0,163,65,29,1,221,26,2,93,1,2,1,2,3,2,3,26
RO_013935,Albota,3390,2044,67,0,815,286,173,28,452,38,8,86,13,13,11,8,4,20,19,3
RO_124938,Alexandru cel Bun,5133,2823,105,0,638,532,191,20,756,116,26,237,20,17,22,10,24,54,29,26
RO_095612,Alexandru I. Cuza,2295,1063,47,0,468,58,46,4,330,42,8,20,8,5,4,9,2,8,3,1
RO_094125,Alexandru Odobescu,2168,1115,62,0,267,80,38,4,563,20,7,47,4,4,4,1,0,6,6,2
RO_162069,Alexandru Vlahuţă,1176,464,30,0,105,33,8,4,236,14,4,20,2,1,1,2,1,1,2,0
RO_100852,Alexeni,1876,842,43,0,219,87,184,4,218,14,8,30,3,5,4,6,4,3,9,1
ROZZDZ,ALGERIA,0,21,0,0,5,4,1,0,4,3,0,2,0,0,0,0,0,2,0,0
RO_061005,Aliman,2178,847,36,0,143,45,13,6,536,3,2,49,0,1,0,5,2,2,2,2
RO_078542,Alimpesti,1488,829,13,0,181,48,71,5,268,76,8,140,2,2,8,2,1,1,2,1
RO_146012,Alma,1583,1022,19,0,139,77,40,76,533,79,4,32,9,2,3,3,0,2,4,0
RO_009743,Almaş,2105,1099,32,0,204,98,33,6,368,156,10,65,4,3,3,4,2,8,10,92
RO_139982,Almaşu,1697,1098,27,0,112,118,30,370,336,39,10,30,3,0,1,0,0,2,4,16
RO_002309,Almaşu Mare,1042,538,11,0,81,42,24,7,251,35,9,58,3,2,1,0,0,0,1,13
RO_070566,Almaj,1593,1086,15,0,457,116,21,10,389,24,2,29,3,1,2,6,3,3,3,2
RO_055623,Alunis,932,467,21,0,70,47,15,6,231,19,10,21,3,1,2,0,2,2,3,14
RO_115147,Aluniş,2541,1406,66,0,57,32,20,1052,123,15,4,6,0,2,1,5,0,2,4,17
RO_131988,Aluniş,2702,1672,65,0,634,259,112,12,348,68,10,85,15,8,13,6,2,14,13,8
RO_168229,Alunu,3581,1386,37,0,513,113,19,8,461,170,3,28,8,1,3,9,0,8,3,2
RO_143888,Alţina,1415,762,37,0,313,77,19,14,260,12,3,11,5,2,4,2,0,0,1,2
RO_044863,Amaru,1852,868,51,0,415,59,48,7,157,63,2,40,1,1,0,2,1,9,10,2
RO_063198,Amzacea,2330,861,45,0,174,111,44,15,281,62,3,75,7,3,4,1,2,14,17,3
RO_168309,Amărăşti,1526,599,25,0,162,81,33,3,214,29,5,24,4,3,4,1,2,3,5,1
RO_070637,Amarastii De Jos,4260,2520,94,0,1265,108,33,11,878,20,8,68,8,7,0,3,2,5,7,3
RO_070673,Amarastii De Sus,1324,1077,33,0,750,45,25,2,169,28,0,14,7,0,1,3,0,0,0,0
RO_175126,Andreiaşu de Jos,1428,688,62,0,293,10,18,6,219,21,3,5,4,2,1,2,4,8,29,1
RO_136768,Andrid,2010,996,30,0,76,41,13,574,117,89,2,44,1,1,1,0,0,2,5,0
RO_095667,Andrieseni,3211,1073,76,0,292,89,51,15,357,75,13,36,2,0,6,17,8,14,9,1
RO_092872,Andrasesti,1731,747,34,0,195,51,39,1,347,16,5,32,7,0,2,3,2,5,4,4
ROZZAO,ANGOLA,0,12,0,0,3,1,0,0,2,0,0,4,1,0,1,0,0,0,0,0
RO_013999,Aninoasa,2634,1468,60,0,503,122,238,6,351,33,15,86,2,7,8,1,1,4,18,13
RO_065379,Aninoasa,5306,3067,96,0,1014,506,401,29,556,64,19,199,9,16,23,22,6,27,18,62
RO_078604,Aninoasa,3091,1402,62,0,552,233,94,8,270,51,11,64,10,3,7,21,3,3,5,5
RO_136802,Apa,2146,995,32,0,162,102,40,116,392,96,2,30,5,1,1,3,4,2,2,5
RO_055687,Apahida,11008,7127,149,0,693,2102,228,172,2848,138,15,337,16,14,33,23,9,60,59,231
RO_009798,Apateu,2772,1171,29,0,271,94,36,7,516,111,6,44,7,2,1,2,2,4,8,31
RO_040526,Apata,2409,923,35,0,74,32,13,358,366,19,1,6,2,0,0,6,1,3,1,6
RO_070726,Apele Vii,1697,1107,76,0,288,34,12,2,634,15,3,23,6,5,0,2,1,5,1,0
RO_115183,Apold,2459,683,27,0,144,71,22,8,229,123,2,39,2,2,2,4,0,3,3,2
RO_143922,Apoldu de Jos,1062,619,14,0,104,75,16,1,361,14,1,18,2,0,2,1,3,1,6,0
RO_132011,Apostolache,1645,916,31,0,144,85,36,12,488,58,0,29,2,2,7,5,3,3,7,4
ROZZSA,ARABIA SAUDITĂ,0,109,0,0,3,70,6,0,23,4,0,1,0,0,1,0,0,0,0,1
RO_146860,Arbore,5774,2117,82,0,617,166,90,14,846,66,13,104,16,3,8,5,2,24,20,41
RO_078668,Arcani,1100,692,15,0,195,65,123,2,209,17,7,46,0,2,5,4,0,0,0,2
RO_009832,Archiş,1236,852,14,0,167,66,14,4,312,207,3,18,1,0,0,0,0,0,2,44
RO_065113,Arcuş,1312,721,19,0,9,24,1,652,11,0,0,3,0,0,0,0,0,1,0,1
