gisco_id,name,registered,turnout,invalid,blank,PSD-PC,PDL,PNL,UDMR/RMDSZ,PRM,PNȚCD,Pavel,FC
ROZZZA,AFRICA DE SUD,0,43,1,0,6,2,17,9,1,4,3,0
ROZZAL,ALBANIA,0,19,1,0,4,0,7,2,4,1,0,0
ROZZDZ,ALGERIA,0,24,0,0,6,0,8,4,0,3,2,1
ROZZAO,ANGOLA,0,5,0,0,0,0,2,2,0,1,0,0
ROZZSA,ARABIA SAUDITA,0,24,1,0,3,0,10,6,0,0,2,2
ROZZAR,ARGENTINA,0,29,0,0,7,0,8,5,1,7,1,0
ROZZAM,ARMENIA,0,10,0,0,5,0,1,4,0,0,0,0
ROZZAU,Australia,0,120,3,0,13,10,64,14,0,6,7,3
ROZZAT,AUSTRIA,0,247,5,0,50,19,99,34,11,13,13,3
ROZZAZ,AZERBAIDJAN,0,24,0,0,6,0,12,5,1,0,0,0
ROZZBY,BELARUS,0,11,0,0,4,1,0,5,0,1,0,0
ROZZBE,BELGIA,0,948,19,0,230,45,327,187,13,61,57,9
ROZZBA,Bosnia and Herzegovina,0,57,4,0,13,0,10,23,1,5,0,1
ROZZBR,BRAZILIA,0,17,1,0,4,0,2,7,0,2,1,0
ROZZBG,BULGARIA,0,37,2,0,2,1,12,17,1,1,1,0
ROZZCA,Canada,0,277,6,0,46,8,135,27,9,16,26,4
ROZZCZ,CEHIA,0,123,0,0,26,6,45,32,2,4,6,2
ROZZCL,CHILE,0,53,0,0,11,7,19,4,5,3,4,0
ROZZCY,CIPRU,0,94,3,0,12,5,22,11,2,16,19,4
ROZZCO,COLUMBIA,0,17,0,0,1,1,10,2,0,2,1,0
ROZZHR,CROATIA,0,23,0,0,6,2,4,4,0,3,2,2
ROZZCU,CUBA,0,9,0,0,2,0,0,0,1,6,0,0
ROZZDK,DANEMARCA,0,38,7,0,8,1,11,7,1,0,2,1
ROZZEG,EGIPT,0,47,2,0,14,1,11,5,1,4,8,1
ROZZCH,Switzerland,0,180,3,0,44,11,76,22,9,6,3,6
ROZZAE,United Arab Emirates,0,68,2,0,8,1,32,16,0,3,5,1
ROZZET,ETIOPIA,0,11,1,0,3,0,5,2,0,0,0,0
ROZZPH,FILIPINE,0,9,0,0,3,0,1,0,0,2,3,0
ROZZFI,FINLANDA,0,34,3,0,2,9,13,5,0,0,2,0
ROZZFR,FRANTA,0,1137,25,0,211,25,499,191,26,86,65,9
ROZZGE,GEORGIA,0,14,0,0,1,0,3,5,0,1,3,1
ROZZDE,GERMANIA,0,450,14,0,83,44,193,54,16,21,20,5
ROZZEL,GRECIA,0,429,6,0,64,6,128,79,5,82,54,5
ROZZIN,INDIA,0,17,0,0,2,0,4,7,0,3,1,0
ROZZID,INDONEZIA,0,16,0,0,4,0,5,5,0,0,1,1
ROZZJO,IORDANIA,0,49,4,0,9,2,9,6,0,9,9,1
ROZZIQ,IRAK,0,13,0,0,1,0,3,6,0,0,2,1
ROZZIQ,IQ,0,276,34,0,13,1,46,79,3,22,74,4
ROZZIR,IRAN,0,42,1,0,6,0,15,5,0,3,7,5
ROZZIE,IRLANDA,0,162,5,0,15,3,60,14,3,43,16,3
ROZZIL,ISRAEL,0,205,5,0,30,12,85,22,3,5,36,7
ROZZIT,ITALIA,0,2070,76,0,272,34,742,250,49,383,247,17
ROZZJP,JAPONIA,0,32,0,0,6,1,11,5,2,3,4,0
ROZZKZ,KAZAHSTAN,0,8,0,0,0,0,5,1,0,0,2,0
ROZZKW,KUWEIT,0,25,0,0,2,1,7,6,1,2,6,0
ROZZLB,LIBAN,0,25,0,0,2,0,7,12,0,2,2,0
ROZZLY,LIBIA,0,43,2,0,7,0,5,7,2,10,7,3
ROZZLT,LITUANIA,0,9,0,0,2,2,0,1,0,3,0,1
