gisco_id,name,registered,turnout,invalid,blank,ИТН,ГН,СБ (2024),НГ,Кузман,БГ,КнР,Център,Единение,БНО,Възраждане,МЕЧ,ПП-ДБ,ИИСИ,БВ,ГБ [Граждански Блок],ОНБ,Левицата!,ЗД,ИБГ-НИ,ГЕРБ-СДС,БНС-НД,БСП-ОЛ,Величие,ВМРО,ПД,ДПС,ЗВБ,БСДД
BG_BGS01,Айтос,25511,7138,263,144,298,14,73,9,4,4,11,34,21,2,657,185,391,9,21,4,16,14,44,7,1929,8,357,249,57,6,2301,2,4
BG_BGS04,Бургас,184304,55214,869,1922,4849,182,2314,168,365,28,64,431,227,30,9006,1381,8511,45,656,100,164,227,962,113,13520,43,3189,3364,1385,179,847,50,21
BG_BGS06,Средец,11031,2986,151,99,172,13,65,6,4,4,10,27,5,11,420,101,314,3,21,6,4,5,16,14,878,6,349,138,35,5,102,2,0
BG_BGS08,Камено,9749,1992,97,60,121,9,28,8,4,3,3,9,3,8,307,88,139,2,29,6,2,6,25,12,603,2,154,104,26,5,122,3,4
BG_BGS09,Карнобат,20867,4566,194,176,331,21,98,16,18,7,8,25,7,3,673,156,381,12,23,11,5,83,54,13,865,3,520,230,53,4,569,5,2
BG_BGS12,Малко Търново,2446,794,36,24,37,2,13,1,4,0,0,1,3,1,112,25,60,1,9,2,5,22,8,5,217,1,92,13,7,0,88,2,3
BG_BGS13,Царево,7485,2781,120,85,282,7,77,9,7,1,6,18,16,3,330,57,267,3,8,0,3,11,22,12,1060,3,175,108,28,10,51,2,0
BG_BGS15,Несебър,20803,6096,126,205,406,26,181,11,36,6,8,65,12,4,1202,243,880,8,69,9,7,38,106,20,1288,4,344,433,103,9,234,11,2
BG_BGS17,Поморие,22972,6698,189,183,398,15,129,11,20,4,4,51,8,3,860,172,670,11,60,10,40,28,73,26,1562,4,356,453,80,23,1235,13,7
BG_BGS18,Руен,24840,12808,288,175,73,12,25,3,1,3,7,15,6,3,102,72,165,2,15,2,17,29,23,4,437,6,178,30,7,19,11080,5,4
BG_BGS21,Созопол,10694,3592,160,130,225,7,83,19,23,10,0,24,9,2,518,113,332,8,42,2,5,12,39,7,756,5,787,111,57,5,94,5,2
BG_BGS23,Сунгурларе,9821,3676,174,72,93,9,25,3,2,2,5,6,13,1,254,75,139,5,9,6,11,11,20,3,387,6,194,42,11,7,2083,5,3
