gisco_id,name,registered,turnout,invalid,blank,ФСБ-СБ,ДНБ,БСП-ОЛ,Гранит,KE,НДСВ,ДБ [Достойна България],ДСБ,ДЖБ,Евророма,КнР,БНС-НД,НВ,АТАКА,ФАГО,ОППБ,ДПС,БХК,ОДС,ПСД,ΡΚ,Пенев,Коев,Димов,Събчев,Илиев,Василев,Петров,Ничев,Мумджиев,Бозукова,Чаушев,Велчев,Абаджиев
BG_VAR0507598,Byala,2777,1666,59,0,3,5,519,6,1,367,3,57,2,39,12,67,50,93,1,6,166,7,196,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0
BG_VAR0610135,Warna,281438,155179,2278,0,680,168,36002,233,123,47824,203,11428,795,531,2683,9083,6093,14202,275,435,6051,800,11288,34,36,0,1437,2497,0,0,0,0,0,0,0,0,0,0
BG_VAR0810865,Wetrino,5459,3688,172,0,6,5,1164,8,2,551,8,72,16,31,83,120,96,175,1,23,896,1,196,1,1,0,54,6,0,0,0,0,0,0,0,0,0,0
BG_VAR0912574,Walchi dol,10031,6568,279,0,10,27,2181,9,13,1093,9,125,16,172,153,372,75,414,28,27,1199,12,259,2,6,0,85,2,0,0,0,0,0,0,0,0,0,0
BG_VAR1321912,Dolni chiflik,15512,9045,367,0,11,19,2809,14,10,1287,22,299,24,144,340,342,113,536,2,38,2254,31,256,5,2,0,100,20,0,0,0,0,0,0,0,0,0,0
BG_VAR1420482,Dewnya,7561,4038,152,0,11,4,934,12,7,900,5,64,21,62,202,128,49,274,6,27,259,47,800,2,1,0,61,10,0,0,0,0,0,0,0,0,0,0
BG_VAR1624565,Dalgopol,12887,8734,316,0,3,16,2121,15,5,1051,18,97,12,19,288,103,129,102,4,34,3965,55,176,3,2,0,194,6,0,0,0,0,0,0,0,0,0,0
BG_VAR2458503,Prowadiya,21238,13115,504,0,34,17,4471,22,15,2117,28,267,64,267,278,641,317,800,1,33,1946,102,368,10,15,0,783,15,0,0,0,0,0,0,0,0,0,0
BG_VAR2670175,Suworowo,5940,4083,211,0,13,7,943,9,5,799,5,95,10,42,48,168,52,301,30,11,985,4,77,0,4,0,255,9,0,0,0,0,0,0,0,0,0,0
BG_VTR0410447,Weliko Tarnowo,77384,44489,833,0,217,257,13755,55,54,9775,62,3094,135,104,1038,2648,1633,4712,139,148,1457,212,3867,30,16,0,0,0,248,0,0,0,0,0,0,0,0,0
BG_VTR0616359,Gorna Oryahowitsa,45949,25158,606,0,95,74,7745,29,18,5594,44,1199,134,214,578,1597,863,3460,72,95,782,101,1456,18,12,0,0,0,372,0,0,0,0,0,0,0,0,0
BG_VTR1327190,Elena,8835,5541,138,0,9,69,2036,10,9,1060,19,312,9,194,366,219,100,107,9,13,530,35,212,3,6,0,0,0,76,0,0,0,0,0,0,0,0,0
BG_VTR1430962,Zlataritsa,4023,2351,88,0,7,19,784,6,4,494,7,84,24,77,138,181,32,86,5,5,204,3,75,3,1,0,0,0,24,0,0,0,0,0,0,0,0,0
BG_VTR2044793,Lyaskowets,12914,7049,199,0,15,31,2189,14,11,1764,10,331,32,73,210,341,251,990,9,43,98,24,357,4,4,0,0,0,49,0,0,0,0,0,0,0,0,0
BG_VTR2255052,Pawlikeni,24515,14931,545,0,23,195,5239,20,18,2340,30,519,49,155,855,843,266,1931,27,68,789,131,828,7,6,0,0,0,47,0,0,0,0,0,0,0,0,0
BG_VTR2657354,Polski Trambesh,14520,8724,284,0,22,25,3175,18,3,1317,7,486,22,97,470,363,135,1110,13,48,587,116,377,4,4,0,0,0,41,0,0,0,0,0,0,0,0,0
BG_VTR2865766,Swishtow,35936,20877,644,0,82,119,7168,29,19,3292,70,809,76,132,558,839,517,2197,72,100,1242,99,2697,13,2,0,0,0,101,0,0,0,0,0,0,0,0,0
BG_VTR3169633,Strazhitsa,11909,7243,292,0,18,36,2468,17,7,1634,12,284,32,320,451,334,92,587,4,26,287,8,304,1,2,0,0,0,27,0,0,0,0,0,0,0,0,0
BG_VTR3270295,Suhindol,2505,1607,68,0,0,5,646,2,2,251,4,129,2,10,113,51,17,92,1,13,145,1,53,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BG_VID0103616,Belogradchik,6903,4004,172,0,12,7,1524,5,4,616,15,130,7,18,18,200,126,174,96,22,505,9,340,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID0305195,Bojnitsa,1369,1047,60,0,2,2,502,3,5,227,1,17,2,4,6,33,16,8,19,5,97,12,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID0606224,Bregowo,5886,4533,187,0,6,17,2470,12,5,908,5,51,7,7,15,116,97,50,35,3,125,2,409,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID0910971,Widin,68078,35442,733,0,62,65,12470,56,26,6867,63,1624,43,124,253,1888,896,2007,281,73,4971,107,2769,40,24,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID1517645,Gramada,2161,1398,62,0,6,3,609,3,2,164,4,42,1,32,50,90,24,40,35,3,192,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID1621097,Dimowo,6698,4356,198,0,5,5,1978,9,5,481,18,61,8,80,129,152,41,80,105,17,710,9,258,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID2240525,Kula,5150,3011,137,0,3,2,1391,6,5,454,8,443,9,28,27,73,43,72,72,13,79,2,140,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID2546245,Makresh,2015,1363,72,0,2,5,665,3,3,186,6,56,3,5,14,34,13,25,71,6,140,3,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_VID3052180,Nowo selo,3265,2337,71,0,1,6,1077,9,4,526,4,73,2,0,23,77,27,46,6,5,179,7,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
