gisco_id,name,registered,turnout,invalid,blank,FBP,VU,DU,FL
LI_00001001,Vaduz,2570,1936,44,18,845,577,242,210
LI_00001003,Balzers,2568,1984,58,24,677,737,281,207
LI_00001006,Planken,247,223,3,3,98,56,32,31
LI_00001005,Schaan,2942,2297,59,18,833,700,374,313
LI_00001002,Triesen,2507,1863,47,13,704,601,291,207
LI_00001004,Triesenberg,1687,1364,13,5,522,565,160,99
LI_00002001,Eschen,2193,1748,29,17,624,585,311,182
LI_00002003,Gamprin,842,696,14,4,319,192,127,40
LI_00002002,Mauren,1959,1557,25,11,701,398,239,183
LI_00002004,Ruggell,1157,979,16,10,390,321,156,86
LI_00002005,Schellenberg,579,502,10,7,204,155,65,61
