gisco_id,name,registered,turnout,invalid,blank,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Christen Democratisch Appèl (CDA),GROENLINKS,Democraten 66 (D66),ChristenUnie,Partij voor de Dieren,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Staatkundig Gereformeerde Partij (SGP),Piratenpartij,Nieuw Nederland,Lijst 17,Partij TTn,Heel NL,Evangelische Partij Nederland
NL_1685,Landerd,11380,9021,10,9,1160,1791,1418,1439,2214,347,409,47,72,74,15,7,7,0,7,0,7,0
NL_0882,Landgraaf,30368,21524,32,30,3419,2408,7196,3347,2519,1000,704,132,339,211,103,24,27,8,19,3,3,0
NL_0415,Landsmeer,7976,6430,10,4,1496,1902,1035,425,402,446,485,37,101,42,7,19,7,4,7,4,0,0
NL_0416,Langedijk,20202,16116,25,15,2536,4367,2156,1395,2343,1203,1188,403,215,143,50,35,21,2,9,5,2,4
NL_1621,Lansingerland,38227,31173,39,29,3440,10025,4812,1781,4836,1445,2128,1693,351,183,54,286,30,6,24,8,3,0
NL_0417,Laren,8470,6994,6,3,841,3195,661,331,801,350,609,46,93,30,18,4,3,0,2,2,0,0
NL_0022,Leek,14765,11398,20,7,2914,1823,1225,1108,1722,724,564,996,102,46,33,96,7,5,5,0,0,5
NL_0545,Leerdam,15355,11525,20,13,2032,2168,1948,826,1674,379,611,782,112,52,23,850,15,4,10,2,4,0
NL_0080,Leeuwarden,73352,54851,94,65,16764,7556,6420,7048,5266,4737,3400,1991,849,179,164,128,83,6,67,13,0,21
NL_0081,Leeuwarderadeel,8010,6434,7,2,1902,955,617,735,1138,394,277,263,84,28,16,8,3,3,3,0,0,3
NL_0546,Leiden,87972,68924,126,111,16057,12226,9071,5881,4451,7934,9585,1276,1354,210,156,200,133,23,84,29,17,0
NL_0547,Leiderdorp,20025,16177,20,13,3026,4231,2118,1193,1858,1223,1650,334,223,67,31,138,23,0,22,5,2,0
NL_1916,Leidschendam-Voorburg,54984,42746,91,41,7164,11732,6224,2987,5252,2934,4309,673,708,234,140,147,49,6,35,10,10,0
NL_0995,Lelystad,54544,38648,115,36,7986,9099,7426,3912,2807,2379,2003,1436,669,308,150,194,66,12,31,5,0,14
NL_0082,Lemsterland,10215,8000,9,5,1585,1875,1141,836,1368,353,374,255,78,34,34,39,5,3,5,0,0,3
NL_1640,Leudal,28359,21395,15,31,2418,4029,5133,2433,4720,985,992,128,261,132,65,8,18,2,10,6,9,0
NL_0327,Leusden,21649,18052,16,10,2789,5073,1802,1229,2658,1325,1528,967,200,61,79,268,19,6,10,7,5,0
NL_0694,Liesveld,7128,5951,3,0,690,1091,700,320,1221,148,162,823,42,35,7,698,2,2,6,2,2,0
NL_0733,Lingewaal,8288,6708,9,2,1081,1454,1142,403,1210,247,246,482,77,42,9,290,2,0,7,2,3,0
NL_1705,Lingewaard,34839,26878,38,26,4676,6031,4272,3040,4676,1663,1744,191,260,129,55,24,11,0,26,5,6,5
NL_0553,Lisse,16987,13709,13,7,1652,3865,1940,932,2405,636,942,352,179,82,42,630,9,5,13,4,4,0
NL_0808,Lith,5035,4002,11,3,483,872,715,555,938,135,188,20,31,31,6,3,6,0,5,0,0,0
NL_0140,Littenseradiel,8129,6642,4,4,1531,1160,502,712,1558,502,347,183,69,15,35,5,7,2,4,2,0,0
NL_0262,Lochem,26169,21367,38,16,4710,5817,1699,1681,3233,1498,1868,317,247,98,85,24,12,3,11,4,6,0
NL_0329,Loenen,6366,5351,10,3,725,1773,562,284,750,346,544,129,70,27,15,107,4,0,4,0,4,0
NL_0809,Loon op Zand,17861,13212,12,10,1904,3025,2570,1546,2337,578,697,97,176,125,38,67,14,0,8,5,3,0
NL_0331,Lopik,10419,8382,11,6,736,1818,1475,474,1915,258,264,762,78,64,22,484,7,5,5,5,5,0
NL_0024,Loppersum,8128,6367,7,3,1538,727,595,688,1231,524,258,574,89,39,14,67,8,0,3,0,0,2
NL_0168,Losser,17597,13040,21,2,2117,2479,2330,1327,3227,518,643,121,93,101,29,10,10,2,5,3,2,0
NL_0333,Maarssen,30458,23487,43,17,4045,6103,4251,1835,2508,1612,1870,519,307,156,60,107,26,0,13,5,10,0
NL_1671,Maasdonk,8471,6407,9,10,713,1250,1275,962,1559,223,246,25,41,72,8,0,2,2,8,2,2,0
NL_0263,Maasdriel,17991,14212,9,10,1662,3336,3414,1361,2553,503,638,185,138,107,47,232,11,5,5,0,0,0
NL_1641,Maasgouw,19481,14179,20,21,1725,2609,3790,1691,2597,592,615,97,215,106,61,14,13,0,10,3,0,0
NL_0556,Maassluis,24237,18313,30,19,3481,4309,3491,1662,2407,789,958,603,269,93,57,108,14,2,13,7,2,0
