gisco_id,name,registered,turnout,invalid,blank,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Christen Democratisch Appèl (CDA),GROENLINKS,Democraten 66 (D66),ChristenUnie,Partij voor de Dieren,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Staatkundig Gereformeerde Partij (SGP),Piratenpartij,Nieuw Nederland,Lijst 17,Partij TTn,Heel NL,Evangelische Partij Nederland
NL_0502,Capelle aan den IJssel,49911,35549,62,42,6410,7518,6726,3234,3422,1804,2144,1385,582,169,86,1870,47,4,34,6,4,0
NL_0383,Castricum,26673,22292,25,15,4293,5806,2491,1787,3167,1944,1964,202,294,132,108,18,14,4,20,4,4,6
NL_0109,Coevorden,27999,21431,23,14,5440,4687,2952,1958,3397,964,993,509,205,111,70,87,11,4,6,0,0,0
NL_1706,Cranendonck,15713,11745,22,11,1441,2325,2511,1668,2491,415,501,71,122,101,30,10,15,3,4,3,3,0
NL_0611,Cromstrijen,10087,7837,11,6,1242,2113,1191,634,1006,349,413,253,97,48,10,450,6,3,4,3,0,0
NL_1684,Cuijk,18385,13943,25,12,2393,2429,2083,3001,2253,670,769,47,127,75,22,2,16,0,15,2,2,0
NL_0216,Culemborg,20081,15895,18,17,3442,3490,2661,1326,1495,1393,1183,400,180,62,63,125,18,2,11,7,2,0
NL_0148,Dalfsen,20555,16634,24,14,2413,2788,1574,1241,5012,700,688,1658,85,89,26,287,14,2,16,2,2,0
NL_1891,Dantumadiel,14958,11215,19,5,2104,912,1556,1248,2832,369,252,1282,86,23,35,472,9,2,4,3,0,2
NL_0310,De Bilt,32204,26928,24,34,4481,7164,2788,1959,3103,2286,2794,867,417,104,113,746,22,3,18,4,3,0
NL_1663,De Marne,8295,6400,16,5,1588,916,716,693,1050,477,202,502,124,34,24,39,7,5,5,0,0,5
NL_0736,De Ronde Venen,25971,20958,19,18,2287,6951,3185,1238,3563,854,1314,760,231,120,59,301,29,8,19,2,0,0
NL_1690,De Wolden,18260,14913,27,9,2840,4049,1694,1037,2655,789,866,509,155,108,63,88,10,0,10,3,3,0
NL_0503,Delft,71621,54771,95,98,11419,10117,7536,4594,4737,5695,7410,1444,818,229,102,249,135,32,37,16,8,0
NL_0010,Delfzijl,20934,14508,17,26,4072,2018,2302,1855,1774,642,556,864,201,75,25,45,15,3,7,2,0,9
NL_0400,Den Helder,44820,30885,48,20,5518,6949,6755,3116,3054,1666,1568,962,475,407,80,161,45,3,27,10,4,17
NL_0762,Deurne,24472,18156,20,22,2207,3572,3179,2639,4443,740,834,87,119,195,61,3,14,2,12,2,5,0
NL_0150,Deventer,72973,54622,97,34,14629,9575,6143,5617,5716,4957,5048,1379,681,330,154,94,70,28,46,10,14,0
NL_0384,Diemen,18119,13368,29,7,3664,2878,2093,1169,833,1134,1030,170,214,72,31,10,15,0,14,5,0,0
NL_1774,Dinkelland,19486,15992,18,7,1748,3150,2241,1110,6112,545,683,130,80,94,45,4,13,3,8,0,3,0
NL_0504,Dirksland,6349,5101,4,5,595,840,832,376,695,114,127,390,58,28,7,1024,2,3,2,0,0,0
NL_0221,Doesburg,8885,6606,10,6,1435,1154,984,1078,735,412,508,111,94,26,19,16,9,2,3,2,2,2
NL_0222,Doetinchem,43125,32241,42,24,7381,5857,4625,3955,4817,2006,1973,600,353,142,112,291,24,11,14,3,8,3
NL_0766,Dongen,19244,14202,19,20,2305,3080,2192,2173,2269,719,908,169,173,93,31,18,9,6,16,6,6,0
NL_0058,Dongeradeel,18620,14180,22,6,2586,1491,1561,1525,4309,640,449,1178,154,57,59,120,13,2,7,0,0,2
NL_0505,Dordrecht,88495,62570,127,72,12557,11490,10954,7028,5833,4294,3872,3007,1059,320,143,1638,94,11,35,26,10,0
NL_0498,Drechterland,14608,11511,18,11,1673,3461,1659,1039,1893,644,708,82,147,106,35,9,7,4,7,3,2,3
NL_1719,Drimmelen,20766,15214,6,10,2348,3447,2879,1716,2683,763,845,102,195,127,51,16,11,2,11,2,2,0
NL_0303,Dronten,28646,22637,35,11,2979,6346,3054,1698,4082,1117,1207,1436,203,150,71,192,20,4,18,6,0,8
NL_0225,Druten,13620,10382,15,5,1899,2125,1830,1499,1617,514,630,51,95,59,16,3,7,3,14,0,0,0
NL_0226,Duiven,19052,14888,13,10,2728,3518,2286,1800,2224,857,927,223,170,68,29,11,9,3,10,0,2,0
