gisco_id,name,registered,turnout,invalid,blank,VVD,D66,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),GROENLINKS,Partij voor de Dieren,Forum voor Democratie,BBB,ChristenUnie,JA21,Volt,50PLUS,Splinter,Staatkundig Gereformeerde Partij (SGP),CODE ORANJE,BIJ1,Piratenpartij,"Blanco (Zeven, A.J.L.B.)",Trots op Nederland (TROTS),JONG,DENK,NLBeter,Lijst Henk Krol,OPRECHT,NIDA,LP (Libertaire Partij),JEZUS LEEFT,Modern Nederland,DE FEESTPARTIJ (DFP),Vrij en Sociaal Nederland,U-Buntu Connected Front,Wij zijn Nederland,Partij voor de Republiek,De Groenen,Partij van de Eenheid
NL_1680,Aa en Hunze,20921,17444,32,25,4323,2679,1880,1482,1429,1290,835,746,691,467,411,328,311,171,60,58,41,35,28,26,24,18,11,11,9,9,5,4,3,2,0,0,0,0,0,0,0
NL_0358,Aalsmeer,23249,19563,23,35,6301,2742,794,2068,2114,636,561,591,950,74,743,702,344,180,63,114,56,81,42,0,39,26,165,14,25,11,36,12,0,0,12,5,2,2,0,0,0
NL_0197,Aalten,21386,17215,18,16,3782,2045,872,1470,3241,1133,617,363,737,899,876,355,177,180,29,109,60,20,24,9,22,31,73,14,17,4,4,5,12,0,0,0,4,0,0,0,0
NL_0059,Achtkarspelen,21772,16976,20,27,2193,1071,1117,2923,3047,1077,365,356,1652,418,1603,273,123,85,28,351,67,19,16,0,43,28,7,8,10,15,4,8,16,0,0,0,0,0,4,2,0
NL_0482,Alblasserdam,15070,12203,25,16,2115,1059,677,1330,1044,619,254,287,679,40,1084,332,78,150,25,2006,54,30,11,5,0,15,206,4,9,7,28,4,11,4,0,0,0,4,0,0,0
NL_0613,Albrandswaard,19624,15859,16,22,4578,2069,694,1991,1215,783,439,572,854,45,445,901,273,201,54,204,89,85,24,16,0,18,192,12,16,4,28,7,10,0,0,0,0,2,0,0,0
NL_0361,Alkmaar,85247,68680,170,132,14207,12290,4413,6100,4630,4506,4671,3966,3979,701,1019,1669,1705,804,308,164,355,427,233,169,162,105,1220,84,57,29,233,60,30,0,59,0,13,10,0,0,0
NL_0141,Almelo,55728,40939,125,61,8416,4501,2379,6293,5184,2758,1414,1062,2685,416,1296,882,545,386,63,225,149,78,81,31,89,46,1485,31,38,40,99,24,34,0,0,0,3,7,0,0,13
NL_0034,Almere,152746,109261,339,257,23803,15672,5890,13011,5130,6899,6086,4831,7035,284,2474,2766,2249,1579,426,354,574,3658,432,0,0,237,3740,131,132,80,873,74,102,0,0,0,101,0,0,0,42
NL_0484,Alphen aan den Rijn,85935,69972,130,154,18259,10223,2872,6648,7041,3404,2785,2372,3573,485,3071,2059,1364,706,246,1738,354,285,143,111,0,151,1239,74,52,60,288,42,26,8,0,0,9,0,0,0,0
NL_1723,Alphen-Chaam,8165,6911,11,12,2251,861,195,693,1108,378,186,214,314,174,40,185,105,79,16,4,21,6,5,4,0,9,6,7,8,2,2,2,3,0,9,0,2,0,0,0,2
NL_1959,Altena,43318,35415,30,33,7451,2510,1091,4372,4841,1448,627,780,2253,281,3424,818,311,274,71,4387,95,45,38,12,0,34,37,27,27,13,5,10,48,0,22,0,0,0,0,0,0
NL_0060,Ameland,2935,2893,3,7,753,352,206,263,453,126,93,97,130,132,60,94,51,15,8,9,11,3,6,0,8,4,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0
NL_0307,Amersfoort,118081,97185,191,148,19713,19471,4942,6623,6830,4682,7183,4480,3522,268,6127,1813,3335,763,347,860,256,732,224,0,138,174,3413,91,70,43,558,53,40,0,45,28,22,0,0,0,0
NL_0362,Amstelveen,57927,46874,102,74,11937,9965,3035,3453,3201,2217,2866,2175,1522,66,944,1048,1643,448,127,161,122,662,129,0,36,68,537,37,36,7,148,41,0,0,24,20,23,0,0,0,0
NL_0363,Amsterdam,582177,440919,2136,956,55445,99649,32783,22180,10815,21478,44907,30880,11971,343,6214,5282,25988,2355,1278,586,864,25563,1819,0,301,383,29384,276,297,106,5053,391,247,0,0,144,384,0,151,89,221
NL_0200,Apeldoorn,128846,102081,173,178,23443,14798,5852,10081,9084,5610,4684,3840,5452,962,5325,2280,1892,1047,324,3447,343,281,180,123,238,138,1784,65,105,80,147,50,67,0,0,0,8,0,0,0,0
NL_0202,Arnhem,122535,90234,238,245,15338,17412,5832,8450,4190,5677,8234,5753,4231,220,2035,1436,3193,754,335,251,377,1298,337,140,118,149,3232,77,76,53,414,71,50,0,0,0,18,0,0,0,0
NL_0106,Assen,53867,42590,72,73,7842,6628,3929,3725,3579,3446,2324,1546,2159,378,3399,804,709,433,151,310,156,140,76,56,109,59,220,38,29,70,60,26,34,10,0,0,0,0,0,0,0
NL_0743,Asten,12904,10831,15,16,3159,1334,360,1186,1789,786,283,275,486,260,50,271,202,144,27,13,34,9,9,10,20,12,35,13,8,0,6,7,6,0,11,0,0,0,0,0,0
NL_0744,Baarle-Nassau,5386,4249,19,3,1107,404,155,643,714,284,98,132,243,108,24,132,37,71,13,5,13,4,5,5,0,5,5,7,3,3,0,0,0,0,8,0,3,0,0,0,0
NL_0308,Baarn,19355,15847,31,31,3994,2927,814,1302,1426,630,898,764,684,39,587,433,458,138,53,143,44,54,32,0,22,18,217,26,14,7,22,19,4,0,8,2,6,0,0,0,0
NL_0489,Barendrecht,36760,29823,48,48,7638,4052,1245,3496,2410,1378,925,827,1582,43,1206,1418,436,364,78,1254,118,203,45,25,0,30,644,29,23,7,219,10,13,3,0,0,0,6,0,0,0
NL_0203,Barneveld,43718,37653,40,42,6863,2292,607,3011,5207,788,591,499,2185,497,4231,802,302,187,40,8675,96,48,38,19,42,41,351,13,17,42,33,11,40,0,0,0,3,0,0,0,0
NL_0888,Beek,13072,10616,20,24,2351,1382,757,1724,1340,701,371,392,677,63,74,192,135,166,20,5,38,10,19,7,26,18,52,8,10,5,9,6,0,0,13,0,0,0,0,0,5
NL_1954,Beekdaelen,29403,23425,31,48,4965,2687,1781,3922,2963,1753,879,888,1574,186,160,453,326,280,67,36,66,38,45,34,53,36,33,14,58,8,7,11,0,0,21,0,0,7,0,0,7
NL_0370,Beemster,7870,6732,11,8,2175,943,339,643,610,298,257,262,293,246,51,240,132,51,21,13,23,25,17,5,11,5,25,13,5,2,2,2,2,0,4,0,2,0,0,0,0
NL_0889,Beesel,10714,8032,10,15,1800,982,513,1443,910,580,276,203,452,91,46,179,98,147,19,8,27,8,7,11,32,22,93,4,19,5,17,6,0,0,7,0,0,2,0,0,0
NL_1945,Berg en Dal,28200,22977,27,31,5438,3574,1458,3024,2265,1793,1393,1137,802,213,176,481,471,233,38,33,58,88,42,30,32,22,43,15,24,6,6,9,5,0,10,0,0,0,0,0,0
NL_1724,Bergeijk,14877,12120,21,17,3747,1348,453,1334,2004,737,369,332,505,243,81,292,223,174,31,25,34,10,14,6,19,27,5,14,27,7,6,2,2,0,12,0,0,0,0,0,0
NL_0373,Bergen (NH.),10603,8200,21,21,1983,821,374,1475,1137,709,222,210,439,180,42,220,98,85,13,10,24,11,9,12,21,13,7,2,14,3,7,5,0,0,11,0,0,2,0,0,0
NL_0893,Bergen (L.),24347,20789,34,45,5280,3814,1183,1999,1828,962,1073,1417,932,170,233,579,556,162,68,30,76,48,46,83,36,30,15,26,23,9,2,13,4,0,12,0,0,2,0,0,0
NL_0748,Bergen op Zoom,51656,38428,74,39,10464,5120,1924,5133,3079,2586,1552,1215,1915,149,414,966,527,508,146,68,174,104,68,48,0,61,1721,33,47,13,203,11,18,0,40,0,0,0,0,0,8
NL_1859,Berkelland,35557,29706,33,31,6706,3568,2044,2794,4686,2096,920,717,1301,2383,427,675,430,296,69,72,95,41,35,34,59,47,93,12,9,6,11,9,7,0,0,0,0,0,0,0,0
NL_1721,Bernheze,24439,19799,25,22,6083,2681,641,2008,2845,2023,558,367,741,261,112,463,308,279,38,17,62,31,39,9,37,31,48,12,10,12,9,6,6,0,19,0,0,0,0,0,6
NL_0753,Best,23005,18600,25,26,5372,2890,814,2095,1842,1314,709,458,825,83,408,407,412,238,34,52,78,41,42,18,28,40,204,18,47,6,26,6,8,0,31,0,0,0,0,0,3
NL_0209,Beuningen,20833,16626,23,23,4782,2508,891,2075,1537,1228,735,459,776,100,144,466,269,221,39,28,57,56,18,12,26,15,65,15,16,8,13,8,8,0,12,0,0,0,0,0,0
NL_0375,Beverwijk,30700,23295,41,54,5121,3262,1291,3156,1521,1723,1170,1029,1636,72,270,728,401,334,92,35,123,135,63,0,66,42,709,33,42,15,81,12,0,0,17,11,4,6,0,0,0
NL_1728,Bladel,16129,12977,12,16,3822,1698,515,1467,1761,1007,428,313,608,179,86,304,263,209,45,14,50,20,18,15,23,28,18,3,24,10,3,9,0,0,10,0,0,0,0,0,3
NL_0376,Blaricum,8896,7692,13,8,2835,1276,294,623,730,260,182,230,358,19,142,244,208,61,13,23,28,11,8,0,7,8,63,4,6,3,29,3,0,0,2,0,2,0,0,0,0
NL_0377,Bloemendaal,17760,15683,24,31,5054,3765,697,745,1370,403,677,790,422,21,249,311,783,87,36,29,27,50,14,0,17,13,23,11,8,4,3,8,0,0,5,6,0,0,0,0,0
NL_1901,Bodegraven-Reeuwijk,26786,22714,41,43,5882,2728,745,1931,2834,746,661,505,1079,239,1611,708,361,160,51,1784,68,49,40,22,0,21,293,14,9,7,55,7,18,2,0,0,0,0,0,0,0
NL_0755,Boekel,8440,6802,13,7,1922,795,199,776,1252,540,163,160,334,182,36,158,72,61,11,2,23,12,10,3,13,14,4,4,13,2,5,3,3,0,9,0,0,0,0,0,2
NL_NLZZBO,Bonaire,13490,3082,32,33,360,431,271,147,864,75,154,120,126,0,153,31,39,15,0,10,11,79,18,0,0,0,92,0,0,0,4,4,0,0,0,0,13,0,0,0,0
NL_1681,Borger-Odoorn,21070,16778,17,20,3479,1881,1638,2349,1628,1435,517,570,976,457,576,379,180,175,44,122,55,22,22,29,61,23,5,16,10,79,0,5,8,0,0,0,0,0,0,0,0
NL_0147,Borne,18415,15711,26,20,3898,2123,778,1659,3368,982,482,314,642,262,251,279,224,118,27,45,38,12,19,9,26,14,45,10,9,9,3,7,7,0,0,0,0,4,0,0,3
NL_0654,Borsele,17613,14582,9,23,2965,1290,588,1431,1946,671,338,368,763,330,498,408,145,184,34,2413,55,17,13,14,0,24,13,13,7,2,3,6,11,0,0,0,0,0,0,0,0
NL_0756,Boxmeer,23584,19820,31,38,5053,2838,903,2099,2871,2165,649,487,745,351,131,497,303,201,65,14,52,29,25,15,39,29,100,18,11,2,20,13,2,0,20,0,0,0,0,0,5
NL_0757,Boxtel,25323,19556,29,32,5250,3215,939,2026,2153,1691,884,656,804,119,162,336,361,171,48,25,46,53,32,14,30,47,264,12,13,4,100,10,4,0,26,0,0,0,0,0,0
NL_0758,Breda,140831,110855,195,180,29325,22138,5677,9612,7653,6631,6513,4592,5046,306,1043,2289,3330,1152,386,153,375,623,303,140,0,225,2059,98,87,88,419,80,27,0,83,0,14,0,0,0,13
NL_0501,Brielle,13892,11047,9,26,3138,1381,583,1552,842,665,295,371,776,66,167,596,142,147,36,45,67,24,12,12,0,22,36,8,5,10,2,5,3,0,0,0,0,4,0,0,0
NL_1876,Bronckhorst,29674,24699,32,31,6390,3136,1413,2119,4009,1293,827,737,762,1556,600,623,377,217,42,204,66,39,26,29,40,30,19,20,20,8,3,22,8,0,0,0,3,0,0,0,0
NL_0213,Brummen,17081,13782,26,21,3526,1990,1015,1480,1323,919,630,518,569,289,302,339,212,146,17,33,40,24,32,21,24,24,214,8,9,6,10,7,7,0,0,0,6,0,0,0,0
NL_0899,Brunssum,22558,16333,30,43,2694,1358,1386,3593,1317,1725,457,576,1679,44,235,293,136,262,51,36,68,43,32,29,42,21,85,14,36,3,18,4,0,0,16,0,0,4,0,0,3
NL_0312,Bunnik,11614,10322,6,9,2453,2254,587,637,1100,367,940,449,225,67,336,174,305,91,18,145,13,46,18,0,14,9,31,5,4,0,0,2,3,0,7,6,2,0,0,0,0
NL_0313,Bunschoten,16079,13761,17,23,2106,570,136,1953,2605,204,124,118,954,83,3014,367,77,46,9,1121,24,10,11,0,20,11,87,2,5,5,4,2,52,0,2,2,0,0,0,0,0
NL_0214,Buren,21356,17392,25,21,4948,1906,829,2564,1630,767,446,563,903,251,532,520,213,131,53,819,70,35,26,9,40,16,30,3,12,4,4,9,5,0,8,0,0,0,0,0,0
NL_0502,Capelle aan den IJssel,50963,37072,122,85,7721,5102,1966,4189,2237,2303,1432,1342,2210,52,1518,1713,583,484,88,1879,230,563,89,49,0,57,704,34,34,64,147,16,31,15,0,0,13,0,0,0,0
NL_0383,Castricum,27119,25279,24,45,6406,4919,1464,1871,2521,1172,1532,1397,1111,191,322,697,715,251,86,37,89,91,49,37,41,52,52,34,22,8,8,14,13,0,14,0,0,8,0,0,0
NL_0109,Coevorden,28398,22543,34,34,5087,2499,1941,3103,2915,1577,625,611,1244,736,574,543,246,229,52,150,76,30,26,15,48,29,37,16,26,11,7,6,14,2,0,0,0,0,0,0,0
NL_1706,Cranendonck,16178,12771,21,19,3486,1380,500,2040,1792,928,320,314,675,178,82,402,192,161,27,16,41,31,23,11,33,24,18,9,18,4,3,2,8,0,13,0,0,0,0,0,0
NL_1684,Cuijk,20105,15830,30,20,3926,2279,728,1807,1758,1587,637,494,720,177,111,368,229,168,44,17,42,48,33,9,40,25,429,13,16,16,29,8,4,0,15,0,0,0,0,0,3
NL_0216,Culemborg,22210,18064,33,35,3821,3057,1116,1668,1334,897,1410,850,724,53,514,384,490,173,63,150,46,114,40,28,40,25,769,13,20,51,124,12,5,0,5,0,0,0,0,0,0
NL_0148,Dalfsen,22525,19421,20,21,4210,2217,812,1519,4014,827,499,353,750,984,1744,427,215,150,24,433,30,16,28,17,29,24,4,11,17,6,2,6,10,0,0,0,2,0,0,0,2
NL_1891,Dantumadiel,15038,11884,15,9,1316,733,754,1779,2262,797,235,232,1022,259,1268,217,101,52,26,632,44,16,20,0,28,22,3,5,4,4,2,2,23,0,0,0,0,0,2,2,0
NL_0310,De Bilt,33103,28486,40,55,6859,5898,1594,1806,2271,1147,1973,1514,876,90,1020,553,967,203,79,773,43,155,49,0,28,22,305,23,22,9,65,12,6,0,11,16,2,0,0,0,0
NL_1940,De Fryske Marren,40845,33825,36,53,6859,3906,2538,3495,6034,1960,961,913,2675,1067,1105,772,365,233,81,317,103,31,28,0,78,52,47,24,29,15,7,12,12,0,0,11,0,0,4,2,0
NL_0736,De Ronde Venen,34757,29526,61,43,8695,4546,1067,2990,3282,957,1022,942,1430,321,916,948,693,340,69,383,107,132,47,0,42,36,267,41,23,7,54,17,13,0,18,15,2,0,0,0,0
NL_1690,De Wolden,19655,16733,32,8,4186,1848,1047,1734,2431,786,499,511,880,877,664,454,182,165,33,142,64,22,18,29,42,28,4,17,14,5,2,6,3,0,0,0,0,0,0,0,0
NL_0503,Delft,74248,59046,127,116,9822,12752,3476,4877,3248,3185,5237,2854,2139,112,1724,1290,4416,433,194,261,318,584,190,87,0,99,1115,34,47,21,179,63,33,7,0,0,0,6,0,0,0
NL_0400,Den Helder,44777,32501,67,70,7725,3336,1709,5328,3075,2077,976,1139,2732,180,932,868,409,520,126,218,253,130,83,44,112,59,117,44,51,39,20,9,19,0,31,0,2,2,0,0,0
NL_0762,Deurne,25545,20029,26,37,5773,2298,732,2415,2938,1611,626,466,911,503,138,545,256,284,47,20,77,28,48,20,40,36,79,12,13,3,5,13,3,0,25,0,0,0,0,0,3
NL_0150,Deventer,79181,61428,138,109,11527,11110,4788,5182,4401,4147,4457,2760,2444,1863,1624,907,1864,534,214,183,157,322,156,83,116,91,1948,46,46,59,70,34,22,0,0,0,4,14,0,0,8
NL_0384,Diemen,22280,16374,46,45,2984,3074,1193,1408,765,869,1456,843,642,20,273,384,682,156,51,37,79,637,60,0,18,34,441,10,24,7,98,17,0,0,5,7,8,5,0,0,0
NL_1774,Dinkelland,21226,18034,25,12,4894,1477,463,1792,5627,554,296,261,598,1003,119,415,218,111,18,24,25,8,11,5,28,11,8,8,7,2,6,4,2,0,0,0,0,2,0,0,0
NL_0221,Doesburg,9092,7058,7,11,1369,1065,539,917,582,716,353,266,377,57,133,134,122,54,22,13,19,15,23,11,13,8,201,4,3,9,10,3,4,0,0,0,0,0,0,0,0
NL_0222,Doetinchem,46245,36309,51,57,8313,5424,2328,4167,3972,2912,1522,1082,1841,542,841,757,573,422,122,373,121,82,82,24,56,45,454,24,20,11,60,16,15,0,0,0,0,0,0,0,0
NL_0766,Dongen,20776,16289,25,24,4757,2436,859,1881,1669,1184,558,448,650,159,219,359,184,219,41,48,65,24,42,18,0,29,294,25,18,14,9,7,5,0,18,0,0,0,0,0,5
NL_0505,Dordrecht,90249,66728,155,141,13496,9197,3680,7548,4219,4360,3379,3004,3489,130,3405,1639,1202,855,246,2012,283,522,163,74,0,97,2860,62,61,36,278,47,74,2,0,0,0,12,0,0,0
NL_0498,Drechterland,15279,12760,21,22,3605,1770,533,1303,1586,676,440,427,791,244,112,532,212,150,42,22,53,24,20,17,42,28,18,18,17,6,6,10,4,0,8,0,0,4,0,0,0
NL_1719,Drimmelen,21788,17376,16,22,5441,2109,801,2368,1741,1270,478,509,951,294,152,419,243,221,37,43,62,24,22,13,0,30,20,22,18,10,12,11,3,0,12,0,0,0,0,0,2
NL_0303,Dronten,31359,25409,27,37,6225,2865,981,2654,3334,1375,877,710,1611,548,1649,857,361,242,98,335,109,61,51,0,0,32,228,21,33,22,29,7,25,0,0,0,4,0,0,0,4
NL_0225,Druten,15056,11848,22,12,3492,1672,616,1462,1241,1036,385,262,482,142,81,273,177,144,17,15,41,16,13,6,23,19,142,10,11,8,7,4,4,0,13,0,0,0,0,0,0
NL_0226,Duiven,20038,16349,27,30,4589,2471,925,1857,1749,1074,628,512,724,114,301,506,258,198,44,36,84,39,17,10,32,22,56,11,15,6,5,6,3,0,0,0,0,0,0,0,0
NL_1711,Echt-Susteren,25760,19818,28,19,3983,2008,1348,4059,2824,1333,632,642,1342,188,137,363,204,262,58,18,57,29,34,19,50,21,67,16,23,8,18,8,0,0,16,0,0,3,0,0,3
NL_0385,Edam-Volendam,28786,24295,47,19,4871,2088,808,5885,3214,769,616,803,1973,243,206,1597,381,177,58,43,103,71,50,20,44,26,81,20,25,3,20,7,11,0,12,0,0,4,0,0,0
NL_0228,Ede,89676,74626,118,91,14348,8129,2539,6093,7977,2467,3059,2165,3638,540,7862,1584,1241,565,174,9226,159,223,103,57,130,97,1582,50,47,63,214,26,54,0,0,0,5,0,0,0,0
NL_0317,Eemnes,7315,6321,12,10,1934,998,299,600,636,263,221,271,277,58,176,217,157,47,14,34,17,18,16,0,11,8,6,6,4,2,2,2,2,0,3,3,0,0,0,0,0
NL_1979,Eemsdelta,36493,26887,48,47,3971,2689,2817,3467,3129,3505,904,830,1495,537,1560,389,231,288,69,211,69,63,35,0,57,22,320,18,18,20,14,8,17,0,30,5,4,0,0,0,0
NL_0770,Eersel,15594,12695,10,25,3886,1853,490,1139,1904,762,437,348,425,191,108,267,427,155,32,12,48,8,21,10,25,26,11,20,19,5,4,11,2,0,13,0,0,0,0,0,2
