gisco_id,name,registered,turnout,invalid,blank,VVD,Democraten 66 (D66),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie,Forum voor Democratie,OndernemersPartij,VNL (VoorNederland),Staatkundig Gereformeerde Partij (SGP),Piratenpartij,NIEUWE WEGEN,Lokaal in de Kamer,De Burger Beweging,GeenPeil,DENK,Vrijzinnige Partij,Libertarische Partij (LP),JEZUS LEEFT,Niet Stemmers,Artikel 1,StemNL,MenS en Spirit / Basisinkomen Partij / V-R,Vrije Democratische Partij (VDP)
NL_0484,Alphen aan den Rijn,82543,69181,149,106,17829,8216,4464,3213,9099,7957,5420,1942,1965,3064,1526,84,324,1900,268,137,0,36,37,1245,18,16,43,45,76,2,0,0
NL_1723,Alphen-Chaam,7858,6766,12,9,2051,671,614,183,1425,799,329,219,154,44,104,11,27,13,21,48,5,4,2,13,2,2,3,2,0,0,0,0
NL_0060,Ameland,2815,2761,2,4,715,261,174,240,613,265,173,75,69,54,80,8,5,8,8,2,4,0,2,0,0,0,0,0,0,0,0,0
NL_0307,Amersfoort,113869,96406,233,111,20255,14970,6766,5408,9192,8611,11847,1988,3373,6585,1404,91,286,910,401,147,0,40,59,3414,28,26,40,57,123,6,35,0
NL_0362,Amstelveen,59369,49859,143,67,13926,8936,2741,3438,4016,4410,5338,1603,1911,1029,880,38,157,191,196,42,26,25,32,399,13,0,0,22,280,0,0,0
NL_0363,Amsterdam,585340,461939,3007,907,70249,86410,29326,38279,13562,31260,90572,8904,27553,6833,5707,384,954,687,2506,459,204,239,270,31512,150,123,0,458,11424,0,0,0
NL_0200,Apeldoorn,124494,102784,215,155,22460,12410,8364,5995,12862,11773,8902,3307,3063,4938,1691,108,360,3308,311,107,65,60,54,2010,21,19,63,60,42,5,56,0
NL_0003,Appingedam,9559,7363,21,12,889,605,1431,673,1033,1095,559,270,161,317,98,13,19,24,13,10,16,6,0,85,0,6,0,6,6,0,0,0
NL_0202,Arnhem,117588,90460,308,134,15398,14765,9036,5784,6093,10622,13047,2087,4658,2180,1369,90,237,221,424,108,50,54,34,3268,46,23,69,68,224,4,59,0
NL_0106,Assen,51841,42425,89,57,6993,5221,5050,3851,4834,4193,4355,1152,1299,3536,681,52,136,332,167,71,40,41,16,215,34,10,0,0,0,0,0,0
NL_0743,Asten,12769,10748,24,18,2942,1026,1304,366,2201,1320,586,383,214,51,172,15,26,17,24,9,14,5,3,10,6,2,0,6,2,3,0,0
NL_0744,Baarle-Nassau,5199,4197,7,3,1044,313,413,126,918,726,214,167,117,23,67,3,9,9,6,9,3,2,4,8,2,2,3,2,0,0,0,0
NL_0308,Baarn,19076,15916,29,18,4438,2394,931,862,1764,1529,1413,417,593,586,298,14,57,192,48,14,0,7,7,246,2,22,4,8,15,0,8,0
NL_0489,Barendrecht,35807,30263,58,41,7715,3008,1784,1331,3570,4699,1848,1061,737,1235,787,28,161,1294,74,41,24,10,14,621,5,3,16,11,86,3,0,0
NL_0203,Barneveld,40971,36187,71,31,6384,1728,1159,698,6880,3557,973,729,402,4232,481,37,105,8136,57,32,16,22,9,373,5,8,34,10,10,0,8,0
NL_0005,Bedum,8162,6996,9,6,854,682,885,546,1446,503,664,138,186,828,85,9,12,97,20,6,10,5,4,0,0,0,0,4,0,0,0,0
NL_0888,Beek,13040,10842,27,21,2040,1232,1213,397,1824,2138,636,524,276,65,272,10,40,12,34,14,0,5,7,45,0,0,0,9,5,0,0,0
NL_0370,Beemster,7244,6277,7,7,2277,759,308,401,723,652,451,159,227,44,151,8,28,19,13,2,7,3,4,12,2,0,0,6,6,0,0,2
NL_0889,Beesel,10579,8270,33,11,1566,804,1019,326,1262,1759,493,445,184,40,141,5,36,13,13,15,0,7,3,89,0,0,0,3,3,0,0,0
NL_0007,Bellingwedde,7249,5809,8,4,821,402,1069,551,555,1123,411,223,271,163,119,11,9,16,24,12,6,3,3,3,3,3,0,3,3,0,0,0
NL_1945,Berg en Dal,27887,23628,39,28,4717,2630,3487,1361,3009,3567,2398,746,844,180,309,28,59,38,61,16,14,11,6,37,6,4,5,11,15,2,0,0
NL_1724,Bergeijk,14388,11931,20,24,3057,1097,1386,393,2631,1575,575,422,252,93,204,12,62,33,26,10,30,4,3,6,4,3,0,6,5,0,0,0
NL_0373,Bergen (NH.),24099,20976,40,27,6202,2654,1212,1376,2091,2236,2180,630,1203,222,438,34,215,35,60,44,11,12,11,15,9,0,0,10,6,0,0,3
NL_0893,Bergen (L.),10428,8385,28,6,1598,589,1699,244,1537,1589,372,318,165,38,120,11,26,11,10,9,0,0,2,8,2,0,0,3,2,0,0,0
NL_0748,Bergen op Zoom,50851,40045,138,60,9557,4113,4243,1681,4213,6878,3170,1628,989,417,610,43,122,63,91,39,139,11,16,1744,10,4,20,25,16,5,0,0
NL_1859,Berkelland,35130,29796,65,30,6702,3408,3834,2017,6099,2995,1973,782,575,419,382,64,118,80,54,24,33,9,4,69,10,2,2,15,12,2,17,0
NL_1721,Bernheze,23192,19048,30,27,4835,2077,2901,641,3845,2237,988,555,275,108,281,25,59,21,44,16,10,7,2,43,5,2,0,2,12,0,0,0
NL_0753,Best,22244,18541,40,32,4878,2258,2194,697,2477,2356,1210,800,412,403,279,27,86,39,42,19,25,8,8,225,3,0,0,13,8,2,0,0
NL_0209,Beuningen,20055,16691,29,17,4201,2010,2094,814,2107,2461,1293,628,345,146,263,23,71,23,44,21,13,6,5,50,4,4,4,8,9,4,0,0
NL_0375,Beverwijk,29968,23438,60,26,5187,2634,2323,1383,1834,3773,2232,1002,846,279,565,31,146,39,113,37,41,15,25,796,4,0,0,10,37,0,0,0
NL_0585,Binnenmaas,22927,19620,49,28,4847,1665,1278,1147,2706,2943,929,654,567,901,463,15,100,1169,48,37,11,10,4,13,7,4,11,11,6,0,0,0
NL_1728,Bladel,15616,12809,16,9,3309,1189,1781,448,2424,1661,677,554,261,75,217,25,44,22,24,12,31,7,4,3,4,2,0,6,2,2,0,0
NL_0376,Blaricum,7825,6939,19,6,2733,917,301,336,763,609,350,187,214,121,221,3,22,35,19,23,4,0,0,47,3,0,0,3,3,0,0,0
NL_0377,Bloemendaal,17122,15198,27,9,6038,2742,462,799,1511,842,1268,237,638,214,255,12,30,38,34,9,3,3,2,16,2,0,0,2,6,0,0,0
NL_1901,Bodegraven-Reeuwijk,25484,22128,58,35,5952,2056,878,787,3516,2554,1243,525,386,1488,394,20,81,1772,60,23,0,12,5,247,2,2,21,7,3,2,0,0
NL_0755,Boekel,7994,6501,10,17,1585,562,969,179,1563,862,256,170,111,26,89,12,28,8,21,4,4,13,0,2,2,2,0,3,2,2,0,0
NL_NLZZBO,Bonaire,11955,2631,39,51,397,727,77,209,413,122,222,41,113,92,39,4,13,12,0,6,0,0,0,16,0,0,0,0,38,0,0,0
NL_1681,Borger-Odoorn,20557,16999,22,14,3280,1524,2434,1490,2197,2520,1087,612,469,652,338,25,57,124,47,22,46,22,7,0,6,4,0,0,0,0,0,0
NL_0147,Borne,17477,15048,20,13,3420,1839,1506,775,3576,1639,952,347,248,233,245,11,51,33,47,15,11,4,4,53,4,0,0,5,0,0,0,0
NL_0654,Borsele,17270,14515,23,15,2752,1026,1129,635,2459,1650,665,491,359,507,252,12,52,2399,43,6,10,7,12,4,2,2,0,0,4,0,0,0
NL_0756,Boxmeer,22435,19667,29,21,3960,1878,5406,649,3416,1933,1073,353,297,104,226,30,62,20,60,17,8,9,7,94,3,3,0,9,3,3,0,0
NL_0757,Boxtel,23493,18742,48,36,4274,2487,2676,930,2511,2306,1588,569,463,160,266,28,59,18,57,15,14,7,6,194,2,5,0,16,6,2,0,0
NL_0758,Breda,138849,110985,290,174,30141,16528,10498,5325,10498,12759,11567,2771,3719,1102,1788,121,341,158,462,152,103,44,44,2132,36,13,32,57,122,8,0,0
NL_0501,Brielle,13340,11122,19,26,3160,1069,953,605,1202,1964,604,419,329,151,352,22,60,50,35,41,6,12,4,16,2,2,6,8,5,2,0,0
NL_1876,Bronckhorst,29178,24634,45,21,6323,2850,2272,1467,5227,2253,1486,734,592,512,326,44,80,225,36,28,17,14,3,25,6,5,13,6,10,2,12,0
NL_0213,Brummen,16723,13880,35,12,3199,1671,1506,1073,1712,1669,1152,487,406,246,214,19,55,57,34,16,12,8,7,267,2,2,2,8,2,0,8,0
NL_0899,Brunssum,22893,17491,23,36,2235,1262,3224,739,1953,4611,949,955,577,223,322,27,74,45,59,29,0,12,7,88,5,2,0,16,18,0,0,0
NL_0312,Bunnik,11508,10286,12,7,2505,1700,462,685,1494,798,1362,206,310,328,136,9,16,161,32,14,0,12,7,14,3,2,2,2,8,0,2,0
NL_0313,Bunschoten,15321,13542,47,12,2040,342,310,169,3342,1775,258,242,98,3428,223,5,29,1015,26,6,0,0,2,95,0,2,63,4,4,2,5,0
NL_0214,Buren,20481,17165,25,25,4801,1567,1096,913,2077,3020,780,569,406,465,356,30,66,886,20,23,7,3,5,12,2,2,6,0,3,2,0,0
NL_0502,Capelle aan den IJssel,50592,39011,135,77,7854,4040,3224,2203,3435,6439,2909,1536,1323,1584,860,37,232,2016,122,55,0,9,18,502,12,6,43,25,312,3,0,0
NL_0383,Castricum,27892,24591,53,34,7082,3616,1715,1732,2815,1997,2686,682,987,297,480,36,114,45,88,35,14,10,12,28,7,0,0,7,17,0,0,2
NL_0109,Coevorden,27842,23019,42,18,5123,2100,2646,1987,3839,3229,1333,840,465,582,381,26,93,174,42,29,18,14,3,19,15,3,0,0,0,0,0,0
NL_1706,Cranendonck,16061,13128,22,15,3211,1193,1629,425,2329,2300,548,597,336,89,242,15,55,18,34,18,16,10,3,13,3,3,0,4,3,3,0,0
NL_0611,Cromstrijen,10282,8814,13,10,2267,755,619,468,1176,1350,427,324,222,309,183,5,47,583,20,10,4,2,4,2,2,2,4,6,2,2,0,0
NL_1684,Cuijk,19155,15849,52,23,3275,1759,3059,631,2182,1980,1114,440,372,97,182,12,74,8,43,8,15,11,8,475,8,4,0,7,7,3,0,0
NL_0216,Culemborg,21074,17759,47,14,3673,2299,1269,1149,1682,2316,2201,488,657,504,271,14,55,175,52,23,13,21,4,770,5,2,15,11,28,2,0,0
NL_0148,Dalfsen,21608,18808,23,19,3620,1574,1258,797,5958,1462,800,461,306,1653,235,24,68,456,31,17,11,7,9,3,6,0,0,4,6,0,0,0
NL_1891,Dantumadiel,14827,12091,24,6,1173,597,1484,698,3118,1703,551,320,202,1249,152,19,48,663,38,26,7,4,2,3,2,2,0,0,0,0,0,0
NL_0310,De Bilt,32796,28775,59,41,7620,4603,1650,1703,2923,2378,3247,586,1124,999,393,23,85,893,91,31,0,6,14,234,9,4,12,17,18,0,12,0
NL_1940,De Fryske Marren,39844,33411,57,45,7265,3164,3055,2333,7443,3636,2205,958,755,1037,612,61,122,360,71,80,23,33,24,53,15,4,0,0,0,0,0,0
NL_1663,De Marne,8028,6498,7,13,864,457,902,542,1105,828,574,172,269,521,97,14,21,81,14,7,2,0,2,2,2,2,0,4,0,0,0,0
NL_0736,De Ronde Venen,33000,28546,45,34,9331,3435,1170,1211,3921,3294,1916,811,812,914,612,59,128,446,80,35,0,11,9,207,6,6,7,13,19,0,14,0
NL_1690,De Wolden,18891,16117,35,19,4452,1592,1200,1117,3024,1527,959,572,388,600,286,26,50,180,23,21,20,10,4,3,3,6,0,0,0,0,0,0
NL_0503,Delft,73968,61027,218,113,10780,12300,4055,3950,4509,6965,8702,1590,2348,1920,1032,58,162,324,450,71,34,20,40,1142,17,11,35,43,133,5,0,0
NL_0010,Delfzijl,19811,15269,42,33,1975,1190,2540,1322,2080,2401,1028,723,345,797,235,19,58,86,55,14,13,8,8,268,3,4,0,13,9,0,0,0
NL_0400,Den Helder,44369,33741,90,65,7297,2921,2783,1877,4026,6459,2144,1793,1086,1083,996,48,340,288,131,62,41,25,29,97,10,0,0,17,23,0,0,10
NL_0762,Deurne,25169,20217,38,39,5185,1812,2764,636,3884,2891,1081,770,370,89,310,34,80,25,59,37,19,14,6,39,9,5,0,9,9,3,0,0
NL_0150,Deventer,74845,62044,196,90,11349,9095,6379,5123,6266,6522,7337,1810,2218,1632,780,56,188,189,230,78,42,48,40,2279,16,0,0,43,38,0,0,0
