gisco_id,name,registered,turnout,invalid,blank,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),Democraten 66 (D66),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),GROENLINKS,Partij voor de Dieren,ChristenUnie,50PLUS,Staatkundig Gereformeerde Partij (SGP),Partij voor Mens en Spirit (MenS),Piratenpartij,SOPN,Democratisch Politiek Keerpunt DPK,Partij van de Toekomst (PvdT),Libertarische Partij (LP),Nederland Lokaal,Liberaal Democratische Partij (LibDem),Anti Europa Partij,Politieke Partij NXD
NL_0874,Woudrichem,11133,8836,13,8,1332,2357,670,327,788,1288,118,102,1262,133,386,9,22,11,8,8,8,0,0,0,0
NL_0479,Zaanstad,110988,79905,228,120,24515,19081,8686,5135,9519,4011,1783,2213,1215,2224,286,140,294,152,89,104,46,19,20,25,0
NL_0297,Zaltbommel,19701,15514,25,18,2889,3917,1072,904,1309,1244,269,190,1046,212,2319,23,32,10,11,13,6,5,0,0,0
NL_0473,Zandvoort,13202,9836,19,11,1882,4114,584,706,1195,425,130,312,41,269,11,26,63,20,10,8,3,4,2,2,0
NL_0707,Zederik,10191,8538,17,4,1167,2214,384,256,572,1378,78,102,1049,99,1175,4,13,3,9,5,2,4,2,2,0
NL_0478,Zeevang,4824,3875,5,6,825,1620,253,282,381,183,71,94,32,92,6,3,8,3,5,3,5,0,0,0,0
NL_0050,Zeewolde,15068,12167,18,7,1846,4809,695,749,1138,974,166,204,1029,193,226,33,30,19,12,9,6,0,3,3,0
NL_0355,Zeist,45802,35644,80,46,8048,11250,2348,3966,2681,2387,1230,836,1131,523,709,166,97,69,21,20,10,4,14,8,0
NL_0299,Zevenaar,25734,19384,31,32,5241,5125,2293,1376,1915,1954,335,312,149,454,15,38,53,16,15,13,5,0,10,2,0
NL_0476,Zijpe,8908,7005,17,6,1580,2557,552,484,645,597,120,145,40,169,23,12,13,16,7,16,3,2,0,2,0
NL_0637,Zoetermeer,93621,69105,165,171,17111,20448,5749,5154,9080,3625,1136,1541,1682,1658,754,136,309,125,94,81,44,10,15,17,0
NL_0638,Zoeterwoude,6362,5043,8,9,1038,1662,360,477,458,597,121,105,44,80,45,5,16,2,5,4,2,5,0,2,0
NL_0056,Zuidhorn,13858,11486,10,18,3066,1978,928,709,537,1579,310,167,1766,94,237,28,21,8,6,8,7,8,0,6,0
NL_1892,Zuidplas,30813,23843,41,30,4122,8132,1358,1539,2268,1845,297,457,1434,376,1740,36,59,22,33,23,15,13,0,3,0
NL_0879,Zundert,16226,11330,18,25,1896,4034,1269,679,1402,1374,109,146,62,235,8,12,17,14,11,6,4,2,4,3,0
NL_0301,Zutphen,36147,27738,43,32,9347,5167,3417,2512,1965,1673,1089,850,689,467,86,182,71,81,13,24,13,4,5,8,0
NL_1896,Zwartewaterland,15822,12876,32,12,1901,2266,686,327,817,1584,80,72,2200,149,2686,13,22,5,9,11,3,0,3,0,0
NL_0642,Zwijndrecht,34619,25599,64,46,5543,6726,2045,1277,3392,2192,300,515,1512,580,1206,29,86,24,21,26,6,6,0,3,0
NL_0193,Zwolle,93106,72451,123,167,21411,14198,6878,6696,4328,5403,2275,1288,7355,871,769,154,289,121,28,43,19,13,8,14,0
