gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,CDA,LPF,GL,D66,SP,LN,CU,Verenigde Senioren Partij,SGP,Vrije Indische Partij & OuderenUnie,Partij van de Toekomst,Duurzaam Nederland,Nieuwe Midden Partij,Republikeinse Volkspartij
NL_0626,Voorschoten,16388,14084,0,17,1457,3456,3959,2180,991,999,552,152,169,49,78,15,4,4,2,0
NL_0285,Voorst,17985,14827,0,11,2304,2442,5781,1637,781,692,533,215,143,47,211,9,15,4,2,0
NL_0286,Vorden,6667,5739,0,5,794,1060,2309,597,289,275,255,66,62,10,12,3,3,3,0,0
NL_0186,Vriezenveen,24783,20053,0,10,2718,1263,9951,1829,543,390,540,233,1892,36,621,8,5,7,7,0
NL_0865,Vught,19156,15425,0,26,1993,3056,4765,2192,1122,986,954,170,61,56,14,10,13,7,0,0
NL_0866,Waalre,12171,10405,0,11,985,2436,3511,1609,523,555,500,127,49,42,5,7,40,3,2,0
NL_0867,Waalwijk,34806,26705,0,26,2988,4153,8482,5155,1476,1081,1546,456,499,171,575,33,36,22,6,0
NL_0627,Waddinxveen,19632,16579,0,17,1709,2612,4730,3006,622,841,522,281,1074,54,1061,22,15,9,4,0
NL_0289,Wageningen,25600,20899,0,0,4104,2838,4386,1725,3212,1571,1831,215,661,45,256,25,8,17,5,0
NL_0628,Warmond,3857,3319,0,5,286,638,1189,578,163,216,151,52,13,13,11,2,2,2,0,0
NL_0291,Warnsveld,6867,5767,0,7,1066,1093,1535,566,441,430,410,62,134,6,9,3,3,3,3,0
NL_0629,Wassenaar,17876,15412,0,22,925,5586,4126,2894,526,629,369,145,97,39,30,15,5,2,2,0
NL_0630,Wateringen,11928,10202,0,13,732,1823,3891,2352,328,401,294,202,100,27,26,6,4,3,0,0
NL_0852,Waterland,13059,11501,0,12,1555,2123,2944,2299,768,623,702,254,112,74,22,7,0,0,6,0
NL_0988,Weert,36660,27748,0,37,3183,5558,8509,5735,1366,1206,1439,419,99,119,16,28,18,15,15,0
NL_0457,Weesp,13559,10951,0,5,1677,1979,2466,1994,850,644,726,213,118,218,41,0,7,8,5,0
NL_0292,Wehl,5127,4008,0,3,574,378,1952,604,161,110,155,40,5,12,5,2,3,3,2,0
NL_0870,Werkendam,19589,16329,0,13,1726,1866,5884,2611,490,427,521,224,777,38,1728,10,10,2,2,0
NL_0459,Wervershoof,6226,5350,0,8,441,780,2137,1063,266,231,196,156,24,31,6,4,0,4,3,0
NL_0668,West Maas en Waal,14108,11801,0,5,1476,1790,4519,2071,635,434,624,148,31,41,8,13,3,3,0,0
NL_0558,Wester-Koggenland,10175,8655,0,14,922,1713,3149,1306,414,391,427,230,30,39,8,7,0,0,5,0
NL_1701,Westerveld,14847,12870,0,11,3185,2751,2840,1647,764,615,620,198,156,28,37,8,6,3,3,0
NL_0293,Westervoort,11749,9322,0,7,1602,1393,2428,1533,832,546,618,163,146,26,10,13,4,0,4,0
NL_0098,Weststellingwerf,19663,15431,0,18,3589,2342,4149,2437,894,561,817,269,248,49,35,0,18,4,4,0
NL_0614,Westvoorne,11026,9256,0,6,1105,2353,2098,2261,286,470,345,186,52,31,50,3,5,4,3,0
NL_0189,Wierden,17359,15206,0,5,1280,1642,7993,1495,453,359,353,136,1048,29,393,9,7,3,3,0
NL_0462,Wieringen,6499,5106,0,6,857,1019,979,1044,237,222,338,126,31,235,5,5,0,5,5,0
NL_0463,Wieringermeer,9497,7961,0,9,914,1424,2588,1485,339,340,364,171,202,62,51,2,0,2,8,0
NL_0296,Wijchen,29048,23716,0,38,3335,3739,7871,3865,1549,1222,1498,347,96,93,6,26,20,11,0,0
NL_1696,Wijdemeren,17890,15422,0,22,1521,3485,4528,2828,804,864,734,242,200,80,100,0,11,2,2,0
NL_0352,Wijk bij Duurstede,16909,14081,0,17,1651,2691,4042,2259,1018,707,811,284,244,34,290,13,10,10,0,0
NL_0052,Winschoten,14709,10806,0,16,3241,1397,1911,1732,862,484,586,148,363,31,21,4,4,2,4,0
NL_0053,Winsum,10287,8857,0,13,1871,982,2675,754,761,426,554,116,650,11,38,2,2,2,0,0
NL_0294,Winterswijk,22026,17560,0,18,4108,3627,4640,1929,1029,844,829,219,184,67,22,12,16,13,3,0
NL_0295,Wisch,14991,11756,0,15,1835,1715,4581,1581,583,488,565,163,168,30,8,3,10,11,0,0
NL_0873,Woensdrecht,15723,11782,0,12,1269,2246,3658,2659,507,503,496,242,47,84,16,18,12,11,2,0
NL_0632,Woerden,35029,29816,0,25,2938,4870,10011,4678,1727,1615,1337,461,1121,78,911,21,20,3,0,0
NL_0466,Wognum,5941,5069,0,2,428,800,2149,766,261,301,200,106,21,29,2,2,0,2,2,0
NL_0880,Wormerland,11680,9898,0,7,1454,1826,2241,1612,1005,595,698,236,122,63,16,9,0,10,4,0
NL_0351,Woudenberg,7965,6944,0,6,550,992,2320,820,256,246,234,67,518,10,909,9,6,6,0,0
NL_0874,Woudrichem,10792,8972,0,10,909,1016,3631,1226,278,258,345,116,807,11,356,2,5,2,0,0
NL_0710,Wunseradiel,8759,7488,0,2,1082,909,3124,1004,389,265,418,110,144,15,14,0,11,11,0,0
NL_0683,Wymbritseradiel,11787,10116,0,6,1075,1226,4941,1036,606,377,407,135,254,18,30,0,4,4,0,0
NL_0479,Zaanstad,102645,81235,0,115,14512,12935,15023,15847,6930,4577,6947,2072,1141,547,213,121,0,218,37,0
NL_0297,Zaltbommel,18754,15534,0,15,2126,2265,4120,2010,743,621,628,164,818,34,1965,13,10,2,0,0
NL_0473,Zandvoort,13234,10561,0,15,1320,2593,1879,2775,502,575,491,199,44,147,4,0,4,11,2,0
NL_0707,Zederik,9985,8966,0,20,974,987,3405,1161,170,214,203,99,663,19,1045,2,2,3,0,0
NL_0478,Zeevang,4753,4087,0,12,593,1181,661,714,278,250,249,86,15,39,4,3,0,0,2,0
NL_0050,Zeewolde,12215,10583,0,4,934,2356,2974,1768,555,482,337,186,866,17,96,8,0,0,0,0
NL_0355,Zeist,45387,37080,0,39,4669,7156,8720,6056,3341,2211,2201,610,1075,102,816,62,13,9,0,0
NL_0298,Zelhem,8693,6938,0,4,1143,1129,2611,868,292,284,271,97,101,20,113,0,3,3,3,0
NL_0299,Zevenaar,20376,16187,0,11,2490,2418,5550,2378,1046,893,966,230,95,57,20,21,10,0,2,0
NL_1666,Zevenhuizen-Moerkapelle,7313,6406,0,8,720,1020,1717,1161,147,226,132,106,369,22,768,3,3,0,4,0
NL_0476,Zijpe,8554,7201,0,10,1069,1483,1984,1190,414,350,372,206,45,56,8,4,0,4,6,0
NL_0637,Zoetermeer,82029,65993,0,71,9142,12224,15158,13119,3991,4669,4107,1089,1365,179,659,145,32,37,6,0
NL_0638,Zoeterwoude,6359,5323,0,8,493,799,2079,893,353,296,251,66,23,13,42,4,2,2,0,0
NL_0056,Zuidhorn,13179,11666,0,22,1844,1267,3931,932,751,426,503,112,1693,30,139,5,7,4,0,0
NL_0879,Zundert,15141,11194,0,14,1186,1869,4370,1993,500,423,507,226,42,43,3,5,8,4,3,0
NL_0301,Zutphen,27304,21695,0,32,4880,2955,4326,2732,2375,1391,2080,277,487,62,34,32,9,19,4,0
NL_1896,Zwartewaterland,15263,13257,0,10,1315,1009,4694,1114,330,237,294,162,1940,22,2117,5,3,4,3,0
NL_0642,Zwijndrecht,31527,25493,0,28,3427,3573,6800,5594,1023,1007,1108,465,1253,125,996,40,8,34,12,0
NL_0193,Zwolle,83543,67651,0,55,12056,8600,18387,7057,6862,3599,4273,834,5184,194,415,53,30,35,17,0
