gisco_id,name,registered,turnout,invalid,blank,PVV (Partij voor de Vrijheid),GROENLINKS / Partij van de Arbeid (PvdA),VVD,Nieuw Sociaal Contract,BBB,D66,SP (Socialistische Partij),Partij voor de Dieren,CDA,Forum voor Democratie,ChristenUnie,Volt,JA21,BVNL / Groep Van Haga,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,BIJ1,Piratenpartij - De Groenen,Samen voor Nederland,Splinter,LEF - Voor de Nieuwe Generatie,LP (Libertaire Partij),PartijvdSport,Nederland met een PLAN,Politieke Partij voor Basisinkomen
NL_0243,Harderwijk,37342,30051,45,43,6432,3396,5009,4041,1341,1561,595,517,1594,652,2023,363,248,122,135,773,1009,54,19,16,37,8,5,0,13,0
NL_0523,Hardinxveld-Giessendam,13952,11824,12,8,2685,612,1304,1379,388,185,180,100,599,308,1285,57,89,60,54,2421,74,5,5,2,3,4,3,2,2,0
NL_0072,Harlingen,12825,10181,29,27,2841,1454,1360,1505,515,404,441,206,450,300,191,96,74,70,72,44,36,20,11,8,15,3,2,0,4,3
NL_0244,Hattem,9813,8501,11,11,1574,1087,1109,1467,440,485,173,144,506,134,890,103,51,38,22,193,30,8,7,7,5,2,2,0,3,0
NL_0396,Heemskerk,31082,24245,46,32,6524,3236,4093,3123,966,1550,923,520,719,712,174,305,211,150,203,44,530,57,16,15,38,21,6,16,15,0
NL_0397,Heemstede,20519,17503,29,27,2011,3313,5117,1665,246,2304,301,473,576,257,154,588,120,79,45,28,84,28,9,4,20,4,7,10,4,0
NL_0246,Heerde,15187,12775,17,20,3026,1089,1562,2094,1133,464,237,174,830,265,1086,84,84,52,29,443,43,12,6,4,8,7,4,0,5,0
NL_0074,Heerenveen,40859,32764,58,69,7374,5456,4571,4815,2446,1823,1171,639,1225,891,648,336,207,245,141,161,306,46,29,14,35,12,18,0,17,11
NL_0917,Heerlen,68247,45227,124,116,16625,6862,4432,5687,946,1559,2665,939,1015,1673,190,386,218,245,330,72,813,105,53,12,62,31,13,32,22,0
NL_1658,Heeze-Leende,13332,11147,14,25,2528,1325,2440,1547,724,809,354,184,499,164,55,196,77,54,60,8,40,7,2,5,15,3,2,3,2,6
NL_0399,Heiloo,19460,16794,18,28,2716,3394,3583,1971,472,1645,447,569,620,321,147,373,139,101,75,30,50,13,8,12,21,8,8,17,8,0
