gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,CDA,SP,GL,D66,LPF,CU,PvdD,LN,Partij van de Toekomst,Lijst Ratelband,SGP,De Conservatieven.nl,Nieuwe Communistische Partij,Duurzaam Nederland,Alliantie Vernieuwing en Democratie,VIP Vooruitstrevende Integratie Partij,Lijst Veldhoen
NL_1679,Ambt Montfort,8572,6659,0,3,1647,890,2926,347,242,154,331,9,53,26,15,8,0,3,2,3,0,0,0
NL_0060,Ameland,2652,2436,0,0,573,448,982,113,92,60,116,15,8,19,5,3,3,0,3,0,0,0,0
NL_0306,Amerongen,5414,4694,0,4,867,919,1531,176,156,188,239,153,24,13,12,4,403,3,2,0,0,0,0
NL_0307,Amersfoort,94763,77423,0,70,20792,14969,18581,5484,5561,4034,3080,3418,315,273,80,41,606,19,36,45,9,10,0
NL_0362,Amstelveen,57525,48461,0,44,11645,13550,11065,2498,2816,3482,2311,411,277,146,47,37,72,21,14,21,4,0,0
NL_0363,Amsterdam,524362,376563,0,1788,143188,58528,36352,37127,41289,26439,21658,2670,3211,1146,553,490,237,138,460,1012,59,218,0
NL_0364,Andijk,4712,3976,0,1,753,708,1456,236,158,107,267,193,21,20,6,3,45,0,3,0,3,0,0
NL_0199,Angerlo,3783,3280,0,9,885,614,1196,181,113,106,131,6,12,16,8,2,2,0,0,0,0,0,0
NL_0366,Anna Paulowna,10332,8575,0,4,1901,2338,2657,356,270,265,548,88,54,61,14,5,8,0,2,3,2,0,0
NL_0200,Apeldoorn,118653,96048,0,60,27715,17924,27009,4810,4664,3800,4191,2417,477,413,111,57,2303,28,31,30,8,0,0
NL_0003,Appingedam,9797,7701,0,2,3624,834,1664,457,254,237,307,212,38,28,10,2,13,0,18,2,0,0,0
NL_0885,Arcen en Velden,6636,5485,0,2,1026,797,2795,254,177,138,236,8,21,24,3,2,0,2,2,0,0,0,0
NL_0202,Arnhem,106866,80111,0,266,27503,12627,15041,7646,6965,4054,3541,1079,520,239,111,203,86,30,34,145,21,0,0
NL_0106,Assen,45672,37684,0,28,14440,5630,7446,2380,2115,1417,1297,2442,154,104,32,31,101,17,13,37,0,0,0
NL_0743,Asten,11994,10192,0,26,1851,1573,4772,668,340,280,524,22,37,49,32,8,5,2,2,2,0,2,0
NL_0744,Baarle-Nassau,4951,3954,0,1,704,696,1877,214,110,76,210,8,22,16,9,4,3,3,3,3,3,0,0
NL_0308,Baarn,18341,15405,0,20,3476,3836,4119,828,880,765,792,392,91,51,16,18,101,7,5,4,4,0,0
NL_0489,Barendrecht,26246,22374,0,21,4536,5117,6245,824,740,836,2207,587,97,100,19,38,972,11,8,6,0,6,4
NL_0203,Barneveld,34352,30556,0,11,2958,3761,13322,654,539,460,1413,2110,63,78,27,11,5126,5,4,12,2,0,0
NL_0144,Bathmen,4095,3730,0,5,997,956,1214,112,135,148,131,7,0,9,13,7,7,0,7,0,0,0,0
NL_0005,Bedum,8090,7200,0,3,1951,675,2691,361,301,237,172,716,23,17,4,2,45,0,0,0,2,0,0
NL_0888,Beek,13111,10591,0,9,2539,1621,4366,570,449,318,537,33,52,54,20,11,6,2,3,2,0,0,0
NL_0370,Beemster,6453,5617,0,15,1311,1532,1582,250,237,268,332,18,36,24,4,3,2,0,3,0,0,0,0
NL_0889,Beesel,10141,7543,0,7,1877,1138,3031,398,282,197,472,21,61,33,10,4,3,4,5,0,0,0,0
NL_0007,Bellingwedde,7532,6013,0,7,3047,796,867,347,257,138,345,94,45,23,7,4,12,0,22,0,2,0,0
NL_0372,Bennebroek,4130,3638,0,1,599,1165,1208,106,160,224,125,18,15,5,2,3,6,0,2,0,0,0,0
NL_0491,Bergambacht,6860,6151,0,1,1512,1212,1638,159,140,197,383,218,31,15,5,5,632,2,2,0,0,0,0
NL_1724,Bergeijk,13484,11364,0,16,1916,1987,5462,653,299,250,617,33,41,52,18,6,8,3,2,0,2,0,0
NL_0373,Bergen (NH.),10047,7788,0,6,1763,1057,3637,427,226,156,413,6,41,30,16,4,2,4,0,0,0,0,0
NL_0893,Bergen (L.),24402,20873,0,17,4792,5480,5269,1126,1343,1250,1222,74,125,108,19,18,12,0,13,4,4,0,0
NL_0748,Bergen op Zoom,48417,36308,0,39,9267,7951,10117,2264,1645,1530,2687,207,178,185,62,52,28,10,18,50,10,8,0
NL_0207,Bergh,14069,11068,0,8,3105,1676,4476,542,323,266,513,24,45,38,23,7,8,6,5,2,2,0,0
NL_0492,Bergschenhoek,10769,9261,0,7,1422,2661,2983,266,282,358,828,280,48,35,10,17,48,2,3,4,2,5,0
NL_0493,Berkel en Rodenrijs,12564,10985,0,8,1585,2359,4164,351,375,422,798,708,44,46,10,17,78,10,0,8,8,8,0
NL_1721,Bernheze,21374,17608,0,19,3111,2652,8041,1995,539,427,633,23,34,61,38,9,7,6,4,5,3,3,0
NL_0568,Bernisse,9825,8249,0,9,1746,1988,2488,339,246,320,768,125,62,45,11,5,91,3,2,0,0,0,2
NL_0753,Best,20768,17012,0,21,3965,3562,5743,1070,628,676,861,212,61,76,78,12,22,2,4,16,2,2,0
NL_0209,Beuningen,18609,15097,0,11,4329,2841,4669,1068,681,585,686,57,54,66,21,10,11,0,2,6,0,0,0
NL_0375,Beverwijk,27551,21440,0,19,6863,3832,5185,1448,1095,852,1603,132,165,121,31,34,19,7,12,15,7,0,0
NL_0585,Binnenmaas,14997,12910,0,20,2852,3036,3609,491,366,451,1079,222,62,47,4,16,646,6,4,0,4,0,4
NL_1728,Bladel,14349,11583,0,13,2050,1826,5459,769,366,324,588,25,32,82,34,6,3,4,0,0,3,3,0
NL_0376,Blaricum,7223,6505,0,4,1187,2247,1697,284,278,419,281,40,31,18,2,5,8,2,2,0,2,0,0
NL_0495,Bleiswijk,7372,6473,0,4,945,1597,2434,179,171,223,542,213,22,36,5,9,86,5,0,5,5,0,0
NL_0377,Bloemendaal,12618,11461,0,6,1794,4450,2719,329,634,954,366,74,75,21,14,9,12,0,2,2,2,0,0
NL_0055,Boarnsterhim,14421,12628,0,9,5180,2343,2724,688,618,442,362,94,36,74,22,5,25,0,2,2,2,0,0
NL_0497,Bodegraven,14172,11997,0,13,2141,2261,4549,454,361,362,649,513,43,35,9,7,590,4,5,0,4,0,0
NL_0755,Boekel,6892,5743,0,9,866,655,3072,491,143,120,318,8,15,26,9,2,3,3,2,0,2,2,0
NL_0064,Bolsward,7071,5891,0,5,1826,655,2233,401,236,137,201,100,25,35,10,8,15,0,2,0,2,0,0
NL_0211,Borculo,7926,6986,0,4,2302,1773,1861,309,254,181,190,46,27,19,7,2,4,5,2,2,0,0,0
