gisco_id,name,registered,turnout,invalid,blank,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19,KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19,KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19,KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19,KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19,KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19,KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19
PL_1003021010101,Bolesławiec,29895,18199,210,0,4308,0,1109,972,0,6445,0,3997,1158,0
PL_1003021010102,Bolesławiec,11171,6317,94,0,1197,0,472,577,0,2716,0,930,331,0
PL_1003021010103,Gromadka,4306,2275,55,0,287,0,117,154,0,1128,0,428,106,0
PL_1003021010104,Nowogrodziec,11683,5700,109,0,878,0,432,537,0,2980,0,545,219,0
PL_1003021010105,Osiecznica,5392,2693,67,0,509,0,183,216,0,1200,0,410,108,0
PL_1003021010106,Warta Bolesławiecka,6651,3426,57,0,624,0,245,285,0,1667,0,406,142,0
PL_1003021030201,Bielawa,23936,12942,187,0,3474,0,725,901,0,5264,0,1856,535,0
PL_1003021030202,Dzierżoniów,26022,15501,160,0,4638,0,811,2044,0,5908,0,1667,273,0
PL_1003021030203,Pieszyce,7485,3876,72,0,1096,0,225,304,0,1766,0,318,95,0
PL_1003021030204,Piława Górna,4963,2529,32,0,487,0,172,290,0,1250,0,240,58,0
PL_1003021030205,Dzierżoniów,7370,4102,67,0,809,0,231,520,0,2070,0,336,69,0
PL_1003021030206,Łagiewniki,5967,3237,46,0,620,0,193,297,0,1793,0,239,49,0
PL_1003021030207,Niemcza,4453,2248,44,0,494,0,116,256,0,1062,0,241,35,0
PL_1003021020301,Głogów,51453,31447,263,0,8615,0,1608,1346,0,13285,0,5512,818,0
PL_1003021020302,Głogów,5237,3268,60,0,745,0,186,231,0,1550,0,432,64,0
PL_1003021020303,Jerzmanowa,3853,2496,45,0,577,0,158,166,0,1056,0,435,59,0
PL_1003021020304,Kotla,3398,1717,34,0,355,0,77,93,0,921,0,193,44,0
PL_1003021020305,Pęcław,1732,868,22,0,102,0,39,131,0,525,0,42,7,0
PL_1003021020306,Żukowice,2681,1404,35,0,263,0,86,99,0,704,0,185,32,0
PL_1003021020401,Góra,15265,7869,99,0,2076,0,446,567,0,3433,0,920,328,0
PL_1003021020402,Jemielno,2405,1148,25,0,177,0,57,110,0,650,0,106,23,0
PL_1003021020403,Niechlów,3771,1824,30,0,258,0,97,147,0,1105,0,140,47,0
PL_1003021020404,Wąsosz,5735,2855,64,0,533,0,149,266,0,1393,0,352,98,0
PL_1003021010501,Jawor,18180,10523,127,0,2643,0,583,803,0,4779,0,1385,203,0
PL_1003021010502,Bolków,8204,4100,109,0,700,0,206,448,0,1805,0,770,62,0
PL_1003021010503,Męcinka,3942,2169,24,0,347,0,116,211,0,1230,0,213,28,0
PL_1003021010504,Mściwojów,3204,1752,27,0,344,0,93,241,0,832,0,181,34,0
PL_1003021010505,Paszowice,3190,1693,31,0,295,0,94,197,0,866,0,184,26,0
PL_1003021010506,Wądroże Wielkie,3204,1714,33,0,294,0,72,308,0,852,0,132,23,0
PL_1003021010601,Karpacz,5048,3404,30,0,1418,0,185,244,0,786,0,686,55,0
PL_1003021010602,Kowary,8374,4544,66,0,1422,0,271,384,0,1456,0,865,80,0
PL_1003021010603,Piechowice,5011,2944,41,0,956,0,192,195,0,939,0,576,45,0
PL_1003021010604,Szklarska Poręba,5921,3833,43,0,1465,0,193,219,0,1086,0,754,73,0
PL_1003021010605,Janowice Wielkie,3393,1914,38,0,573,0,114,135,0,650,0,375,29,0
PL_1003021010606,Jeżów Sudecki,5752,3433,33,0,1095,0,195,304,0,1018,0,729,59,0
PL_1003021010607,Mysłakowice,7943,4563,56,0,1373,0,296,369,0,1634,0,756,79,0
PL_1003021010608,Podgórzyn,6504,3761,67,0,1246,0,232,298,0,1158,0,686,74,0
PL_1003021010609,Stara Kamienica,4158,2161,31,0,547,0,150,165,0,813,0,424,31,0
PL_1003021010701,Kamienna Góra,15141,8339,116,0,2823,0,409,319,0,3273,0,1281,118,0
PL_1003021010702,Kamienna Góra,6899,3899,70,0,1210,0,229,205,0,1701,0,420,64,0
PL_1003021010703,Lubawka,8728,4889,76,0,1523,0,252,243,0,1908,0,814,73,0
PL_1003021010704,Marciszów,3580,1831,31,0,461,0,98,114,0,811,0,267,49,0
PL_1003021030801,Duszniki-Zdrój,4089,2490,27,0,792,0,164,126,0,958,0,364,59,0
PL_1003021030802,Kłodzko,21449,12438,155,0,4318,0,633,797,0,4558,0,1742,235,0
PL_1003021030803,Kudowa-Zdrój,8660,5277,54,0,1661,0,254,383,0,2086,0,673,166,0
PL_1003021030804,Nowa Ruda,17742,9160,103,0,3557,0,464,430,0,3284,0,1045,277,0
PL_1003021030805,Polanica-Zdrój,6120,3826,46,0,1407,0,162,231,0,1395,0,481,104,0
PL_1003021030806,Bystrzyca Kłodzka,15253,8499,160,0,2183,0,395,724,0,4040,0,856,141,0
PL_1003021030807,Kłodzko,13526,7018,129,0,1446,0,369,1059,0,3376,0,530,109,0
PL_1003021030808,Lądek-Zdrój,7243,3975,66,0,1166,0,241,382,0,1627,0,436,57,0
PL_1003021030809,Lewin Kłodzki,1618,861,10,0,239,0,53,52,0,351,0,127,29,0
PL_1003021030810,Międzylesie,5814,3116,75,0,886,0,194,257,0,1319,0,334,51,0
PL_1003021030811,Nowa Ruda,9279,4791,85,0,1453,0,290,308,0,1992,0,542,121,0
PL_1003021030812,Radków,7242,3685,76,0,1056,0,233,246,0,1706,0,269,99,0
PL_1003021030813,Stronie Śląskie,5903,3195,49,0,940,0,274,274,0,1147,0,444,67,0
PL_1003021030814,Szczytna,5819,3067,42,0,871,0,238,259,0,1234,0,333,90,0
PL_1003021020901,Chojnów,10240,5674,59,0,1304,0,360,386,0,2494,0,857,214,0
PL_1003021020902,Chojnów,7502,4033,62,0,572,0,245,433,0,2198,0,409,114,0
PL_1003021020903,Krotoszyce,2581,1511,30,0,258,0,99,111,0,819,0,138,56,0
PL_1003021020904,Kunice,5244,3460,46,0,894,0,201,375,0,1360,0,479,105,0
PL_1003021020905,Legnickie Pole,3818,2340,41,0,418,0,124,234,0,1236,0,225,62,0
PL_1003021020906,Miłkowice,5191,3152,40,0,631,0,188,281,0,1480,0,398,134,0
PL_1003021020907,Prochowice,5849,3345,63,0,572,0,197,664,0,1489,0,266,94,0
PL_1003021020908,Ruja,2034,952,17,0,121,0,40,112,0,544,0,97,21,0
PL_1003021011001,Lubań,16625,9453,78,0,2782,0,563,543,0,3376,0,1860,251,0
PL_1003021011002,Świeradów-Zdrój,3660,2181,29,0,652,0,137,141,0,767,0,404,51,0
PL_1003021011003,Leśna,7858,4004,79,0,948,0,252,325,0,1672,0,638,90,0
PL_1003021011004,Lubań,5109,2672,34,0,559,0,140,338,0,1163,0,359,79,0
PL_1003021011005,Olszyna,5132,2616,53,0,477,0,179,228,0,1063,0,560,56,0
PL_1003021011006,Platerówka,1286,708,13,0,115,0,45,71,0,366,0,82,16,0
PL_1003021011007,Siekierczyn,3965,2125,45,0,445,0,122,200,0,908,0,339,66,0
PL_1003021021101,Lubin,55518,35209,278,0,7646,0,2013,1412,0,16453,0,5194,2213,0
PL_1003021021102,Lubin,12251,7811,95,0,1662,0,461,462,0,3661,0,1083,387,0
PL_1003021021103,Rudna,6087,3478,60,0,477,0,190,221,0,1970,0,388,172,0
PL_1003021021104,Ścinawa,7683,4339,70,0,554,0,262,227,0,2562,0,399,265,0
PL_1003021011201,Gryfów Śląski,7696,3955,72,0,798,0,207,357,0,1495,0,940,86,0
PL_1003021011202,Lubomierz,4812,2424,50,0,547,0,143,299,0,965,0,360,60,0
PL_1003021011203,Lwówek Śląski,13488,7257,131,0,1499,0,488,1318,0,2699,0,968,154,0
PL_1003021011204,Mirsk,6877,3354,63,0,658,0,225,355,0,1460,0,494,99,0
PL_1003021011205,Wleń,3445,1806,47,0,399,0,105,204,0,752,0,226,73,0
PL_1003021041301,Cieszków,3707,2103,32,0,271,0,126,331,0,1065,0,224,54,0
PL_1003021041302,Krośnice,6327,3402,53,0,504,0,193,484,0,1746,0,288,134,0
PL_1003021041303,Milicz,18986,10657,131,0,2128,0,569,1605,0,4560,0,1258,406,0
PL_1003021041401,Oleśnica,28770,18078,156,0,5365,0,1204,1054,0,6625,0,2683,991,0
PL_1003021041402,Bierutów,7841,4088,60,0,1089,0,267,303,0,1933,0,319,117,0
PL_1003021041403,Dobroszyce,5253,3044,34,0,679,0,204,243,0,1408,0,319,157,0
PL_1003021041404,Dziadowa Kłoda,3551,1796,39,0,343,0,124,271,0,787,0,170,62,0
PL_1003021041405,Międzybórz,3999,2029,39,0,547,0,142,229,0,772,0,215,85,0
PL_1003021041406,Oleśnica,10504,5854,91,0,1650,0,372,426,0,2504,0,569,242,0
PL_1003021041407,Syców,13015,7495,100,0,1782,0,571,1180,0,2678,0,967,217,0
PL_1003021041408,Twardogóra,10221,5773,102,0,1313,0,368,658,0,2486,0,578,268,0
PL_1003021041501,Oława,25236,16434,132,0,5157,0,1184,1041,0,6162,0,2186,572,0
PL_1003021041502,Domaniów,4152,2326,37,0,412,0,186,209,0,1198,0,209,75,0
PL_1003021041503,Jelcz-Laskowice,17797,11112,121,0,2842,0,725,726,0,5098,0,1171,429,0
PL_1003021041504,Oława,11833,7345,105,0,1760,0,505,542,0,3484,0,673,276,0
PL_1003021021601,Chocianów,9955,5866,98,0,1008,0,442,228,0,3396,0,478,216,0
PL_1003021021602,Gaworzyce,3026,1776,34,0,269,0,102,164,0,990,0,159,58,0
PL_1003021021603,Grębocice,4155,2243,45,0,334,0,129,184,0,1275,0,215,61,0
PL_1003021021604,Polkowice,20286,12174,177,0,2208,0,722,730,0,6154,0,1787,396,0
PL_1003021021605,Przemków,6616,3459,70,0,569,0,191,198,0,1911,0,417,103,0
PL_1003021021606,Radwanice,3721,2145,34,0,354,0,118,193,0,1132,0,248,66,0
PL_1003021041701,Borów,4295,2524,45,0,421,0,123,335,0,1372,0,170,58,0
PL_1003021041702,Kondratowice,3495,1837,46,0,450,0,84,148,0,978,0,98,33,0
PL_1003021041703,Przeworno,3904,2037,46,0,394,0,97,235,0,1091,0,126,48,0
PL_1003021041704,Strzelin,18045,10612,106,0,3437,0,622,1005,0,4241,0,951,250,0
PL_1003021041705,Wiązów,5748,3113,51,0,545,0,167,240,0,1839,0,204,67,0
PL_1003021041801,Kostomłoty,5647,3071,49,0,461,0,208,389,0,1576,0,331,57,0
PL_1003021041802,Malczyce,4631,2470,27,0,560,0,161,163,0,1245,0,215,99,0
