gisco_id,name,registered,turnout,invalid,blank,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
PL_1005261521101,Starachowice,35513,25141,435,0,594,3117,1954,9462,1524,7597,269,126,63,0,0,0
PL_1005261521102,Brody,8279,5588,112,0,128,654,316,2872,413,992,63,30,8,0,0,0
PL_1005261521103,Mirzec,6372,4623,124,0,99,596,209,2551,340,580,70,37,17,0,0,0
PL_1005261521104,Pawłów,11681,7800,166,0,220,815,303,4711,749,707,90,24,15,0,0,0
PL_1005261521105,Wąchock,5154,3654,104,0,77,601,172,1641,187,812,39,12,9,0,0,0
PL_1005261531201,Bogoria,5997,4068,180,0,105,480,152,2332,335,438,25,12,9,0,0,0
PL_1005261531202,Łubnice,3183,2121,64,0,50,260,88,1308,152,146,40,2,11,0,0,0
PL_1005261531203,Oleśnica,3048,1940,54,0,42,398,98,1011,130,182,19,2,4,0,0,0
PL_1005261531204,Osiek,5977,4187,102,0,70,324,119,2939,310,239,66,11,7,0,0,0
PL_1005261531205,Połaniec,8783,6419,120,0,145,789,331,3396,467,1030,102,28,11,0,0,0
PL_1005261531206,Rytwiany,4980,3391,71,0,103,408,173,1856,280,425,61,6,8,0,0,0
PL_1005261531207,Staszów,19617,13397,260,0,480,1637,796,6546,830,2607,167,42,32,0,0,0
PL_1005261531208,Szydłów,3601,2437,60,0,69,315,127,1395,201,233,21,12,4,0,0,0
PL_1005261531301,Kluczewsko,4079,2975,90,0,55,331,107,1918,178,253,29,6,8,0,0,0
PL_1005261531302,Krasocin,8175,5711,142,0,119,676,236,3353,454,639,64,9,19,0,0,0
PL_1005261531303,Moskorzew,2247,1547,36,0,12,218,90,921,79,120,13,56,2,0,0,0
PL_1005261531304,Radków,1985,1311,37,0,15,275,68,704,75,117,18,2,0,0,0,0
PL_1005261531305,Secemin,3774,2554,66,0,54,403,114,1407,161,313,14,13,9,0,0,0
PL_1005261531306,Włoszczowa,15058,10821,151,0,204,1873,720,5614,641,1460,102,44,12,0,0,0
PL_1005261526101,Kielce,144403,112884,1297,0,4350,14394,10368,36334,6691,37380,1650,237,183,0,0,0
PL_1004281560101,Bartoszyce,16443,11379,255,0,116,1232,877,3681,586,4523,83,0,26,0,0,0
PL_1004281560102,Górowo Iławeckie,2866,1849,53,0,14,154,115,574,94,805,38,0,2,0,0,0
PL_1004281560103,Bartoszyce,7885,4855,166,0,72,673,266,1957,331,1310,61,0,19,0,0,0
PL_1004281560104,Bisztynek,4551,2636,98,0,44,435,166,1038,197,623,25,0,10,0,0,0
PL_1004281560105,Górowo Iławeckie,6090,3551,251,0,61,391,200,1019,185,1324,107,0,13,0,0,0
PL_1004281560106,Sępopol,4433,2480,91,0,49,301,136,1151,130,598,15,0,9,0,0,0
PL_1004281540201,Braniewo,11844,8198,177,0,100,1256,702,2414,495,2907,126,0,21,0,0,0
PL_1004281540202,Braniewo,4415,2623,108,0,44,520,172,990,176,563,36,0,14,0,0,0
PL_1004281540203,Frombork,2749,1733,73,0,25,258,134,532,112,568,22,0,9,0,0,0
PL_1004281540204,Lelkowo,2016,1159,69,0,12,145,66,488,83,282,11,0,3,0,0,0
PL_1004281540205,Pieniężno,4512,2681,86,0,34,309,159,1180,174,696,34,0,9,0,0,0
PL_1004281540206,Płoskinia,1830,1108,47,0,14,175,69,447,71,252,28,0,5,0,0,0
PL_1004281540207,Wilczęta,2057,1198,59,0,16,176,73,458,93,310,10,0,3,0,0,0
PL_1004281540301,Działdowo,15520,10981,211,0,153,1413,941,3895,606,3627,104,0,31,0,0,0
PL_1004281540302,Działdowo,7243,4550,241,0,87,564,372,2055,337,826,51,0,17,0,0,0
PL_1004281540303,Iłowo-Osada,5234,3521,157,0,68,480,294,1513,277,692,30,0,10,0,0,0
PL_1004281540304,Lidzbark,10404,6813,204,0,106,1160,477,3047,448,1271,84,0,16,0,0,0
PL_1004281540305,Płośnica,4207,2715,104,0,47,435,196,1318,192,393,20,0,10,0,0,0
PL_1004281540306,Rybno,5359,3703,135,0,70,508,216,1767,292,674,27,0,14,0,0,0
PL_1004281540401,Elbląg,5815,3954,77,0,67,568,338,1227,250,1356,51,0,20,0,0,0
PL_1004281540402,Godkowo,2257,1284,59,0,17,163,61,649,68,251,12,0,4,0,0,0
PL_1004281540403,Gronowo Elbląskie,3635,2347,86,0,45,417,159,724,125,743,35,0,13,0,0,0
PL_1004281540404,Markusy,2998,1860,80,0,27,228,137,740,139,477,23,0,9,0,0,0
PL_1004281540405,Milejewo,2538,1740,76,0,32,274,122,586,131,501,14,0,4,0,0,0
PL_1004281540406,Młynary,3383,2199,93,0,32,375,157,731,175,603,22,0,11,0,0,0
PL_1004281540407,Pasłęk,14241,9317,253,0,124,1249,634,2962,536,3425,107,0,27,0,0,0
PL_1004281540408,Rychliki,2853,1644,62,0,23,244,90,672,100,433,11,0,9,0,0,0
PL_1004281540409,Tolkmicko,4732,3038,82,0,48,464,293,1039,198,871,34,0,9,0,0,0
PL_1004281550501,Ełk,42121,27792,470,0,485,3844,1935,9262,2257,9026,513,0,0,0,0,0
PL_1004281550502,Ełk,8845,5590,174,0,95,825,320,1996,506,1569,105,0,0,0,0,0
PL_1004281550503,Kalinowo,4897,2602,141,0,62,353,128,1261,196,422,39,0,0,0,0,0
PL_1004281550504,Prostki,5240,2831,117,0,63,351,126,1370,216,535,53,0,0,0,0,0
PL_1004281550505,Stare Juchy,2710,1575,73,0,36,254,61,622,126,391,12,0,0,0,0,0
PL_1004281550601,Giżycko,20330,14414,287,0,397,2039,996,3883,845,5780,187,0,0,0,0,0
PL_1004281550604,Giżycko,6981,4963,164,0,133,755,388,1436,314,1714,59,0,0,0,0,0
PL_1004281550605,Kruklanki,2379,1563,43,0,44,282,86,458,99,533,18,0,0,0,0,0
PL_1004281550606,Miłki,2869,1773,72,0,52,305,93,702,161,370,18,0,0,0,0,0
PL_1004281550608,Ryn,4252,2628,102,0,62,343,173,1003,185,718,42,0,0,0,0,0
PL_1004281550610,Wydminy,4656,2850,135,0,58,753,127,1072,179,491,35,0,0,0,0,0
PL_1004281540701,Iława,25330,18709,374,0,274,3190,1574,5731,1133,6215,170,0,48,0,0,0
PL_1004281540702,Lubawa,7333,5470,82,0,79,734,272,1899,426,1877,83,0,18,0,0,0
PL_1004281540703,Iława,9736,6474,195,0,125,1301,471,2327,525,1468,45,0,17,0,0,0
PL_1004281540704,Kisielice,4397,2754,125,0,20,1003,77,1046,136,326,13,0,8,0,0,0
PL_1004281540705,Lubawa,8024,5553,198,0,66,915,235,2549,683,809,84,0,14,0,0,0
PL_1004281540706,Susz,8926,5521,247,0,99,913,351,2153,430,1250,60,0,18,0,0,0
PL_1004281540707,Zalewo,5048,2927,115,0,38,382,222,1131,166,826,35,0,12,0,0,0
PL_1004281560801,Kętrzyn,19237,13177,273,0,197,1785,1083,4052,733,4884,170,0,0,0,0,0
PL_1004281560802,Barciany,4408,2376,117,0,53,358,127,994,178,523,26,0,0,0,0,0
PL_1004281560803,Kętrzyn,5867,3376,162,0,94,467,278,1193,269,871,42,0,0,0,0,0
PL_1004281560804,Korsze,7196,3924,152,0,94,517,272,1578,265,996,50,0,0,0,0,0
PL_1004281560805,Reszel,5567,3462,131,0,62,450,393,1125,204,1058,39,0,0,0,0,0
PL_1004281560806,Srokowo,2832,1653,67,0,27,232,136,586,110,467,28,0,0,0,0,0
PL_1004281560901,Lidzbark Warmiński,11078,7766,186,0,93,1057,510,2094,446,3283,82,0,15,0,0,0
PL_1004281560902,Kiwity,2468,1553,67,0,24,218,77,680,131,329,21,0,6,0,0,0
PL_1004281560903,Lidzbark Warmiński,4971,2986,119,0,38,414,208,1085,245,846,20,0,11,0,0,0
PL_1004281560904,Lubomino,2625,1488,56,0,23,204,107,573,113,384,16,0,12,0,0,0
PL_1004281560905,Orneta,8485,5255,189,0,180,591,380,1908,313,1608,69,0,17,0,0,0
PL_1004281561001,Mrągowo,15402,10882,182,0,154,1747,632,3188,686,4125,168,0,0,0,0,0
PL_1004281561002,Mikołajki,5974,3814,141,0,93,651,245,1216,192,1218,58,0,0,0,0,0
PL_1004281561003,Mrągowo,6115,4095,141,0,97,719,188,1235,318,1338,59,0,0,0,0,0
PL_1004281561004,Piecki,5711,3579,122,0,122,528,184,1311,264,853,195,0,0,0,0,0
PL_1004281561005,Sorkwity,3411,2168,96,0,57,424,121,722,152,567,29,0,0,0,0,0
PL_1004281561101,Janowiec Kościelny,2386,1535,96,0,23,230,68,786,138,183,11,0,0,0,0,0
PL_1004281561102,Janowo,1958,1257,55,0,34,153,59,635,100,207,14,0,0,0,0,0
PL_1004281561103,Kozłowo,4303,2460,147,0,65,252,145,1181,218,422,30,0,0,0,0,0
PL_1004281561104,Nidzica,15351,10384,278,0,177,1338,738,3940,636,3109,168,0,0,0,0,0
PL_1004281541201,Nowe Miasto Lubawskie,7680,5410,120,0,60,1076,330,1712,411,1609,79,0,13,0,0,0
PL_1004281541202,Biskupiec,6922,4429,164,0,47,1395,191,1861,236,491,37,0,7,0,0,0
PL_1004281541203,Grodziczno,4628,3224,106,0,66,582,127,1699,267,331,34,0,12,0,0,0
PL_1004281541204,Kurzętnik,6797,4732,153,0,59,1001,219,2161,435,631,54,0,19,0,0,0
PL_1004281541205,Nowe Miasto Lubawskie,6163,4178,117,0,69,981,202,1727,368,658,42,0,14,0,0,0
PL_1004281551303,Kowale Oleckie,3559,1837,96,0,54,302,89,696,161,409,30,0,0,0,0,0
PL_1004281551304,Olecko,15290,9955,245,0,185,1500,480,3501,713,3158,173,0,0,0,0,0
PL_1004281551305,Świętajno,2756,1523,38,0,38,222,82,640,97,383,23,0,0,0,0,0
PL_1004281551306,Wieliczki,2390,1421,64,0,27,156,72,667,163,248,24,0,0,0,0,0
PL_1004281561401,Barczewo,13855,9525,281,0,201,1546,857,2632,581,3272,155,0,0,0,0,0
PL_1004281561402,Biskupiec,13790,8805,291,0,118,2300,553,2705,541,2177,120,0,0,0,0,0
PL_1004281561403,Dobre Miasto,11560,7596,251,0,131,975,578,2550,593,2439,79,0,0,0,0,0
PL_1004281561404,Dywity,10034,7723,147,0,146,1265,720,1769,558,3009,109,0,0,0,0,0
PL_1004281561405,Gietrzwałd,5256,3861,83,0,78,628,318,928,327,1433,66,0,0,0,0,0
PL_1004281561406,Jeziorany,5658,3319,158,0,105,681,239,1205,225,670,36,0,0,0,0,0
PL_1004281561407,Jonkowo,5818,4200,99,0,46,724,447,999,306,1519,60,0,0,0,0,0
PL_1004281561408,Kolno,2295,1290,86,0,30,259,109,494,76,222,14,0,0,0,0,0
PL_1004281561409,Olsztynek,10209,6769,263,0,107,825,492,2221,456,2316,89,0,0,0,0,0
PL_1004281561410,Purda,6783,4646,149,0,77,767,396,1259,319,1602,77,0,0,0,0,0
PL_1004281561411,Stawiguda,9791,8167,109,0,148,1595,701,1429,649,3420,116,0,0,0,0,0
PL_1004281561412,Świątki,2908,1677,65,0,37,259,145,620,112,412,27,0,0,0,0,0
PL_1004281541501,Ostróda,23681,17134,353,0,214,2472,1718,4542,972,6662,153,0,48,0,0,0
PL_1004281541502,Dąbrówno,3105,1932,114,0,27,235,174,856,148,342,25,0,11,0,0,0
PL_1004281541503,Grunwald,4016,2406,99,0,51,377,205,1000,174,466,20,0,14,0,0,0
PL_1004281541504,Łukta,3461,2224,113,0,36,440,179,623,165,638,20,0,10,0,0,0
PL_1004281541505,Małdyty,4528,2627,106,0,41,409,265,929,144,702,24,0,7,0,0,0
PL_1004281541506,Miłakowo,3991,2316,91,0,22,325,162,919,141,627,27,0,2,0,0,0
PL_1004281541507,Miłomłyn,3813,2496,107,0,40,334,173,760,149,912,14,0,7,0,0,0
PL_1004281541508,Morąg,17712,11800,335,0,156,1760,732,3812,671,4176,130,0,28,0,0,0
PL_1004281541509,Ostróda,12061,8101,331,0,111,1276,840,2520,680,2220,102,0,21,0,0,0
PL_1004281551601,Biała Piska,8171,4673,225,0,258,632,190,2234,273,805,56,0,0,0,0,0
PL_1004281551602,Orzysz,6677,4249,126,0,91,612,236,1767,339,1039,39,0,0,0,0,0
PL_1004281551603,Pisz,19849,12783,269,0,231,1760,554,5721,816,3258,174,0,0,0,0,0
PL_1004281551604,Ruciane-Nida,6137,4077,127,0,73,615,212,1574,250,1176,50,0,0,0,0,0
PL_1004281561701,Szczytno,17197,12300,283,0,159,1746,1241,4038,777,3861,195,0,0,0,0,0
PL_1004281561702,Dźwierzuty,4930,2899,152,0,50,725,164,1102,164,492,50,0,0,0,0,0
PL_1004281561703,Jedwabno,2992,1927,76,0,36,415,116,685,102,487,10,0,0,0,0,0
PL_1004281561704,Pasym,4206,2792,93,0,54,498,182,969,192,774,30,0,0,0,0,0
PL_1004281561705,Rozogi,4189,2476,110,0,46,445,89,1232,189,294,71,0,0,0,0,0
PL_1004281561706,Szczytno,9983,6899,264,0,123,1402,477,2276,490,1751,116,0,0,0,0,0
PL_1004281561707,Świętajno,4536,3011,146,0,40,589,138,1195,228,640,35,0,0,0,0,0
PL_1004281561708,Wielbark,4796,2837,131,0,49,668,135,1176,209,439,30,0,0,0,0,0
