gisco_id,name,registered,turnout,invalid,blank,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Tautos prisikėlimo partija,Partija Tvarka ir teisingumas,Lietuvos socialdemokratų partija,Koalicija Darbo partija + jaunimas,Lietuvos Respublikos liberalų sąjūdis,Liberalų ir centro sąjunga,Lietuvos lenkų rinkimų akcija,Lietuvos valstiečių liaudininkų sąjunga,Naujoji sąjunga (socialliberalai),"""Fronto"" partija","Partija ""Jaunoji Lietuva""",Pilietinės demokratijos partija,Lietuvos rusų sąjunga,Lietuvos socialdemokratų sąjunga,Lietuvos centro partija
LT_1300,Vilniaus,507578,254422,10828,0,51383,18425,28772,18677,12668,15870,24828,40695,4039,5108,10076,2741,2077,5344,1385,1495
LT_LTZZIE,Ireland,1511,1167,35,0,199,307,93,63,80,167,62,3,48,47,11,21,14,8,3,6
LT_LTZZAR,Argentina,276,149,3,0,50,2,1,48,2,7,14,1,6,3,4,1,2,1,2,2
LT_LTZZAM,Armenia,10,10,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
LT_LTZZAT,Austria,116,99,4,0,47,3,4,15,0,8,9,0,1,4,2,0,1,0,0,1
LT_LTZZAZ,Azerbaijan,20,15,1,0,4,1,1,5,0,1,1,0,0,0,0,0,0,1,0,0
LT_LTZZBE,Belgium,761,651,11,0,325,23,9,72,6,100,43,1,12,23,6,3,2,4,5,6
LT_LTZZBR,Brazil,346,80,4,0,43,0,2,13,1,11,1,0,1,1,0,0,2,0,0,1
LT_LTZZBG,Bulgaria,18,14,0,0,3,1,0,0,0,1,2,2,2,2,0,0,0,0,0,1
LT_LTZZCZ,Czech Republic,87,64,2,0,29,5,7,4,2,3,5,0,1,1,0,2,0,1,0,2
LT_LTZZDK,Denmark,309,249,5,0,104,32,4,14,2,32,31,1,1,7,8,4,0,0,4,0
LT_LTZZEG,Egypt,19,14,0,0,2,2,0,1,1,4,2,1,0,1,0,0,0,0,0,0
LT_LTZZEE,Estonia,263,203,22,0,32,9,23,20,15,12,8,2,16,12,1,0,5,17,1,8
LT_LTZZGR,Greece,68,34,0,0,13,3,3,4,0,1,2,0,2,4,1,0,0,0,1,0
LT_LTZZGE,Georgia,90,76,3,0,24,8,6,6,2,5,15,4,0,1,1,1,0,0,0,0
LT_LTZZIT,Italy,195,160,5,0,95,7,7,5,0,18,11,0,5,6,1,0,0,0,0,0
LT_LTZZIL,Israel,163,87,0,0,19,4,11,23,2,13,1,1,1,5,0,1,0,1,3,2
LT_LTZZJP,Japan,93,68,3,0,34,2,1,4,1,2,14,0,0,0,2,0,1,0,0,4
LT_LTZZKZ,Kazakhstan,93,41,4,0,8,1,3,10,2,4,1,1,1,4,0,0,0,2,0,0
LT_LTZZCO,Kolumbijos Respublikai,115,63,3,0,11,1,2,8,0,8,1,0,19,0,5,2,2,0,0,1
LT_LTZZCN,China,40,33,0,0,14,3,1,3,0,5,2,1,0,1,2,0,0,0,0,1
LT_LTZZLV,Latvia,507,349,25,0,61,20,62,38,20,10,10,2,39,16,5,6,5,19,6,5
LT_LTZZMD,Moldova,57,36,0,0,5,1,4,4,3,4,4,0,6,1,0,0,0,3,1,0
LT_LTZZNL,Netherlands,190,92,1,0,37,4,3,5,1,22,13,1,2,0,1,0,0,1,1,0
LT_LTZZNO,Norway,260,213,3,0,83,40,12,16,5,13,14,0,1,6,2,4,1,0,8,5
LT_LTZZPT,Portugal,235,67,1,0,24,1,4,8,1,8,15,0,1,0,1,2,0,0,0,1
LT_LTZZFR,France,259,185,4,0,81,15,3,15,5,25,16,1,4,2,1,2,2,1,4,4
LT_LTZZRO,Romania,13,13,0,0,6,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0
LT_LTZZSI,Slovenia,11,11,0,0,5,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0
LT_LTZZFI,Finland,102,95,1,0,34,6,3,12,1,9,13,1,3,5,1,1,0,0,4,1
LT_LTZZSE,Sweden,297,250,5,0,93,21,3,35,8,28,23,0,3,9,5,3,1,0,2,11
LT_LTZZCH,Switzerland,126,106,5,0,54,4,1,8,0,16,6,2,2,3,1,2,0,0,0,2
LT_LTZZTR,Turkey,30,20,0,0,6,0,3,4,0,0,3,0,3,0,0,0,0,0,1,0
LT_LTZZUA,Ukraine,235,147,12,0,29,8,4,22,3,16,13,2,15,7,4,2,2,2,3,3
LT_LTZZUY,Urugvajaus,15,15,1,0,2,0,0,5,0,5,0,0,2,0,0,0,0,0,0,0
LT_LTZZHU,Hungary,63,52,4,0,19,3,0,9,1,4,9,1,0,2,0,0,0,0,0,0
LT_LTZZIN,India,6,6,0,0,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0
LT_LTZZAU,Australia,484,88,6,0,70,2,2,2,0,3,2,0,0,0,0,0,0,0,0,1
LT_LTZZBY,Belarus,543,303,19,0,14,5,69,40,27,7,14,19,19,21,8,0,4,35,2,0
LT_LTZZES,Spain,185,131,3,0,32,7,7,5,6,29,12,0,6,11,4,2,0,7,0,0
LT_LTZZUS,United States,1711,1301,32,0,829,39,40,69,2,118,69,4,12,37,6,10,8,1,16,9
LT_LTZZGB,United Kingdom,3561,1886,76,0,517,388,123,118,87,169,160,3,56,73,31,34,10,9,14,18
LT_LTZZCA,Canada,386,157,5,0,127,4,6,2,1,2,5,0,0,4,0,0,0,0,1,0
LT_LTZZPL,Poland,486,237,5,0,105,16,11,16,0,8,9,42,10,6,0,4,1,0,2,2
LT_LTZZRU,Russia,1307,822,35,0,135,33,169,93,46,36,33,9,86,30,25,8,13,58,3,10
LT_LTZZDE,Germany,587,486,31,0,199,30,24,52,3,46,35,0,13,22,8,1,7,4,9,2
LT_1900,Kauno,348762,173281,9727,0,46667,29411,13664,16180,11073,12903,7570,213,3699,6565,5046,5834,1505,882,1179,1166
LT_2100,Klaipėdos miesto savivaldybė,186091,81532,4512,0,13814,12894,12941,5203,5220,10632,2630,3326,1891,1432,2111,1050,741,2091,413,631
LT_2500,Palangos miesto savivaldybė,14456,7237,445,0,1616,1157,826,512,399,468,665,10,219,246,312,138,100,34,25,65
LT_2399,Neringa,1824,950,66,0,155,126,92,108,48,103,137,1,23,49,17,10,3,3,1,8
LT_2900,Šiaulių miesto savivaldybė,136860,66100,4217,0,9559,11544,8272,8771,5805,3074,2013,64,3098,3393,2388,1257,677,329,860,779
LT_2700,Panevėžio miesto savivaldybė,124444,63264,3232,0,13766,13181,5831,6436,4738,4393,1408,74,2862,1724,2803,1104,753,190,340,429
LT_0566,Panevėžio,993,472,22,0,86,106,101,38,32,11,2,0,41,3,10,11,2,2,1,4
LT_1847,Marijampolės,55393,24777,1319,0,4347,5520,2920,3878,2010,1016,625,13,483,850,502,339,191,44,618,102
LT_1100,Alytaus miesto savivaldybė,81861,37288,2327,0,6453,8222,3592,4151,3054,1675,1331,24,1041,2854,948,659,398,65,260,234
LT_6360,Pagėgių seniūnija,9191,4725,403,0,394,435,2064,356,427,112,68,11,194,102,65,28,35,6,17,8
LT_8801,Šilutės,42496,18942,1401,0,2864,3129,2786,2471,1052,1145,1374,13,873,806,315,236,146,48,146,137
LT_0787,Šilalės,23702,11377,897,0,1903,1274,930,3666,594,137,354,6,400,306,156,109,420,16,139,70
LT_7794,Tauragės,40988,18596,1171,0,3359,3037,2078,2366,1604,526,1466,20,754,1209,289,287,176,23,146,85
LT_7475,Rietavo seniūnija,7976,4063,270,0,722,507,427,892,480,87,147,2,135,141,77,45,31,7,62,31
LT_0868,Plungės,33805,16298,986,0,3051,2655,2463,2399,1420,613,764,10,462,241,459,228,128,33,315,71
LT_5651,Kretingos seniūnija,37964,17911,1127,0,1932,1634,1320,762,607,354,277,8,303,248,263,107,176,17,45,27
LT_7579,Skuodo seniūnija,19569,8976,613,0,387,390,427,209,177,61,12,7,68,100,43,38,17,8,9,4
LT_6111,Mažeikių seniūnija,51317,23969,1374,0,2591,4658,4489,2629,2185,833,365,22,882,541,553,453,280,90,553,171
LT_3260,Naujosios Akmenės miesto seniūnija,8574,4402,296,0,484,686,846,642,723,114,186,4,56,122,78,66,31,22,33,13
LT_4760,Joniškio seniūnija,24508,11462,723,0,1321,1736,1776,2007,1485,481,137,10,605,327,387,166,69,16,111,105
LT_3204,Akmenės,11575,5510,372,0,599,879,963,590,877,76,182,5,285,330,130,72,42,11,67,30
LT_0252,Kauno,608,275,11,0,16,39,67,44,37,5,12,0,24,5,6,3,4,0,1,1
LT_7810,Telšių miesto seniūnija,42390,20443,1073,0,2684,2867,6194,1878,2539,503,420,5,561,449,489,272,216,29,161,103
LT_5401,Kelmės,30538,14141,896,0,2117,2015,1917,2109,1826,346,1167,10,564,315,377,204,78,20,111,69
LT_7284,Raseinių seniūnija,33940,19973,1294,0,2552,1878,4574,3274,1543,442,209,20,725,2484,309,195,115,20,256,83
LT_0253,Kėdainių,50563,26448,1535,0,3327,2963,1297,1968,10027,760,743,35,434,552,515,409,1499,84,133,167
LT_7135,Radviliškio seniūnija,38559,17775,1174,0,2775,2559,2180,2301,2987,597,284,19,922,857,358,311,153,47,167,84
LT_4699,Jonavos,39890,17234,894,0,2451,2453,2108,2282,2420,589,987,36,1431,411,378,288,144,136,148,78
LT_6546,Pakruojo seniūnija,22464,10611,556,0,1154,1559,1453,2597,1167,220,146,14,438,423,467,161,68,23,121,44
LT_6749,Pasvalio apylinkių seniūnija,27231,14084,807,0,4815,3022,803,1756,861,229,156,11,501,451,259,163,108,8,80,54
LT_0536,Biržų,27134,13552,1048,0,2335,1885,1968,1635,1043,315,514,19,1511,313,428,204,124,19,126,65
LT_5719,Kupiškio seniūnija,19012,8794,535,0,1774,1323,923,884,1050,255,376,8,711,255,325,160,76,14,60,65
LT_0934,Alnykščių,27350,13663,841,0,2813,1745,1342,1413,1725,426,692,21,1179,410,499,246,118,32,69,92
LT_0573,Rokiškio,32544,16288,911,0,2920,2364,2147,2707,1808,356,567,12,953,506,420,229,110,39,151,88
LT_8274,Utenos seniūnija,39600,20427,1059,0,5094,3287,2188,3274,1469,938,445,16,571,633,575,325,298,41,95,119
LT_3000,Visagino savivaldybė,19667,8200,360,0,162,264,2995,378,811,55,1279,122,445,212,677,36,20,286,26,72
LT_4330,Zarasų seniūnija,18769,9578,573,0,1196,973,1458,1737,1637,156,261,84,274,275,555,88,56,121,87,47
LT_4525,Ignalinos seniūnija,18448,9894,524,0,1191,983,1491,1518,1048,403,204,73,1585,266,272,108,60,71,56,41
LT_8682,Švenčionių seniūnija,24978,12609,664,0,957,930,1505,1086,1276,187,717,1227,1385,1641,605,93,65,176,46,49
LT_6299,Molėtai,19354,9147,485,0,2311,1240,554,968,1171,197,296,28,970,242,283,155,126,24,62,35
LT_8982,Širvintų seniūnija,16016,8075,485,0,958,1100,974,809,1732,223,191,302,349,365,205,135,69,10,93,74
LT_8575,Šalčininkų seniūnija,29315,15108,849,0,278,236,979,570,1081,194,502,9393,359,139,235,40,40,123,62,28
LT_7994,Trakų seniūnija,29627,14877,931,0,1454,2364,1232,969,1533,274,1576,2524,235,702,530,136,89,145,103,79
LT_4215,Elektrėnų seniūnija,22163,9649,529,0,1414,1586,1024,1100,1131,352,689,153,220,517,460,161,81,95,75,58
LT_4917,Kaišiadorių miesto seniūnija,13515,6473,370,0,1088,1124,416,1430,389,518,254,8,82,272,234,87,65,12,89,35
LT_4921,Kaišiadorių apylinkės seniūnija,14723,6718,347,0,828,1273,522,1490,586,312,222,24,162,358,222,120,72,34,104,42
LT_4909,Žąslių seniūnija,811,326,21,0,45,54,27,70,21,23,15,4,12,7,11,7,1,2,6,0
LT_1081,Ukmergės,36037,17804,1111,0,3284,2656,2256,1661,2344,473,1012,30,1008,832,419,316,125,56,132,89
LT_9499,Jurbarkas,27595,12671,804,0,2250,2029,1457,2197,907,429,811,16,372,281,236,240,390,17,160,75
LT_0794,Jurbarko,919,436,13,0,86,58,59,110,35,9,17,0,7,9,11,10,8,0,3,1
LT_4834,Kalvarijos seniūnija,10437,4685,292,0,996,802,448,613,594,143,73,5,187,271,68,71,61,5,37,19
LT_5899,Kazlų Rūda,11107,5264,381,0,790,1009,572,455,536,197,571,6,93,257,104,143,42,9,51,48
LT_8483,Šakių seniūnija,29913,14272,935,0,3177,2473,1123,1855,841,372,719,11,1473,380,381,191,147,26,106,62
LT_0439,Vilkaviškio,38554,17256,1090,0,2352,3167,1696,5080,1056,661,291,15,326,323,371,291,144,29,222,142
LT_6901,Prienų seniūnija,26862,13371,911,0,2119,2169,2136,2350,846,412,675,14,408,430,290,210,103,21,203,74
LT_1299,Birštono,4369,2414,195,0,388,393,251,586,110,110,111,0,39,52,85,24,23,1,33,13
LT_3808,Varėnos seniūnija,24162,11731,837,0,1458,1123,806,1080,932,2172,459,211,653,740,220,161,240,35,76,528
LT_5940,Lazdijų seniūnija,18649,9100,530,0,1971,1109,690,1338,849,237,512,14,1105,322,118,95,73,21,88,28
LT_1599,Druskininkai,19956,9707,597,0,1817,1521,1077,1900,668,483,333,81,207,239,351,147,112,36,83,55
