gisco_id,name,registered,turnout,invalid,blank,Darbo partija,Lietuvos socialdemokratų partija,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Lietuvos Respublikos liberalų sąjūdis,„Drąsos kelias“ politinė partija,Partija Tvarka ir teisingumas,Lietuvos lenkų rinkimų akcija,Lietuvos valstiečių ir žaliųjų sąjunga,Liberalų ir centro sąjunga,Politinė partija „Sąjunga Taip“,Socialistinis liaudies Frontas,Krikščionių partija,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Partija „Jaunoji Lietuva“,Demokratinė darbo ir vienybės partija,Emigrantų partija,Respublikonų partija,Lietuvos žmonių partija
LT_LTZZES,Spain,385,257,3,0,10,25,66,48,36,12,0,16,5,10,4,3,1,0,4,13,0,1
LT_LTZZUS,United States,1937,1528,34,0,27,100,626,179,336,30,9,19,30,36,5,11,29,8,2,35,8,4
LT_LTZZGB,United Kingdom,4195,3189,46,0,208,204,900,556,756,80,17,78,45,90,15,22,64,23,8,63,8,6
LT_LTZZCA,Canada,220,170,5,0,1,6,103,15,18,2,0,2,0,8,0,0,4,0,0,5,1,0
LT_LTZZPL,Poland,436,206,5,0,4,11,63,28,3,9,57,0,2,10,0,4,7,1,0,1,0,1
LT_LTZZRU,Russia,1038,751,29,0,130,137,110,70,19,99,13,10,13,20,27,7,7,6,25,15,5,9
LT_LTZZDE,Germany,806,625,14,0,21,58,213,116,87,12,4,28,11,18,0,8,12,1,2,19,1,0
LT_1900,Kauno,332752,183107,8385,0,29573,27236,36946,18597,30587,8246,676,5250,2877,3763,1353,2170,1663,2885,549,848,470,1033
LT_2100,Klaipėdos miesto savivaldybė,179455,83305,4187,0,13934,10781,11340,14157,6581,8574,5465,1533,2063,531,1024,1021,863,471,232,229,141,178
LT_2500,Palangos miesto savivaldybė,14058,7580,366,0,1169,1224,1521,900,842,612,37,141,331,74,74,70,112,40,15,23,12,17
LT_2300,Neringos savivaldybė,2042,1093,82,0,100,293,135,163,81,66,3,16,58,33,10,12,13,8,7,3,3,7
