gisco_id,name,registered,turnout,invalid,blank,open vld,VLAAMS BELANG,CD&V NVA,GROEN!,sp.a-spirit,Lijst Dedecker,PVDA+,CAP,NP-FN,MR,ECOLO,PS,CDH,FN,CDF,R.W.F.,BELG.UNIE-BUB,PC,PTB+PVDA+,VÉLORUTION,FDB,FN B,PJM,TREFLE,WALLON,Parti Wallon,FORCE NATIONALE,VIVANT,PTB+,DLC,UNIE,MP Education,UMP-B,PLURALIS,GSCD,Belgique Positif,vital
BE_KAE001,AE Anvers,2127,1685,97,0,552,283,251,228,193,40,28,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE003,AE Bruxelles-Hal-Vilvorde,25328,18143,1712,0,1119,549,654,616,285,90,0,32,0,4884,2688,2685,1524,333,262,212,147,108,64,59,43,42,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE006,AE Hainaut,1380,1223,117,0,0,0,0,0,0,0,0,10,0,286,215,345,127,24,7,9,0,13,0,0,0,1,0,0,31,15,8,8,4,3,0,0,0,0,0,0,0
BE_KAE009,AE Louvain,374,311,39,0,67,20,80,44,47,4,4,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE007,AE Liège,1678,1458,151,0,0,0,0,0,0,0,0,3,0,447,260,254,169,39,25,12,0,20,0,0,0,5,0,0,26,0,22,5,8,0,0,11,1,0,0,0,0
BE_KAE008,AE Limbourg,456,367,31,0,90,48,81,49,43,12,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BE_KAE010,AE Luxembourg,509,443,37,0,0,0,0,0,0,0,0,0,0,140,97,75,64,10,3,5,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
BE_KAE011,AE Namur,695,585,42,0,0,0,0,0,0,0,0,0,0,180,126,107,74,13,10,4,4,0,0,0,0,3,0,0,18,0,2,0,2,0,0,0,0,0,0,0,0
BE_KAE005,AE Flandre Orientale,1077,880,27,0,262,133,170,135,112,22,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE002,AE Brabant Wallon,1039,862,71,0,0,14,0,0,0,0,0,0,0,368,169,92,80,14,16,13,4,8,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,4,2,0
BE_KAE004,AE Flandre occidentale,898,769,28,0,169,116,238,100,74,31,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00002,Alost,91281,84740,3490,0,18618,19553,19934,4042,12432,5711,630,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00001,Aarschot,38550,35993,1688,0,7699,6339,9430,2096,5677,2571,245,142,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00003,Andenne,25817,23422,1479,0,0,0,0,0,0,0,0,0,0,6195,3117,8235,2482,972,78,253,47,0,0,0,0,231,0,0,125,0,88,0,120,0,0,0,0,0,0,0,0
BE_K00004,Anderlecht,68196,57821,2870,0,1564,3226,1502,514,1380,283,0,127,0,15132,5529,13359,7450,2541,282,211,178,220,241,108,61,157,813,73,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00005,Antoing,14934,13691,1342,0,0,0,0,0,0,0,0,24,0,3192,1302,5010,1584,642,33,118,0,212,0,0,0,27,0,0,46,45,35,42,25,3,9,0,0,0,0,0,0
BE_K00006,Anvers,334409,296995,9873,0,42361,81629,49397,25002,67623,12090,7308,1219,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00007,Arendonk,31325,29481,1710,0,3254,4972,13554,1206,3152,1278,210,104,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00008,Arlon,27465,24411,1838,0,0,0,0,0,0,0,0,0,0,5853,3236,3956,7904,811,131,267,0,149,0,0,0,202,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0
BE_K00009,Asse,103897,95996,3516,0,20086,17333,26635,4384,8100,3802,0,159,0,4886,1371,2542,1497,638,238,76,193,115,161,56,97,43,31,37,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00010,Assenede,20101,18917,877,0,4014,2956,4377,894,3196,1222,1313,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00011,Ath,20787,19067,1273,0,0,0,0,0,0,0,0,47,0,4794,1760,7444,2055,885,46,278,0,201,0,0,0,41,0,0,47,40,41,44,52,7,12,0,0,0,0,0,0
BE_K00012,Aubel,8817,9083,746,0,0,0,0,0,0,0,0,10,0,2811,915,2070,1923,329,34,32,0,72,0,0,0,30,0,0,19,0,28,30,21,0,0,7,6,0,0,0,0
BE_K00014,Avelgem,9044,8619,601,0,1489,916,2901,401,1524,642,68,31,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BE_K00015,Aywaille,32067,28792,1076,0,0,0,0,0,0,0,0,50,0,10852,4316,6875,3670,939,107,223,0,125,0,0,0,52,0,0,146,0,35,90,122,0,0,26,88,0,0,0,0
BE_K00016,Bassenge,29944,26788,1214,0,0,0,0,0,0,0,0,54,0,7240,2804,8461,4756,1238,99,165,0,80,0,0,0,64,0,0,153,0,36,89,254,0,0,33,48,0,0,0,0
