gisco_id,name,registered,turnout,invalid,blank,N-VA,VLAAMS BELANG,open vld,SP.A,CD&V,GROEN,PVDA,DierAnimal,de coöperatie,B.U.B,BUB Belgische Unie,PRO,DéFI,Piratenpartij,Volt,D-SA,PV&S,PS,PTB,MR,CDH,ECOLO,Parti Populaire,COLLECTIF CITOYEN,LISTES DESTEXHE,AGIR,LA DROITE,Lutte Ouvrière,NATION,PCB,LES BELGES D'ABORD,WALLONIE INSOUMISE,PTB*PVDA,Turquoise
BE_25107,Villers-la-Ville,0,7248,355,0,0,36,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,887,528,2862,423,1341,136,73,150,0,40,0,0,0,0,64,0,12
BE_61068,Villers-le-Bouillet,0,4316,307,0,0,24,0,0,0,0,0,58,0,0,0,0,178,0,0,0,0,1059,655,795,214,650,134,55,64,0,23,0,11,0,64,25,0,0
BE_23088,Vilvoorde / Vilvorde,0,24782,1611,0,4451,2733,3134,4327,1796,2750,2269,0,0,0,264,134,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_93090,Viroinval,0,3911,330,0,0,29,0,0,0,0,0,40,0,0,0,0,84,0,0,0,0,1370,500,408,564,290,118,33,28,17,31,0,69,0,0,0,0,0
BE_85045,Virton,0,7293,788,0,0,42,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,1387,690,1126,1360,1430,170,0,45,0,53,0,43,0,0,0,0,0
BE_62108,Visé / Wezet,0,11138,781,0,0,43,0,0,0,0,0,135,0,0,0,0,319,0,0,0,0,2663,1893,2447,802,1170,357,95,184,0,48,0,30,0,146,25,0,0
BE_33041,Vleteren,0,2602,171,0,472,614,383,245,507,130,58,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13044,Vorselaar,0,5756,258,0,1514,1367,448,465,783,432,359,66,0,0,0,0,0,49,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13046,Vosselaar,0,7880,248,0,2410,1650,631,507,1346,624,353,66,0,0,0,0,0,33,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_91143,Vresse-sur-Semois,0,1760,135,0,0,29,0,0,0,0,0,18,0,0,0,0,62,0,0,0,0,303,111,659,191,169,30,6,22,10,10,0,5,0,0,0,0,0
