gisco_id,name,registered,turnout,invalid,blank,VLD,sp.a-spirit,CD&V,VLAAMS BLOK,N-VA,AGALEV,VIVANT,LIB. APPEL,Maria,BELG.UNIE-BUB,UFE,RESIST,MR,ECOLO,PS,CDH,CDF,FN,RWF RBF,VIVANT.,PC,VIVANT..,PCP,NATION,RDS-PC,FNB,NOOR,veilig blauw,PH-HP,PVDA,omnium,vital,LSP,BUB-BEB,Vlaams BlokF,FRANCE,PTB,DL,MS,PC-RDS,MDT,PDA,PPR,CHOPE
BE_K00001,Aarschot,37649,35442,1890,0,9838,7189,6941,5755,1229,1203,653,436,197,73,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE001,AE Anvers,2106,1839,137,0,571,214,211,347,55,177,19,69,0,19,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE002,AE Brabant Wallon,976,848,85,0,0,0,0,0,0,0,0,0,0,13,0,0,395,103,95,74,30,24,16,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE003,AE Bruxelles-Hal-Vilvorde,6119,5222,604,0,294,88,154,170,63,79,0,125,44,77,0,0,1252,764,671,354,171,71,49,0,0,57,35,26,24,20,16,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE004,AE Flandre occidentale,959,891,74,0,214,92,231,147,40,48,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE005,AE Flandre Orientale,1038,918,80,0,290,87,170,126,34,90,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,4,0,0,0,0,0,0,0,0,0,0
BE_KAE006,AE Hainaut,1294,1191,184,0,0,0,0,0,0,0,0,0,0,0,0,0,265,179,301,109,40,24,22,18,9,0,0,5,0,1,0,0,0,0,0,0,0,0,10,9,8,6,1,0,0,0,0,0
BE_KAE007,AE Liège,1671,1471,160,0,0,0,0,0,0,0,0,0,0,0,0,0,509,240,255,157,35,32,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,6,6,2,2,0,0
BE_KAE008,AE Limbourg,411,390,72,0,86,74,67,30,20,22,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE009,AE Louvain,416,390,33,0,99,28,108,37,35,35,7,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE010,AE Luxembourg,505,421,37,0,0,0,0,0,0,0,0,0,0,0,0,0,133,73,72,66,17,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
BE_KAE011,AE Namur,607,530,104,0,0,0,0,0,0,0,0,0,0,3,0,0,143,82,82,48,29,19,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,1
BE_K00002,Alost,90856,85035,3836,0,25665,16986,13906,16223,4071,2509,905,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,302,137,0,0,0,0,0,0,0,0,0,0
BE_K00003,Andenne,24712,22620,1637,0,0,0,0,0,0,0,0,0,0,53,0,0,4916,1654,9795,2562,269,967,146,239,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,62,0,61,0,0,0,0,162
BE_K00004,Anderlecht,66346,57132,2231,0,2170,2112,1427,5304,331,409,0,204,282,195,0,0,14433,3730,14317,3981,442,2960,226,0,0,456,1110,187,210,177,145,50,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00005,Antoing,14726,13491,1602,0,0,0,0,0,0,0,0,0,0,0,0,0,2512,847,5781,1441,117,572,141,148,84,0,0,64,0,32,0,0,0,0,0,0,0,0,71,40,24,6,9,0,0,0,0,0
BE_K00006,Anvers,336068,302962,8288,0,57195,73317,31236,89761,10268,15508,4890,4831,0,820,0,6848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00007,Arendonk,30695,29094,1279,0,5305,5400,8896,4503,2365,888,240,117,0,51,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00008,Arlon,26867,23728,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,5795,2194,5411,6496,382,777,236,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,68,0
BE_K00009,Asse,102081,95042,3021,0,25863,14312,18433,15193,5192,2387,0,242,361,129,0,0,4121,675,2361,770,268,447,49,0,0,795,100,43,67,52,53,85,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00010,Assenede,19854,18683,838,0,5043,5002,3220,2686,442,536,133,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,55,30,0,0,0,0,0,0,0,0,0,0
BE_K00011,Ath,20095,18620,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,3493,835,9962,1453,112,830,239,157,55,0,0,32,0,72,0,0,0,0,0,0,0,0,105,36,56,46,16,0,0,0,0,0
BE_K00012,Aubel,8542,9014,859,0,0,0,0,0,0,0,0,0,0,0,0,0,2674,535,2256,2026,153,232,38,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,8,13,5,78,0,0
BE_K00013,Audenarde,31961,30176,1306,0,10282,6609,6575,3007,930,1008,218,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,82,39,0,0,0,0,0,0,0,0,0,0
BE_K00014,Avelgem,8629,8193,596,0,1827,2155,2135,821,283,218,62,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,11,14,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00015,Aywaille,31086,27818,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,10403,2289,7911,3674,370,981,243,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,139,0,33,100,35,36,0,0
BE_K00016,Bassenge,29065,26345,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,7199,1397,8617,5172,242,1286,127,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,162,0,96,81,42,35,0,0
BE_K00017,Bastogne,12028,11362,864,0,0,0,0,0,0,0,0,0,0,0,0,0,4798,440,1061,3591,157,331,43,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,12,0
BE_K00018,Beaumont,10949,10169,963,0,0,0,0,0,0,0,0,0,0,0,0,0,3372,456,2844,1395,107,525,176,88,32,0,0,24,0,30,0,0,0,0,0,0,0,0,59,31,41,8,18,0,0,0,0,0
BE_K00019,Beauraing,9408,8800,640,0,0,0,0,0,0,0,0,0,0,18,0,0,2778,476,2881,1426,87,267,55,67,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,19,0,14,0,0,0,0,49
BE_K00020,Beloeil,17461,16258,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,3635,744,7659,1199,96,920,169,129,94,0,0,34,0,42,0,0,0,0,0,0,0,0,93,63,45,10,23,0,0,0,0,0
BE_K00021,Beringen,82304,77702,3045,0,13230,26932,13233,15424,2335,2082,787,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00022,Beveren,35168,33127,1155,0,6621,6881,6752,8081,1529,1158,309,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,78,73,0,0,0,0,0,0,0,0,0,0
BE_K00023,Bilzen,29643,28297,1386,0,5756,7617,5962,4120,2510,490,269,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00024,Binche,40993,37168,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,5772,1443,17013,2491,741,2080,461,221,212,0,0,94,0,209,0,0,0,0,0,0,0,0,213,128,191,38,2925,0,0,0,0,0
BE_K00025,Boom,43146,40134,1325,0,7616,10172,6927,10265,1231,1336,434,439,0,81,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00026,Bouillon,4034,3716,350,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,165,877,593,200,151,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0
BE_K00027,Boussu,44668,40384,3539,0,0,0,0,0,0,0,0,0,0,0,0,0,6035,2040,19720,3888,200,2750,461,305,411,0,0,120,0,131,0,0,0,0,0,0,0,0,274,163,253,31,63,0,0,0,0,0
BE_K00028,Brakel,16197,15258,814,0,5803,2959,2915,1669,503,365,97,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,37,29,0,0,0,0,0,0,0,0,0,0
BE_K00029,Brecht,65219,60931,2297,0,13185,10913,15551,12597,2430,2286,836,582,0,115,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00030,Bree,28970,27919,1416,0,7405,6464,7625,3284,985,416,218,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00031,Bruges,206124,190306,9199,0,43516,45218,41983,26647,11072,8219,1862,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,458,377,305,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00032,Bruxelles,74483,61851,2197,0,2619,2745,1290,4249,450,905,0,159,416,219,0,0,15470,4619,15335,5206,728,2240,188,0,0,583,1459,85,226,174,130,40,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00033,Celles,6547,6127,625,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,307,1796,969,115,135,45,69,14,0,0,18,0,14,0,0,0,0,0,0,0,0,112,12,14,6,4,0,0,0,0,0
BE_K00034,Châtelet,59001,53554,4410,0,0,0,0,0,0,0,0,0,0,0,0,0,8970,2726,21882,6053,490,4797,617,1394,344,0,0,260,0,372,0,0,0,0,0,0,0,0,333,163,621,57,65,0,0,0,0,0
BE_K00035,Charleroi,130929,114060,10391,0,0,0,0,0,0,0,0,0,0,0,0,0,18488,6314,46975,9846,973,12273,1546,1873,896,0,0,566,0,672,0,0,0,0,0,0,0,0,746,391,1783,176,151,0,0,0,0,0
BE_K00036,Chièvres,6911,6539,471,0,0,0,0,0,0,0,0,0,0,0,0,0,1795,248,2854,597,85,252,58,48,24,0,0,7,0,13,0,0,0,0,0,0,0,0,46,13,15,5,8,0,0,0,0,0
BE_K00037,Chimay,10784,10037,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,3082,536,2581,1629,149,421,148,74,33,0,0,18,0,21,0,0,0,0,0,0,0,0,70,17,31,9,16,0,0,0,0,0
BE_K00038,Ciney,22685,20774,1656,0,0,0,0,0,0,0,0,0,0,38,0,0,7114,1615,5075,3728,333,572,133,210,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,51,0,43,0,0,0,0,136
BE_K00039,Comines-Warneton,10771,9886,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,662,1675,2883,73,291,149,102,43,0,0,44,0,38,0,0,0,0,0,0,0,0,257,72,32,14,9,0,0,0,0,0
BE_K00040,Courtrai,101020,95127,4742,0,18879,19929,27337,12454,7018,3071,663,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,294,195,144,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00041,Couvin,14279,13080,1366,0,0,0,0,0,0,0,0,0,0,40,0,0,2647,752,4575,2615,98,578,135,111,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,34,0,7,0,0,0,0,82
BE_K00042,Deinze,33074,31254,1526,0,9958,5852,7599,3598,1087,1114,243,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,87,54,0,0,0,0,0,0,0,0,0,0
BE_K00043,Destelbergen,13486,12705,418,0,4449,2258,2022,1883,778,624,137,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,28,22,0,0,0,0,0,0,0,0,0,0
BE_K00044,Diest,46157,43503,2512,0,11174,10101,8619,7512,1203,1092,569,353,210,121,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00045,Dinant,26784,24536,2098,0,0,0,0,0,0,0,0,0,0,65,0,0,5981,1640,5928,6599,304,1076,178,270,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,76,0,29,0,0,0,0,161
BE_K00046,Dison,9318,8335,817,0,0,0,0,0,0,0,0,0,0,0,0,0,1508,410,3586,1065,93,531,65,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,29,0,13,30,4,24,0,0
