gisco_id,name,registered,turnout,invalid,blank,N-VA,open vld,GROEN!,CD&V,SP.A,VLAAMS BELANG,Lijst Dedecker,PVDA+,LSP,MR,ECOLO,PS,CDH,BELG.UNIE,Parti Populaire,PROBRUXSEL,WALLONIE D'ABORD,Front des gauches,FN,R.W.F.,PTB+PVDA+,PIRATE PARTY,EGALITE,PTB+,FN+,MSplus,W+,Vrijheid,VIVANT,MP Education,Parti Pensionné PP,RESPECT,N,V.I.T.A.L.
BE_KAE004,AE Flandre occidentale,695,614,14,0,147,122,91,113,62,48,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BE_K00002,Alost,92496,83676,4678,0,24681,12903,3928,10227,10892,12412,2283,901,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0
BE_K00001,Aarschot,39232,36086,2023,0,8678,5123,2290,5942,5694,4328,1391,291,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0
BE_K00003,Andenne,26762,23675,1843,0,0,0,0,0,0,0,0,0,0,4527,3145,8693,2462,271,634,0,314,117,668,482,0,0,0,373,0,51,95,0,0,0,0,0,0,0
BE_K00004,Anderlecht,69944,58023,3021,0,1341,1237,708,1075,1598,1688,257,0,0,11474,5181,17059,6937,371,2052,492,272,288,922,146,839,158,907,0,0,0,0,0,0,0,0,0,0,0
BE_K00005,Antoing,14999,13470,1316,0,0,0,0,0,0,0,0,0,0,2139,1275,6124,1452,0,207,0,283,55,253,113,0,0,0,75,144,11,23,0,0,0,0,0,0,0
BE_K00006,Anvers,333246,287232,10673,0,70153,26973,30674,25850,54495,51343,4749,11434,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00007,Arendonk,31780,29615,1916,0,9665,2078,1231,6735,3001,3991,701,227,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00008,Arlon,24356,21624,1804,0,0,0,0,0,0,0,0,0,0,3561,3208,4721,6407,439,560,0,374,134,0,240,0,0,0,158,0,18,0,0,0,0,0,0,0,0
BE_K00009,Asse,105080,95354,3403,0,27200,15597,4464,13485,7462,9298,2337,0,0,3623,1484,2963,1419,365,835,163,266,71,175,52,463,124,105,0,0,0,0,0,0,0,0,0,0,0
BE_K00010,Assenede,20274,18597,1071,0,4226,2890,802,2647,2651,2158,718,1317,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0
BE_K00011,Ath,21375,19045,1244,0,0,0,0,0,0,0,0,0,0,3409,1689,8898,1724,0,548,0,288,114,345,240,0,0,0,266,176,15,89,0,0,0,0,0,0,0
BE_K00012,Aubel,9057,8996,899,0,0,0,0,0,0,0,0,0,0,2017,1133,1983,2094,78,293,0,104,84,0,65,0,0,0,82,0,5,11,0,62,9,77,0,0,0
BE_K00014,Avelgem,9073,8447,649,0,1380,1325,480,1790,1550,664,487,65,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
BE_K00015,Aywaille,33140,28640,1212,0,0,0,0,0,0,0,0,0,0,8108,4262,7798,3792,199,831,0,415,287,0,514,0,0,0,644,0,50,91,0,113,18,306,0,0,0
BE_K00016,Bassenge,30312,26524,1424,0,0,0,0,0,0,0,0,0,0,5039,2736,9250,4586,216,847,0,382,195,0,276,0,0,0,953,0,25,86,0,134,58,317,0,0,0
BE_K00017,Bastogne,13014,12106,983,0,0,0,0,0,0,0,0,0,0,3328,804,1348,5021,100,170,0,137,63,0,82,0,0,0,63,0,7,0,0,0,0,0,0,0,0
BE_K00018,Beaumont,11632,10378,976,0,0,0,0,0,0,0,0,0,0,2185,791,3418,1734,0,301,0,227,59,217,199,0,0,0,97,146,7,21,0,0,0,0,0,0,0
BE_K00019,Beauraing,9948,8999,709,0,0,0,0,0,0,0,0,0,0,2644,895,2625,1145,70,192,0,124,39,221,222,0,0,0,76,0,7,30,0,0,0,0,0,0,0
BE_K00020,Beloeil,17986,16272,1244,0,0,0,0,0,0,0,0,0,0,2906,1153,8050,1331,0,298,0,273,75,366,159,0,0,0,173,206,15,23,0,0,0,0,0,0,0
BE_K00021,Beringen,88766,81218,4794,0,23473,6323,3357,12428,15429,12120,2506,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00022,Beveren,36198,33069,1379,0,11569,2919,1929,5564,3119,5252,924,258,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0
BE_K00023,Bilzen,30943,28793,1852,0,8666,3956,1323,4485,3724,3678,735,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00024,Binche,43403,38062,3203,0,0,0,0,0,0,0,0,0,0,4501,2312,20722,2995,0,835,0,627,286,829,431,0,0,0,432,515,294,80,0,0,0,0,0,0,0
