gisco_id,name,registered,turnout,invalid,blank,N-VA,open vld,CD&V,SP.A,VLAAMS BELANG,GROEN,SD&P,PVDA+,Piratenpartij,R.O.S.S.E.M.,B.U.B.-Belg.Unie,PVGW,OpenVld,ROSSEM,PP,FDF,PS,MR,CDH,PTB-GO !,Parti Populaire,ECOLO,DEBOUT LES BELGES,Faire place Nette,LA DROITE,WALLONIE D'ABORD,PIRATE,Lutte Ouvrière,RassemblementWalon,P+,NATION,R.W.F.,FW,NWA,MG,MGJOD,B.U.B.,Lijst Dedecker,VLC,PP PARTIPENSIONNES,ISLAM,CIM,PTB-GO!,Vox Populi Belgica,B.U.B.- Belg.Unie,NVA,PTB*PVDA-GO !,DEBOUT LES BELGES!,GAUCHES COMMUNES,Égalitaires !,Parti Libertarien,Agora Erasmus,LaLutte-DeStrijd,F.D.F,MOVE
BE_71067,Zutendaal,0,4969,202,0,1770,0,1239,453,318,253,0,138,32,12,3,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_45065,Zwalm,0,5981,316,0,1660,1673,812,664,189,486,4,121,31,12,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_34042,Zwevegem,0,17957,980,0,4629,0,4606,2452,782,1347,0,262,0,59,48,0,2312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11056,Zwijndrecht,0,13202,491,0,5194,0,1467,1657,1179,1542,0,601,130,30,15,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE001,AE Anvers,2743,2079,135,0,546,0,219,197,101,321,0,57,25,6,19,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE003,AE Bruxelles-Hal-Vilvorde,22709,14714,1084,0,336,0,203,136,175,0,0,0,0,0,0,0,594,0,0,1098,2834,4284,794,0,208,2135,0,0,128,0,0,0,0,0,96,0,0,0,22,0,0,0,0,0,79,0,0,0,0,0,183,166,40,23,49,29,18,0,0
BE_KAE006,AE Hainaut,1550,1204,101,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,448,255,92,0,29,129,0,11,19,13,8,1,12,4,4,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,18,28,0,0,0,0,0,0,0
BE_KAE009,AE Louvain,1753,1299,107,0,226,0,169,124,43,174,0,16,0,3,28,0,321,0,14,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE007,AE Liège,1595,1232,84,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,21,377,307,119,0,25,182,0,0,21,21,9,0,0,0,2,3,0,0,1,0,0,0,3,1,14,0,0,0,0,0,19,11,0,0,0,0,0,0,0
BE_KAE008,AE Limbourg,563,441,26,0,101,0,75,59,23,51,0,11,5,3,3,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE010,AE Luxembourg,484,371,37,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,71,100,82,0,8,45,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0
BE_KAE011,AE Namur,714,541,32,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,143,146,63,0,5,105,0,0,9,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5,5,0,0,0,0,0,0,0
BE_KAE005,AE Flandre Orientale,1536,1205,51,0,246,0,164,118,61,212,3,26,11,3,15,1,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_KAE002,AE Brabant Wallon,1169,892,63,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,31,149,343,84,0,15,146,0,0,19,0,0,0,0,0,2,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0
BE_KAE004,AE Flandre occidentale,1257,989,61,0,204,0,154,98,52,180,0,15,0,1,6,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00002,Alost,93839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00001,Aarschot,40097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00003,Andenne,28006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00004,Anderlecht,71769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00005,Antoing,15264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00006,Anvers,338426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00007,Arendonk,32622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00008,Arlon,29066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00009,Asse,107034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00010,Assenede,20292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
