gisco_id,name,registered,turnout,invalid,blank,Open VLD,VB (1979),CD&V,Vooruit,N-VA,LDD,Groen,PTB/PVDA,SLP,LSP/PSL,CAP,PS,Ecolo,MR,CSP,AGIR,R.W.F.,WDA,MS,LCR-PSL,PCB-CPB,LE,ProDG,VIVANT,EDW
BE_K00002,Electoral Canton Alost,91985,84565,4238,0,18346,15992,15163,9544,8589,6175,5044,652,485,209,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00001,Electoral Canton Aarschot,38945,36097,1995,0,7262,5138,8107,4116,3212,3238,2305,334,233,85,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00003,Electoral Canton Andenne,26550,23806,2312,0,0,0,0,0,0,0,0,166,0,0,51,6463,5542,5030,2614,743,414,336,53,49,33,0,0,0,0
BE_K00004,Electoral Canton Anderlecht,70179,59305,4371,0,2393,2021,1353,1315,388,379,742,587,48,24,187,14411,10026,11761,0,1849,204,315,57,228,131,6515,0,0,0
BE_K00005,Electoral Canton Antoing,15119,13773,1802,0,0,0,0,0,0,0,0,42,0,0,20,4893,2155,2378,1568,493,120,217,8,25,52,0,0,0,0
BE_K00006,Electoral Canton Anvers,335113,294848,9953,0,46760,66003,35262,57074,24032,10815,34732,6535,2340,775,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00007,Electoral Canton Arendonk,31744,29920,1713,0,3573,4288,9703,2683,4600,1501,1475,168,115,54,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00008,Electoral Canton Arlon,23691,21330,2054,0,0,0,0,0,0,0,0,72,0,0,30,3246,5980,4945,3943,551,152,227,28,50,52,0,0,0,0
BE_K00009,Electoral Canton Asse,104822,95875,3634,0,20593,13247,17874,6389,11727,5209,5576,546,251,121,108,2076,2748,3718,1213,412,94,235,29,47,28,0,0,0,0
BE_K00010,Electoral Canton Assenede,20179,18900,1035,0,4297,2597,3562,2436,1116,1650,898,1086,132,43,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00011,Electoral Canton Ath,21307,19247,1754,0,0,0,0,0,0,0,0,116,0,0,51,6370,3548,4266,1716,611,203,488,18,61,45,0,0,0,0
BE_K00012,Electoral Canton Aubel,9117,9134,926,0,0,0,0,0,0,0,0,47,0,0,17,1673,1858,2147,1958,296,64,114,13,10,11,0,0,0,0
BE_K00014,Electoral Canton Avelgem,9096,8496,707,0,1723,801,2188,1304,390,728,481,57,77,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00015,Electoral Canton Aywaille,32905,29035,1528,0,0,0,0,0,0,0,0,251,0,0,68,6894,7028,8035,3613,655,388,391,25,78,81,0,0,0,0
BE_K00016,Electoral Canton Bassenge,30266,26898,1781,0,0,0,0,0,0,0,0,548,0,0,72,8427,4948,5337,4212,775,311,366,26,49,46,0,0,0,0
BE_K00017,Electoral Canton Bastogne,12850,11989,1210,0,0,0,0,0,0,0,0,26,0,0,16,1327,1963,3888,3073,303,67,77,11,16,12,0,0,0,0
BE_K00018,Electoral Canton Beaumont,12441,10438,1196,0,0,0,0,0,0,0,0,66,0,0,29,2439,1542,2599,1738,423,168,179,14,23,22,0,0,0,0
BE_K00019,Electoral Canton Beauraing,9887,9035,966,0,0,0,0,0,0,0,0,35,0,0,2,2107,1653,2537,1214,217,141,129,9,9,16,0,0,0,0
BE_K00020,Electoral Canton Beloeil,18188,16625,1565,0,0,0,0,0,0,0,0,121,0,0,40,6270,2527,3804,1196,595,155,244,12,41,55,0,0,0,0
BE_K00021,Electoral Canton Beringen,88097,81838,4448,0,10763,14761,16991,16417,8479,5277,3681,461,297,143,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00022,Electoral Canton Beveren,36037,33369,1310,0,5123,6817,8425,2936,3685,2212,2270,254,209,69,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00023,Electoral Canton Bilzen,30800,29098,1905,0,5178,4229,7018,2803,4340,1726,1412,230,175,37,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
