gisco_id,name,registered,turnout,invalid,blank,Open VLD,sp.a-spirit,CD&V,VB (1979),N-VA,Groen,VIVANT,LA,MARIA,B.U.B.,UFE,RESIST,MR,Ecolo,PS,LE,CDF,AGIR,R.W.F.,PCB-CPB,PCP,NATION,PC-RDS,NOOR,VB (2003),PH,PTB/PVDA,OMNIUM,VITAL,LSP/PSL,FRANCE,DL,MS,MDT,PDA,PPR,CHOPE
BE_K00104,Electoral Canton Kruishoutem,11514,11059,537,0,3739,1565,3322,1099,285,362,87,26,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,12,0,0,0,0,0,0,0
BE_K00105,Electoral Canton Léau,16571,15702,825,0,4159,3634,3738,2427,316,282,160,51,73,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00106,Electoral Canton La Louvière,45852,41523,3560,0,0,0,0,312,0,0,380,0,0,0,0,0,6279,2065,20407,3286,276,2882,438,516,0,147,0,0,0,0,479,0,0,0,278,35,183,0,0,0,0
BE_K00107,Electoral Canton La Roche-en-Ardenne,6652,6288,482,0,0,0,0,0,0,0,56,0,0,0,0,0,2374,329,1158,1508,109,199,41,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,13,0
BE_K00108,Electoral Canton Landen,11629,10947,702,0,2707,3069,1983,1570,295,317,139,43,53,49,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00109,Electoral Canton Le Roeulx,5623,5240,359,0,0,0,0,43,0,0,51,0,0,0,0,0,1309,317,1960,624,60,299,86,56,0,16,0,0,0,0,28,0,0,0,14,6,12,0,0,0,0
BE_K00110,Electoral Canton Lennik,54281,44170,3231,0,7905,4942,10484,5246,1347,930,359,222,102,122,0,0,3322,2090,1721,1042,453,288,153,0,41,25,28,40,58,19,0,0,0,0,0,0,0,0,0,0,0
BE_K00111,Electoral Canton Lens,9233,8681,324,0,0,0,0,41,0,0,51,0,0,0,0,0,3639,502,2703,750,68,401,89,30,0,15,0,0,0,0,19,0,0,0,31,4,14,0,0,0,0
BE_K00112,Electoral Canton Lessines,13036,11900,971,0,0,0,0,144,0,0,150,0,0,0,0,0,2173,528,5880,963,167,624,139,45,0,17,0,0,0,0,37,0,0,0,35,16,11,0,0,0,0
BE_K00113,Electoral Canton Leuze-en-Hainaut,9903,8957,746,0,0,0,0,43,0,0,66,0,0,0,0,0,2640,453,3080,1256,121,315,79,41,0,58,0,0,0,0,14,0,0,0,31,3,11,0,0,0,0
BE_K00114,Electoral Canton Liège,123389,105591,4720,0,0,0,0,0,0,0,1576,0,0,0,0,0,28843,10087,35817,13291,1155,6040,993,0,0,0,763,0,0,0,1106,0,0,0,556,0,205,227,212,0,0
BE_K00115,Electoral Canton Lichtervelde,6430,6164,403,0,1269,1153,2225,558,314,147,40,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,9,4,11,0,0,0,0,0,0,0,0
BE_K00116,Electoral Canton Lierre,44718,38929,1541,0,9311,7456,7002,8344,1788,2106,490,615,0,126,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
