gisco_id,name,registered,turnout,invalid,blank,VB (1979),N-VA,Open VLD,CD&V,Vooruit,Groen,PTB/PVDA,Volt,PS,Ecolo,MR,LE,PP (2009),DéFI,CSP,VIVANT,ProDG,DierAnimal
BE_21003,Berchem-Sainte-Agathe / Sint-Agatha-Berchem,0,12806,839,0,338,638,686,216,154,318,1580,29,2196,2149,1677,871,271,844,0,0,0,0
BE_71004,Beringen,0,30954,1797,0,6165,5839,2760,5137,5425,2079,1659,93,0,0,0,0,0,0,0,0,0,0
BE_12002,Berlaar,0,8391,458,0,1750,2093,1002,1186,717,792,353,40,0,0,0,0,0,0,0,0,0,0
BE_42003,Berlare,0,10827,475,0,2599,1965,2435,1342,925,728,330,28,0,0,0,0,0,0,0,0,0,0
BE_64008,Berloz,0,2146,189,0,0,0,0,0,0,0,302,0,631,289,357,160,107,111,0,0,0,0
BE_51009,Bernissart,0,7561,876,0,0,0,0,0,0,0,1169,0,2593,938,1082,294,340,269,0,0,0,0
BE_24009,Bertem,0,6650,246,0,762,1496,1435,940,501,1038,210,22,0,0,0,0,0,0,0,0,0,0
BE_82005,Bertogne,0,2421,269,0,0,0,0,0,0,0,185,0,167,254,500,884,84,78,0,0,0,0
BE_84009,Bertrix,0,5854,632,0,0,0,0,0,0,0,565,0,914,775,1620,970,168,210,0,0,0,0
BE_46003,Beveren,0,33505,1294,0,8027,8877,3532,5010,2307,3092,1214,152,0,0,0,0,0,0,0,0,0,0
BE_62015,Beyne-Heusay,0,7376,757,0,0,0,0,0,0,0,1387,0,2229,908,906,440,443,306,0,0,0,0
BE_91015,Bièvre,0,2374,267,0,0,0,0,0,0,0,247,0,370,252,809,248,87,94,0,0,0,0
BE_23009,Bever / Biévène,0,1503,91,0,240,219,309,256,106,217,52,13,0,0,0,0,0,0,0,0,0,0
BE_24011,Bierbeek,0,6957,218,0,631,1646,1197,1152,524,1315,247,27,0,0,0,0,0,0,0,0,0,0
BE_73006,Bilzen,0,22907,1458,0,4577,4614,3223,4362,1998,1767,808,100,0,0,0,0,0,0,0,0,0,0
BE_56011,Binche,0,21060,1997,0,0,0,0,0,0,0,3721,0,8216,2115,2457,1014,872,668,0,0,0,0
BE_31004,Blankenberge,0,14976,962,0,2982,3181,2473,1369,2360,1022,530,97,0,0,0,0,0,0,0,0,0,0
BE_62119,Blégny,0,9036,592,0,0,0,0,0,0,0,1052,0,2367,1455,1778,887,543,362,0,0,0,0
BE_72003,Bocholt,0,8666,555,0,1954,1801,909,1987,652,515,272,21,0,0,0,0,0,0,0,0,0,0
BE_11004,Boechout,0,9340,214,0,1361,2911,1416,907,471,1695,314,51,0,0,0,0,0,0,0,0,0,0
BE_12005,Bonheiden,0,10699,337,0,1504,2958,1992,1461,594,1438,376,39,0,0,0,0,0,0,0,0,0,0
BE_11005,Boom,0,11249,461,0,2197,2699,1202,1189,1372,1138,953,38,0,0,0,0,0,0,0,0,0,0
BE_24014,Boortmeerbeek,0,8759,301,0,1248,2155,1920,972,692,1137,300,34,0,0,0,0,0,0,0,0,0,0
BE_73009,Borgloon / Looz,0,8054,628,0,1486,1130,1816,998,1216,441,312,27,0,0,0,0,0,0,0,0,0,0
BE_12007,Bornem,0,15596,562,0,3195,3593,1651,2838,1206,1714,776,61,0,0,0,0,0,0,0,0,0,0
BE_11007,Borsbeek,0,6930,282,0,1448,2281,531,532,483,878,463,32,0,0,0,0,0,0,0,0,0,0
BE_84010,Bouillon,0,3592,432,0,0,0,0,0,0,0,378,0,754,444,874,471,125,114,0,0,0,0
BE_53014,Boussu,0,11790,1570,0,0,0,0,0,0,0,2383,0,4463,1236,827,436,577,298,0,0,0,0
BE_24016,Boutersem,0,6483,271,0,746,1453,1091,885,713,1076,203,45,0,0,0,0,0,0,0,0,0,0
BE_31005,Brugge / Bruges,0,82071,3043,0,13575,13724,10792,13907,10958,12815,2903,354,0,0,0,0,0,0,0,0,0,0
BE_21004,Bruxelles / Brussel,0,70504,5140,0,1150,2160,3216,968,1130,3426,10721,181,15428,11956,6181,3707,1335,3805,0,0,0,0
BE_25014,Braine-l'Alleud / Eigenbrakel,0,25374,1550,0,0,0,0,0,0,0,1628,0,3805,6167,7988,1537,947,1752,0,0,0,0
BE_25015,Braine-le-Château / Kasteelbrakel,0,6922,477,0,0,0,0,0,0,0,577,0,1165,1481,1982,383,328,529,0,0,0,0
BE_55004,Braine-le-Comte / 's Gravenbrakel,0,13873,1148,0,0,0,0,0,0,0,1815,0,3087,2663,2979,802,616,763,0,0,0,0
BE_64015,Braives,0,4377,359,0,0,0,0,0,0,0,436,0,963,889,958,299,200,273,0,0,0,0
BE_45059,Brakel,0,10720,686,0,2250,1469,2756,1216,1125,845,316,57,0,0,0,0,0,0,0,0,0,0
BE_11008,Brasschaat,0,25400,704,0,4516,8889,3537,2564,1198,2703,1185,104,0,0,0,0,0,0,0,0,0,0
BE_11009,Brecht,0,20075,701,0,4788,6847,2112,2485,974,1439,647,82,0,0,0,0,0,0,0,0,0,0
BE_35002,Bredene,0,12785,741,0,3329,2180,1303,1000,2615,1065,472,80,0,0,0,0,0,0,0,0,0,0
BE_72004,Bree,0,11156,688,0,2225,2344,1805,2230,695,721,415,33,0,0,0,0,0,0,0,0,0,0
BE_51012,Brugelette,0,2424,237,0,0,0,0,0,0,0,316,0,707,388,392,180,97,107,0,0,0,0
BE_57093,Brunehaut,0,5243,618,0,0,0,0,0,0,0,697,0,1538,780,761,333,206,310,0,0,0,0
BE_42004,Buggenhout,0,10469,429,0,2518,2412,1430,1851,635,863,305,26,0,0,0,0,0,0,0,0,0,0
BE_61010,Burdinne,0,2278,144,0,0,0,0,0,0,0,266,0,380,508,591,169,94,126,0,0,0,0
BE_63087,Burg-Reuland,0,2437,221,0,0,0,0,0,145,0,0,0,0,252,147,0,0,0,1064,254,327,27
BE_57018,Celles,0,4314,509,0,0,0,0,0,0,0,409,0,888,615,1058,502,156,177,0,0,0,0
BE_93010,Cerfontaine,0,3525,348,0,0,0,0,0,0,0,555,0,643,383,997,268,177,154,0,0,0,0
BE_52012,Châtelet,0,20025,2282,0,0,0,0,0,0,0,4284,0,7353,1599,1573,761,1201,972,0,0,0,0
BE_52010,Chapelle-lez-Herlaimont,0,8845,995,0,0,0,0,0,0,0,1568,0,3724,753,798,307,365,335,0,0,0,0
BE_52011,Charleroi,0,109039,12542,0,0,0,0,0,0,0,22104,0,38322,10181,9373,3814,7135,5568,0,0,0,0
BE_25117,Chastre,0,5163,301,0,0,0,0,0,0,0,357,0,730,1510,1438,364,153,310,0,0,0,0
BE_62022,Chaudfontaine,0,14118,613,0,0,0,0,0,0,0,1213,0,2183,2885,4721,1053,581,869,0,0,0,0
BE_25018,Chaumont-Gistoux,0,7982,356,0,0,0,0,0,0,0,389,0,731,2190,2956,566,241,553,0,0,0,0
BE_51014,Chièvres,0,4639,447,0,0,0,0,0,0,0,515,0,1448,625,1028,275,164,137,0,0,0,0
BE_56016,Chimay,0,6647,779,0,0,0,0,0,0,0,686,0,1481,870,1356,903,374,198,0,0,0,0
BE_85007,Chiny,0,3547,454,0,0,0,0,0,0,0,289,0,740,629,606,588,115,126,0,0,0,0
BE_91030,Ciney,0,11113,1014,0,0,0,0,0,0,0,1246,0,2098,1952,2621,1155,369,658,0,0,0,0
BE_61012,Clavier,0,3201,248,0,0,0,0,0,0,0,406,0,623,549,551,318,133,373,0,0,0,0
BE_53082,Colfontaine,0,12051,1725,0,0,0,0,0,0,0,2451,0,4568,912,808,555,587,445,0,0,0,0
BE_62026,Comblain-au-Pont,0,3358,247,0,0,0,0,0,0,0,571,0,945,566,460,239,175,155,0,0,0,0
BE_54010,Comines-Warneton / Komen-Waasten,0,9274,1629,0,0,0,0,0,0,0,782,0,1660,1811,1723,1201,296,172,0,0,0,0
BE_52015,Courcelles,0,18984,1902,0,0,0,0,0,0,0,3370,0,6017,1966,3136,752,1026,815,0,0,0,0
BE_25023,Court-Saint-Étienne,0,6905,412,0,0,0,0,0,0,0,560,0,1029,2182,1599,495,264,364,0,0,0,0
BE_93014,Couvin,0,9026,1085,0,0,0,0,0,0,0,1392,0,2313,974,1485,1007,435,335,0,0,0,0
BE_64021,Crisnée,0,2342,164,0,0,0,0,0,0,0,230,0,544,361,722,132,96,93,0,0,0,0
BE_62027,Dalhem,0,5078,306,0,0,0,0,0,0,0,523,0,835,907,1557,467,271,212,0,0,0,0
BE_31006,Damme,0,8162,514,0,1512,1748,1158,1705,544,733,201,47,0,0,0,0,0,0,0,0,0,0
BE_84016,Daverdisse,0,959,83,0,0,0,0,0,0,0,73,0,189,132,199,176,46,61,0,0,0,0
BE_35029,De Haan,0,9512,558,0,1624,2361,1846,962,990,859,266,46,0,0,0,0,0,0,0,0,0,0
BE_38008,De Panne / La Panne,0,7474,406,0,1337,1451,1447,739,1196,631,229,38,0,0,0,0,0,0,0,0,0,0
BE_44012,De Pinte,0,7913,249,0,711,1606,1926,1390,465,1331,209,26,0,0,0,0,0,0,0,0,0,0
BE_34009,Deerlijk,0,8914,452,0,1740,1633,1570,1691,784,792,220,32,0,0,0,0,0,0,0,0,0,0
BE_44011,Deinze,0,30726,1206,0,4773,5945,6114,5572,2402,3727,904,83,0,0,0,0,0,0,0,0,0,0
BE_41011,Denderleeuw,0,13628,834,0,4025,2396,1390,1559,1765,1139,464,56,0,0,0,0,0,0,0,0,0,0
BE_42006,Dendermonde / Termonde,0,32014,1374,0,7551,6766,4343,4470,3121,2987,1298,104,0,0,0,0,0,0,0,0,0,0
BE_37002,Dentergem,0,6256,344,0,1446,1530,785,1048,467,428,179,29,0,0,0,0,0,0,0,0,0,0
BE_13006,Dessel,0,6736,342,0,1374,2254,595,1043,441,396,268,23,0,0,0,0,0,0,0,0,0,0
BE_44013,Destelbergen,0,13315,542,0,1802,2894,3148,1355,1026,1978,510,60,0,0,0,0,0,0,0,0,0,0
BE_71011,Diepenbeek,0,13521,703,0,3041,2826,1595,1974,1420,1261,656,45,0,0,0,0,0,0,0,0,0,0
BE_24020,Diest,0,16816,910,0,2633,3479,2947,2080,1973,1906,796,92,0,0,0,0,0,0,0,0,0,0
BE_23016,Dilbeek,0,27143,1369,0,2802,6044,6469,2967,2005,4245,1098,144,0,0,0,0,0,0,0,0,0,0
BE_72041,Dilsen-Stokkem,0,13593,713,0,2764,1949,3262,1806,1634,817,620,28,0,0,0,0,0,0,0,0,0,0
BE_91034,Dinant,0,8770,956,0,0,0,0,0,0,0,1139,0,1789,1312,1840,951,361,422,0,0,0,0
BE_63020,Dison,0,8198,893,0,0,0,0,0,0,0,1473,0,2442,1083,864,410,738,295,0,0,0,0
BE_32003,Diksmuide / Dixmude,0,12117,782,0,2557,2349,1712,2091,1311,874,398,43,0,0,0,0,0,0,0,0,0,0
BE_93018,Doische,0,2128,231,0,0,0,0,0,0,0,333,0,493,232,444,179,114,102,0,0,0,0
BE_64023,Donceel,0,3606,225,0,0,0,0,0,0,0,420,0,800,590,963,276,145,187,0,0,0,0
BE_53020,Dour,0,10506,1328,0,0,0,0,0,0,0,1761,0,3693,878,853,1223,458,312,0,0,0,0
BE_23098,Drogenbos,0,2778,475,0,101,160,163,66,46,108,198,11,378,366,272,78,63,293,0,0,0,0
BE_12009,Duffel,0,12206,457,0,2293,3416,1377,1760,672,1553,637,41,0,0,0,0,0,0,0,0,0,0
BE_83012,Durbuy,0,7690,628,0,0,0,0,0,0,0,696,0,1530,1172,1389,1639,333,303,0,0,0,0
BE_55050,Écaussinnes,0,7241,670,0,0,0,0,0,0,0,1023,0,1985,1305,1028,632,287,311,0,0,0,0
BE_11013,Edegem,0,15185,380,0,1644,5188,2503,1535,821,2465,588,61,0,0,0,0,0,0,0,0,0,0
BE_43005,Eeklo,0,14383,971,0,2919,2560,2239,2011,1425,1458,707,93,0,0,0,0,0,0,0,0,0,0
BE_92035,Éghezée,0,11064,884,0,0,0,0,0,0,0,1080,0,2127,2099,2577,1215,406,676,0,0,0,0
BE_51017,Ellezelles / Elzele,0,4219,448,0,0,0,0,0,0,0,354,0,894,614,951,585,189,184,0,0,0,0
BE_55010,Enghien / Edingen,0,8947,766,0,0,0,0,0,0,0,970,0,1669,1953,1979,811,345,454,0,0,0,0
BE_61080,Engis,0,3929,438,0,0,0,0,0,0,0,764,0,1212,513,397,159,270,176,0,0,0,0
BE_83013,Érezée,0,2383,196,0,0,0,0,0,0,0,251,0,423,343,487,495,91,97,0,0,0,0
BE_41082,Erpe-Mere,0,14344,696,0,3644,3190,2172,2070,1074,1082,346,70,0,0,0,0,0,0,0,0,0,0
BE_56022,Erquelinnes,0,6257,747,0,0,0,0,0,0,0,991,0,1731,597,680,935,376,200,0,0,0,0
BE_62032,Esneux,0,8848,490,0,0,0,0,0,0,0,889,0,1655,2255,2045,605,358,551,0,0,0,0
BE_34043,Spiere-Helkijn / Espierres-Helchin,0,1379,175,0,179,155,265,173,197,171,51,13,0,0,0,0,0,0,0,0,0,0
BE_11016,Essen,0,10926,406,0,2217,3089,896,1753,855,1127,544,39,0,0,0,0,0,0,0,0,0,0
BE_57027,Estaimpuis,0,5309,690,0,0,0,0,0,0,0,530,0,1738,906,620,485,212,128,0,0,0,0
BE_56085,Estinnes,0,5130,422,0,0,0,0,0,0,0,795,0,1607,578,840,453,220,215,0,0,0,0
BE_85009,Étalle,0,3955,408,0,0,0,0,0,0,0,252,0,716,844,844,632,107,152,0,0,0,0
BE_21005,Etterbeek,0,18477,1054,0,181,378,1023,210,179,647,1511,68,2289,5281,3245,926,307,1178,0,0,0,0
BE_63023,Eupen,0,11629,680,0,0,0,0,0,1610,0,0,0,0,2237,1232,0,0,0,3415,789,1469,197
BE_21006,Evere,0,18930,1476,0,363,630,718,225,175,279,2120,27,4289,3209,2250,789,527,1853,0,0,0,0
BE_44019,Evergem,0,24998,995,0,5516,5331,3378,3890,2179,2350,1257,102,0,0,0,0,0,0,0,0,0,0
BE_64076,Faimes,0,3607,277,0,0,0,0,0,0,0,422,0,842,553,853,277,175,208,0,0,0,0
BE_52018,Farciennes,0,5842,805,0,0,0,0,0,0,0,1175,0,2575,319,280,290,239,159,0,0,0,0
BE_82009,Fauvillers,0,1514,130,0,0,0,0,0,0,0,101,0,150,290,263,446,80,54,0,0,0,0
BE_92138,Fernelmont,0,5541,379,0,0,0,0,0,0,0,548,0,893,1139,1154,923,183,322,0,0,0,0
BE_61019,Ferrières,0,3437,206,0,0,0,0,0,0,0,416,0,698,674,732,354,201,156,0,0,0,0
BE_64025,Fexhe-le-Haut-Clocher,0,2379,197,0,0,0,0,0,0,0,248,0,535,425,564,162,116,132,0,0,0,0
BE_62120,Flémalle,0,14432,1219,0,0,0,0,0,0,0,3166,0,4835,1744,1266,684,926,592,0,0,0,0
BE_62038,Fléron,0,10145,932,0,0,0,0,0,0,0,1634,0,2759,1373,1529,886,617,415,0,0,0,0
BE_52021,Fleurus,0,13732,1363,0,0,0,0,0,0,0,2312,0,4717,1422,1569,789,729,831,0,0,0,0
BE_51019,Flobecq / Vloesberg,0,2358,242,0,0,0,0,0,0,0,225,0,653,314,613,155,75,81,0,0,0,0
BE_92045,Floreffe,0,5557,416,0,0,0,0,0,0,0,564,0,1121,1345,811,647,231,422,0,0,0,0
BE_93022,Florennes,0,7793,872,0,0,0,0,0,0,0,1068,0,1625,850,1236,1334,511,297,0,0,0,0
BE_85011,Florenville,0,3681,451,0,0,0,0,0,0,0,348,0,673,611,722,618,115,143,0,0,0,0
BE_52022,Fontaine-lÉvêque,0,10452,1144,0,0,0,0,0,0,0,1888,0,3874,976,1137,365,652,416,0,0,0,0
BE_21007,Forest / Vorst,0,23803,1488,0,203,410,856,134,181,793,3081,41,4470,6583,2618,896,459,1590,0,0,0,0
BE_92048,Fosses-la-Ville,0,6863,660,0,0,0,0,0,0,0,1024,0,1615,902,1112,827,388,335,0,0,0,0
BE_73109,Voeren / Fourons,0,1597,111,0,223,457,192,276,93,182,57,6,0,0,0,0,0,0,0,0,0,0
BE_53028,Frameries,0,14758,1643,0,0,0,0,0,0,0,2769,0,4938,1701,1353,1027,817,510,0,0,0,0
