gisco_id,name,registered,turnout,invalid,blank,Open VLD,VB (1979),CD&V,Groen,sp.a-spirit,LDD,PTB/PVDA,CAP,NP-FN,MR,Ecolo,PS,LE,AGIR,CDF,R.W.F.,B.U.B.,PCB-CPB,VÉLO,FDB,PJM,Trefle,RW,PW,WDA,VIVANT,DLC,MP Education,UMP-B,Pluralis,GSCD,BP,VITAL
BE_K00209,Electoral Canton Oosterzele,45980,43075,1708,0,11515,5680,11346,3675,5761,2922,321,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00148,Electoral Canton Oostrozebeke,12734,12113,732,0,1433,1910,5424,408,832,1281,47,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BE_K00013,Electoral Canton Audenarde,32742,31002,1244,0,9549,3671,8572,1769,4043,1945,143,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00150,Electoral Canton Péruwelz,11569,10512,1013,0,0,0,0,0,0,0,19,14,0,2884,854,3505,1031,761,29,123,9,147,0,0,0,0,26,26,31,38,2,0,0,0,0,0,0
BE_K00151,Electoral Canton Paliseul,11134,10358,820,0,0,0,0,0,0,0,0,0,0,3068,1119,1979,2562,574,45,104,0,71,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
BE_K00152,Electoral Canton Peer,41271,39129,1913,0,5060,7070,12922,1470,6924,1429,272,1981,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
BE_K00153,Electoral Canton Perwez,19694,18334,709,0,0,57,0,0,0,0,31,0,0,7051,2782,3471,3358,460,60,141,33,72,0,0,0,0,0,0,57,0,0,0,0,0,8,44,0
BE_K00154,Electoral Canton Philippeville,12134,11255,820,0,0,0,0,0,0,0,51,0,0,3474,1213,2831,1652,815,41,201,24,0,0,0,0,0,79,0,54,0,0,0,0,0,0,0,0
BE_K00155,Electoral Canton Poperinge,15270,14221,830,0,2550,1552,5526,623,1773,1244,66,28,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
BE_K00156,Electoral Canton Puurs,34963,32504,1010,0,4516,6105,12487,2007,4213,1799,223,76,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00158,Electoral Canton Riemst,11036,10545,467,0,2154,1431,4801,360,950,269,39,39,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
BE_K00159,Electoral Canton Rochefort,9079,8428,561,0,0,0,0,0,0,0,12,0,0,4039,914,1299,1175,281,23,54,13,0,0,0,0,0,34,0,23,0,0,0,0,0,0,0,0
BE_K00160,Electoral Canton Roulers,60314,56496,2893,0,7080,8409,20842,3049,8073,5563,291,145,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
BE_K00157,Electoral Canton Renaix,22840,21129,1779,0,4412,4101,4284,1167,4288,835,160,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00161,Electoral Canton Ruiselede,14440,13651,827,0,1801,1663,5938,661,1109,1523,64,40,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BE_K00162,Electoral Canton Saint-Gilles,19698,16718,669,0,259,274,155,241,272,33,146,94,0,2959,3177,5496,2024,367,70,40,30,107,87,9,188,21,0,0,0,0,0,0,0,0,0,0,0
BE_K00163,Electoral Canton Saint-Hubert,7909,7359,516,0,0,0,0,0,0,0,0,0,0,2486,696,1875,1393,216,75,54,0,42,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
BE_K00164,Electoral Canton Saint-Josse,83440,72136,2570,0,1744,1231,1433,584,794,178,217,154,0,27533,10091,10217,12099,1545,557,281,167,197,162,48,239,95,0,0,0,0,0,0,0,0,0,0,0
BE_K00165,Electoral Canton Saint-Nicolas,86083,78233,3243,0,7198,10837,13303,3047,9442,2894,722,246,0,6193,2719,13833,2441,1284,101,170,0,157,0,0,0,0,142,0,62,97,0,75,27,0,0,0,0
BE_K00169,Electoral Canton Sainte-Ode,5155,4847,307,0,0,0,0,0,0,0,0,0,0,1814,328,799,1389,148,15,22,0,20,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
BE_K00168,Electoral Canton Saint-Vith,21686,19246,2371,0,0,0,0,0,0,0,52,25,0,4352,1854,3992,5074,658,100,12,0,29,0,0,0,0,37,0,70,585,0,19,16,0,0,0,0
BE_K00170,Electoral Canton Schaerbeek,79466,68101,2720,0,1685,1877,1152,843,1042,237,547,151,0,19319,8910,16567,9168,1847,333,192,171,228,129,175,617,191,0,0,0,0,0,0,0,0,0,0,0
BE_K00171,Electoral Canton Seneffe,40863,37178,2363,0,0,0,0,0,0,0,206,55,0,9439,4150,11589,4561,2965,102,539,36,540,0,0,0,0,217,172,129,97,18,0,0,0,0,0,0
BE_K00172,Electoral Canton Seraing,47727,42235,1984,0,0,0,0,0,0,0,1148,84,0,9217,4712,17825,3360,2268,182,374,0,379,0,0,0,0,278,0,102,140,0,55,127,0,0,0,0
