gisco_id,name,registered,turnout,invalid,blank,N-VA,Open VLD,CD&V,Vooruit,VB (1979),Groen,SD&P,PTB/PVDA,PP (2009),ROSSEM,B.U.B.,PVGW,DéFI,PS,MR,LE,PTB-GO,Ecolo,R!,FPN,La Droite,WDA,LO,RW,P+,NATION,R.W.F.,FW,NWA,MGJOD,LDD,VLC,PP [Parti Pensionnés],ISLAM,CIM,VPB,GC,Égalitaires !,P-Lib,Agora Erasmus,La Lutte,MOVE
BE_53014,Boussu,0,11809,1702,0,0,0,0,0,0,0,0,0,443,0,13,0,161,5008,1197,823,629,564,602,231,92,73,53,16,43,55,37,18,39,10,0,0,0,0,0,0,0,0,0,0,0,0
BE_24016,Boutersem,0,6947,270,0,1788,1531,1103,1007,236,746,0,137,13,21,21,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_31005,Brugge / Bruges,0,83611,3359,0,21756,9062,15764,16566,3632,9669,0,1580,0,368,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694,0,0,0,0,0,0,0,0,0,0,0
BE_25014,Braine-l'Alleud / Eigenbrakel,0,27297,1435,0,0,0,0,0,0,0,0,0,1354,0,108,0,1302,6355,9597,2717,705,2672,392,0,270,0,0,0,0,129,138,0,74,0,0,16,0,0,0,0,0,0,0,0,0,33
BE_25015,Braine-le-Château / Kasteelbrakel,0,7112,313,0,0,0,0,0,0,0,0,0,225,0,19,0,446,1133,3281,623,159,706,75,0,52,0,0,0,0,23,27,0,8,0,0,13,0,0,0,0,0,0,0,0,0,9
BE_55004,Braine-le-Comte / 's Gravenbrakel,0,13550,944,0,0,0,0,0,0,0,0,0,617,0,17,0,398,3905,4357,1053,479,1002,308,113,79,65,63,18,19,29,46,16,14,8,0,0,0,0,0,0,0,0,0,0,0,0
BE_64015,Braives,0,4141,283,0,0,0,0,0,0,0,0,0,161,0,7,0,126,1137,1224,448,182,415,47,0,37,32,0,0,0,5,11,2,0,0,0,2,17,3,2,0,0,0,0,0,0,0
BE_45059,Brakel,0,10827,636,0,2523,3165,1808,1322,484,557,7,212,74,19,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11008,Brasschaat,0,25531,731,0,11649,2605,3582,1888,1879,2066,0,790,264,46,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11009,Brecht,0,19496,721,0,9158,1703,3174,1319,1593,1142,0,441,191,40,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_35002,Bredene,0,12264,607,0,3184,1090,1228,3653,614,940,0,216,0,39,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0,0,0,0
BE_72004,Bree,0,11243,705,0,3555,1854,2714,954,679,528,0,160,54,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_51012,Brugelette,0,2337,189,0,0,0,0,0,0,0,0,0,86,0,0,0,48,857,571,188,60,173,58,33,15,18,9,9,2,8,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_57093,Brunehaut,0,5090,518,0,0,0,0,0,0,0,0,0,164,0,4,0,57,1924,1118,485,156,318,73,81,40,34,23,7,1,60,8,7,9,3,0,0,0,0,0,0,0,0,0,0,0,0
BE_21004,Bruxelles / Brussel,0,66004,4202,0,2133,2143,1304,1846,761,0,0,2633,1114,0,0,0,4321,18529,9916,6813,0,5961,1765,0,232,0,0,0,0,139,0,0,0,0,0,0,0,1708,0,0,155,190,79,41,19,0
BE_42004,Buggenhout,0,10378,509,0,3728,1517,2135,834,729,645,12,138,75,31,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_61010,Burdinne,0,2084,100,0,0,0,0,0,0,0,0,0,61,0,4,0,45,393,884,198,101,215,22,0,23,12,0,0,0,3,9,0,0,0,0,5,6,1,2,0,0,0,0,0,0,0
BE_63087,Burg-Reuland,0,2434,655,0,0,0,0,0,0,0,0,0,36,0,2,0,15,259,484,724,33,175,7,0,24,9,0,0,0,3,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0
BE_57018,Celles,0,3764,336,0,0,0,0,0,0,0,0,0,115,0,5,0,32,1127,1291,432,59,222,46,26,18,13,10,5,6,9,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
BE_93010,Cerfontaine,0,3442,247,0,0,0,0,0,0,0,0,0,148,0,3,0,44,649,1674,261,111,158,65,0,45,0,0,0,0,7,12,2,10,0,0,0,0,0,0,6,0,0,0,0,0,0
BE_52012,Châtelet,0,20324,2096,0,0,0,0,0,0,0,0,0,1193,0,26,0,348,7963,2382,1419,1388,752,1337,452,258,170,89,51,83,120,48,87,49,13,0,0,0,0,0,0,0,0,0,0,0,0
BE_52010,Chapelle-lez-Herlaimont,0,8397,696,0,0,0,0,0,0,0,0,0,426,0,8,0,213,3915,1086,518,450,331,293,123,85,60,49,11,10,27,16,10,32,38,0,0,0,0,0,0,0,0,0,0,0,0
BE_52011,Charleroi,0,110582,11311,0,0,0,0,0,0,0,0,0,7516,0,96,0,2313,40426,14343,7219,8643,4901,5102,3498,1055,936,543,246,509,628,371,462,383,81,0,0,0,0,0,0,0,0,0,0,0,0
BE_25117,Chastre,0,4845,216,0,0,0,0,0,0,0,0,0,159,0,21,0,210,1071,1686,495,144,671,82,0,34,0,0,0,0,20,19,0,5,0,0,4,0,0,0,0,0,0,0,0,0,8
BE_62022,Chaudfontaine,0,14363,478,0,0,0,0,0,0,0,0,0,554,0,21,0,346,2486,6558,1540,683,1112,116,0,96,105,0,0,0,38,30,34,0,0,0,46,92,22,6,0,0,0,0,0,0,0
BE_25018,Chaumont-Gistoux,0,7680,261,0,0,0,0,0,0,0,0,0,264,0,31,0,365,1196,3497,774,161,925,72,0,56,0,0,0,0,16,32,0,10,0,0,5,0,0,0,0,0,0,0,0,0,15
