gisco_id,name,registered,turnout,invalid,blank,VB (1979),N-VA,Vooruit,CD&V,Open VLD,PTB/PVDA,Groen,Voor U,Volt,PS,MR,LE,Ecolo,GA/SAP,DéFI,CSP,VIVANT,ProDG
BE_71002,As,0,5973,358,0,1564,1483,589,824,327,419,320,48,41,0,0,0,0,0,0,0,0,0
BE_23002,Asse,0,21700,1210,0,3573,4542,1963,2700,2742,2657,1781,292,240,0,0,0,0,0,0,0,0,0
BE_43002,Assenede,0,10994,628,0,2957,1877,1477,1638,956,592,688,136,45,0,0,0,0,0,0,0,0,0
BE_92006,Assesse,0,5273,263,0,0,0,0,0,0,394,0,0,0,470,2247,1082,624,74,119,0,0,0
BE_51004,Ath / Aat,0,21658,1695,0,0,0,0,0,0,2335,0,0,0,4908,6950,2751,2078,372,569,0,0,0
BE_81003,Attert,0,3897,307,0,0,0,0,0,0,183,0,0,0,265,1492,1065,440,47,98,0,0,0
BE_81004,Aubange,0,8507,1593,0,0,0,0,0,0,686,0,0,0,1340,2258,1777,535,169,149,0,0,0
BE_63003,Aubel,0,3815,208,0,0,0,0,0,0,242,0,0,0,394,1868,713,273,48,69,0,0,0
BE_21002,Auderghem / Oudergem,0,18032,790,0,279,279,135,130,263,1639,381,23,145,1754,5629,1514,3368,190,1513,0,0,0
BE_34003,Avelgem,0,7585,462,0,2049,1192,1264,1052,622,340,491,93,20,0,0,0,0,0,0,0,0,0
BE_62006,Awans,0,6276,377,0,0,0,0,0,0,688,0,0,0,1188,2426,982,391,114,110,0,0,0
BE_62009,Aywaille,0,8993,642,0,0,0,0,0,0,908,0,0,0,1111,3647,1493,761,194,237,0,0,0
BE_63012,Büllingen / Bullange,0,3740,164,0,0,0,264,0,0,0,0,0,0,0,347,0,173,0,0,1695,666,431
BE_63013,Bütgenbach / Butgenbach,0,3741,242,0,0,0,401,0,0,0,0,0,0,0,421,0,240,0,0,1311,712,414
BE_13002,Baarle-Hertog / Baerle-Duc,0,1084,34,0,285,199,113,211,79,57,86,8,12,0,0,0,0,0,0,0,0,0
BE_63004,Baelen,0,3068,245,0,0,0,0,0,0,292,0,0,0,421,1231,500,257,70,52,0,0,0
BE_13003,Balen,0,16939,803,0,5369,3927,2013,2010,708,992,887,159,71,0,0,0,0,0,0,0,0,0
BE_62011,Bassenge / Bitsingen,0,6005,504,0,0,0,0,0,0,690,0,0,0,906,2408,856,389,131,121,0,0,0
