gisco_id,name,registered,turnout,invalid,blank,VB (1979),VIVANT,CD&V-N-VA,sp.a-spirit,Groen,PTB/PVDA,LSP/PSL,Vooruit,MR,CSP,Ecolo,AGIR,R.W.F.,CDF,PS,LE,ProDG
BE_K00002,Electoral Canton Alost,90872,84040,3749,0,21161,21011,19120,12951,5289,415,344,0,0,0,0,0,0,0,0,0,0
BE_K00001,Electoral Canton Aarschot,37728,35217,1773,0,7894,7939,9455,5530,2275,177,174,0,0,0,0,0,0,0,0,0,0
BE_K00003,Electoral Canton Andenne,25162,22870,1763,0,0,0,0,0,0,99,30,8701,4943,3151,2022,1874,178,109,0,0,0
BE_K00004,Electoral Canton Anderlecht,67613,56564,2540,0,3969,1862,1753,1541,648,339,179,0,13033,0,3854,4219,164,306,16781,5376,0
BE_K00005,Electoral Canton Antoing,14878,13594,1469,0,0,0,0,0,0,49,18,5763,2489,1806,885,965,95,55,0,0,0
BE_K00006,Electoral Canton Anvers,337363,296768,9758,0,91638,50132,45466,67005,27965,3792,1012,0,0,0,0,0,0,0,0,0,0
BE_K00007,Electoral Canton Arendonk,30905,29111,1585,0,5773,4388,12178,3382,1590,144,71,0,0,0,0,0,0,0,0,0,0
BE_K00008,Electoral Canton Arlon,22520,20270,1784,0,0,0,0,0,0,82,31,4758,4983,4670,2395,1239,124,204,0,0,0
BE_K00009,Electoral Canton Asse,102524,93854,3301,0,19715,22622,22742,9272,5984,268,162,2631,4052,1089,874,866,64,212,0,0,0
BE_K00010,Electoral Canton Assenede,19890,18540,877,0,3522,4209,4394,3535,1130,790,83,0,0,0,0,0,0,0,0,0,0
BE_K00011,Electoral Canton Ath,20279,18577,1168,0,0,0,0,0,0,78,33,8123,4005,1988,1232,1642,230,78,0,0,0
BE_K00012,Electoral Canton Aubel,8604,8968,805,0,0,0,0,0,0,29,19,2424,2324,2109,743,410,49,56,0,0,0
BE_K00014,Electoral Canton Avelgem,8786,8312,559,0,1212,1752,2471,1793,435,31,59,0,0,0,0,0,0,0,0,0,0
BE_K00015,Electoral Canton Aywaille,31439,27823,1131,0,0,0,0,0,0,179,58,8323,9013,4096,2973,1579,278,193,0,0,0
BE_K00016,Electoral Canton Bassenge,29505,26462,1399,0,0,0,0,0,0,295,65,9570,6088,5021,1718,2019,151,136,0,0,0
BE_K00017,Electoral Canton Bastogne,12050,11273,914,0,0,0,0,0,0,23,13,1670,4017,3205,663,648,50,70,0,0,0
BE_K00018,Electoral Canton Beaumont,11110,10183,825,0,0,0,0,0,0,63,13,2975,2811,1673,633,989,158,43,0,0,0
BE_K00019,Electoral Canton Beauraing,9501,8794,714,0,0,0,0,0,0,27,10,2693,2614,1501,640,494,45,56,0,0,0
BE_K00020,Electoral Canton Beloeil,17788,16228,1122,0,0,0,0,0,0,70,38,7329,3474,1475,971,1586,97,66,0,0,0
