gisco_id,name,registered,turnout,invalid,blank,VB (1979),N-VA,Vooruit,CD&V,Open VLD,PTB/PVDA,Groen,Voor U,BLANCO,GV,B.U.B.,L’Unie,DierAnimal,Volt,PS,MR,LE,Ecolo,Chez Nous,DéFI,CC,LO,RMC,Agora,TFA
BE_44019,Evergem,0,25898,916,0,6208,6318,3231,3471,1718,1904,1694,188,152,67,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_64076,Faimes,0,2926,155,0,0,26,0,0,0,232,0,0,55,0,3,0,0,0,577,1032,509,160,66,72,28,0,11,0,0
BE_52018,Farciennes,0,5081,451,0,0,92,0,0,0,675,0,0,68,0,9,0,0,0,1421,1099,800,162,111,100,55,38,0,0,0
BE_82009,Fauvillers,0,1628,102,0,0,38,0,0,0,0,0,0,31,0,0,0,0,0,158,460,595,109,68,27,40,0,0,0,0
BE_92138,Fernelmont,0,5740,310,0,0,77,0,0,0,407,0,0,105,0,12,0,0,0,613,1478,1974,352,184,128,87,0,0,13,0
BE_61019,Ferrières,0,3605,199,0,0,51,0,0,0,330,0,0,65,0,4,0,0,0,454,1132,782,309,114,84,59,0,22,0,0
BE_64025,Fexhe-le-Haut-Clocher,0,2272,140,0,0,45,0,0,0,221,0,0,45,0,7,0,0,0,414,743,356,106,77,77,28,0,13,0,0
BE_62120,Flémalle,0,16396,1205,0,0,293,0,0,0,2852,0,0,310,0,38,0,0,0,5024,2863,1782,706,706,342,224,0,51,0,0
BE_62038,Fléron,0,10421,713,0,0,136,0,0,0,1543,0,0,158,0,30,0,0,0,2177,2500,1956,493,369,195,112,0,39,0,0
BE_52021,Fleurus,0,14232,1286,0,0,223,0,0,0,1753,0,0,188,0,29,0,0,0,4520,2928,1774,455,492,323,187,74,0,0,0
BE_51019,Flobecq / Vloesberg,0,2345,170,0,0,105,0,0,0,204,0,0,43,0,12,0,0,0,470,724,362,140,54,32,18,11,0,0,0
BE_92045,Floreffe,0,5528,337,0,0,62,0,0,0,489,0,0,84,0,19,0,0,0,754,1118,1713,525,145,167,105,0,0,10,0
BE_93022,Florennes,0,7722,775,0,0,135,0,0,0,711,0,0,106,0,23,0,0,0,1018,1866,2247,271,277,178,96,0,0,19,0
BE_85011,Florenville,0,3926,495,0,0,64,0,0,0,0,0,0,76,0,0,0,0,0,711,1098,938,268,114,77,85,0,0,0,0
BE_52022,Fontaine-lÉvêque,0,10445,1132,0,0,175,0,0,0,1543,0,0,158,0,32,0,0,0,3104,2260,1076,336,274,205,98,52,0,0,0
BE_21007,Vorst (Brussel-Hoofdstad) / Forest (Bruxelles-Capitale),0,23960,1281,0,365,407,0,0,0,4460,0,36,145,0,48,50,0,100,4536,4217,1753,3586,0,1509,303,98,0,105,961
